abs(H),angle(H),W
3927.7,-0.88404,0.063146
3926,-0.88844,0.06346
3924.4,-0.89284,0.063774
3922.7,-0.89724,0.064088
3921.1,-0.90164,0.064403
3919.4,-0.90604,0.064717
3917.7,-0.91043,0.065031
3916,-0.91483,0.065345
3914.3,-0.91923,0.065659
3912.6,-0.92363,0.065973
3910.9,-0.92803,0.066288
3909.2,-0.93242,0.066602
3907.4,-0.93682,0.066916
3905.7,-0.94122,0.06723
3903.9,-0.94562,0.067544
3902.2,-0.95002,0.067858
3900.4,-0.95442,0.068173
3898.7,-0.95881,0.068487
3896.9,-0.96321,0.068801
3895.1,-0.96761,0.069115
3893.3,-0.97201,0.069429
3891.5,-0.97641,0.069743
3889.7,-0.98081,0.070058
3887.9,-0.9852,0.070372
3886.1,-0.9896,0.070686
3884.3,-0.994,0.071
3882.4,-0.9984,0.071314
3880.6,-1.0028,0.071628
3878.7,-1.0072,0.071942
3876.9,-1.0116,0.072257
3875,-1.016,0.072571
3873.2,-1.0204,0.072885
3871.3,-1.0248,0.073199
3869.4,-1.0292,0.073513
3867.5,-1.0336,0.073827
3865.6,-1.038,0.074142
3863.7,-1.0424,0.074456
3861.8,-1.0468,0.07477
3859.9,-1.0512,0.075084
3857.9,-1.0556,0.075398
3856,-1.06,0.075712
3854.1,-1.0644,0.076027
3852.1,-1.0688,0.076341
3850.2,-1.0732,0.076655
3848.2,-1.0776,0.076969
3846.2,-1.082,0.077283
3844.3,-1.0864,0.077597
3842.3,-1.0908,0.077911
3840.3,-1.0952,0.078226
3838.3,-1.0996,0.07854
3836.3,-1.104,0.078854
3834.3,-1.1084,0.079168
3832.2,-1.1128,0.079482
3830.2,-1.1172,0.079796
3828.2,-1.1215,0.080111
3826.1,-1.1259,0.080425
3824.1,-1.1303,0.080739
3822,-1.1347,0.081053
3820,-1.1391,0.081367
3817.9,-1.1435,0.081681
3815.8,-1.1479,0.081996
3813.7,-1.1523,0.08231
3811.7,-1.1567,0.082624
3809.6,-1.1611,0.082938
3807.5,-1.1655,0.083252
3805.3,-1.1699,0.083566
3803.2,-1.1743,0.083881
3801.1,-1.1787,0.084195
3799,-1.1831,0.084509
3796.8,-1.1875,0.084823
3794.7,-1.1919,0.085137
3792.5,-1.1963,0.085451
3790.4,-1.2007,0.085765
3788.2,-1.2051,0.08608
3786,-1.2095,0.086394
3783.9,-1.2139,0.086708
3781.7,-1.2183,0.087022
3779.5,-1.2227,0.087336
3777.3,-1.2271,0.08765
3775.1,-1.2315,0.087965
3772.9,-1.2359,0.088279
3770.6,-1.2403,0.088593
3768.4,-1.2447,0.088907
3766.2,-1.2491,0.089221
3763.9,-1.2535,0.089535
3761.7,-1.2579,0.08985
3759.4,-1.2623,0.090164
3757.2,-1.2667,0.090478
3754.9,-1.2711,0.090792
3752.6,-1.2755,0.091106
3750.4,-1.2799,0.09142
3748.1,-1.2843,0.091735
3745.8,-1.2887,0.092049
3743.5,-1.2931,0.092363
3741.2,-1.2975,0.092677
3738.9,-1.3019,0.092991
3736.6,-1.3063,0.093305
3734.2,-1.3107,0.093619
3731.9,-1.3151,0.093934
3729.6,-1.3195,0.094248
3727.2,-1.3239,0.094562
3724.9,-1.3283,0.094876
3722.5,-1.3327,0.09519
3720.1,-1.3371,0.095504
3717.8,-1.3415,0.095819
3715.4,-1.3459,0.096133
3713,-1.3503,0.096447
3710.6,-1.3547,0.096761
3708.2,-1.3591,0.097075
3705.8,-1.3635,0.097389
3703.4,-1.3678,0.097704
3701,-1.3722,0.098018
3698.6,-1.3766,0.098332
3696.1,-1.381,0.098646
3693.7,-1.3854,0.09896
3691.3,-1.3898,0.099274
3688.8,-1.3942,0.099588
3686.4,-1.3986,0.099903
3683.9,-1.403,0.10022
3681.4,-1.4074,0.10053
3679,-1.4118,0.10085
3676.5,-1.4162,0.10116
3674,-1.4206,0.10147
3671.5,-1.425,0.10179
3669,-1.4294,0.1021
3666.5,-1.4338,0.10242
3664,-1.4382,0.10273
3661.5,-1.4426,0.10304
3659,-1.447,0.10336
3656.4,-1.4514,0.10367
3653.9,-1.4558,0.10399
3651.4,-1.4602,0.1043
3648.8,-1.4646,0.10462
3646.3,-1.469,0.10493
3643.7,-1.4734,0.10524
3641.2,-1.4778,0.10556
3638.6,-1.4822,0.10587
3636,-1.4866,0.10619
3633.4,-1.491,0.1065
3630.8,-1.4954,0.10681
3628.2,-1.4998,0.10713
3625.6,-1.5042,0.10744
3623,-1.5086,0.10776
3620.4,-1.513,0.10807
3617.8,-1.5174,0.10838
3615.2,-1.5218,0.1087
3612.6,-1.5262,0.10901
3609.9,-1.5306,0.10933
3607.3,-1.535,0.10964
3604.6,-1.5394,0.10996
