abs(H),angle(H),W
0.8993,-12.117,0.63774
0.89827,-12.177,0.64088
0.89748,-12.237,0.64403
0.89695,-12.296,0.64717
0.89668,-12.356,0.65031
0.89666,-12.416,0.65345
0.8969,-12.475,0.65659
0.89739,-12.535,0.65973
0.89814,-12.595,0.66288
0.89915,-12.654,0.66602
0.90041,-12.714,0.66916
0.90192,-12.774,0.6723
0.90368,-12.833,0.67544
0.90569,-12.893,0.67858
0.90794,-12.953,0.68173
0.91043,-13.012,0.68487
0.91314,-13.072,0.68801
0.91608,-13.132,0.69115
0.91925,-13.192,0.69429
0.92262,-13.251,0.69743
0.9262,-13.311,0.70058
0.92997,-13.371,0.70372
0.93393,-13.43,0.70686
0.93807,-13.49,0.71
0.94237,-13.55,0.71314
0.94684,-13.609,0.71628
0.95145,-13.669,0.71942
0.95619,-13.729,0.72257
0.96107,-13.788,0.72571
0.96605,-13.848,0.72885
0.97113,-13.908,0.73199
0.9763,-13.968,0.73513
0.98154,-14.027,0.73827
0.98685,-14.087,0.74142
0.9922,-14.147,0.74456
0.99758,-14.206,0.7477
1.003,-14.266,0.75084
1.0084,-14.326,0.75398
1.0138,-14.385,0.75712
1.0192,-14.445,0.76027
1.0245,-14.505,0.76341
1.0298,-14.564,0.76655
1.035,-14.624,0.76969
1.0401,-14.684,0.77283
1.0451,-14.743,0.77597
1.0501,-14.803,0.77911
1.0548,-14.863,0.78226
1.0595,-14.923,0.7854
1.064,-14.982,0.78854
1.0683,-15.042,0.79168
1.0724,-15.102,0.79482
1.0763,-15.161,0.79796
1.0801,-15.221,0.80111
1.0835,-15.281,0.80425
1.0868,-15.34,0.80739
1.0898,-15.4,0.81053
1.0925,-15.46,0.81367
1.095,-15.519,0.81681
1.0972,-15.579,0.81996
1.099,-15.639,0.8231
1.1006,-15.699,0.82624
1.1018,-15.758,0.82938
1.1027,-15.818,0.83252
1.1033,-15.878,0.83566
1.1035,-15.937,0.83881
1.1034,-15.997,0.84195
1.1029,-16.057,0.84509
1.1021,-16.116,0.84823
1.1008,-16.176,0.85137
1.0992,-16.236,0.85451
1.0972,-16.295,0.85765
1.0948,-16.355,0.8608
1.0921,-16.415,0.86394
1.0889,-16.475,0.86708
1.0853,-16.534,0.87022
1.0813,-16.594,0.87336
1.0769,-16.654,0.8765
1.0722,-16.713,0.87965
1.067,-16.773,0.88279
1.0614,-16.833,0.88593
1.0554,-16.892,0.88907
1.049,-16.952,0.89221
1.0422,-17.012,0.89535
1.0351,-17.071,0.8985
1.0275,-17.131,0.90164
1.0196,-17.191,0.90478
1.0112,-17.25,0.90792
1.0025,-17.31,0.91106
0.99349,-17.37,0.9142
0.98407,-17.43,0.91735
0.97431,-17.489,0.92049
0.9642,-17.549,0.92363
0.95375,-17.609,0.92677
0.94299,-17.668,0.92991
0.9319,-17.728,0.93305
0.92051,-17.788,0.93619
0.90883,-17.847,0.93934
0.89686,-17.907,0.94248
0.88462,-17.967,0.94562
0.87212,-18.026,0.94876
0.85937,-18.086,0.9519
0.84638,-18.146,0.95504
0.83317,-18.206,0.95819
0.81975,-18.265,0.96133
0.80612,-18.325,0.96447
0.79232,-18.385,0.96761
0.77834,-18.444,0.97075
0.7642,-18.504,0.97389
0.74992,-18.564,0.97704
0.73551,-18.623,0.98018
0.72099,-18.683,0.98332
0.70636,-18.743,0.98646
0.69164,-18.802,0.9896
0.67685,-18.862,0.99274
0.662,-18.922,0.99588
0.6471,-18.982,0.99903
0.63217,-19.041,1.0022
0.61723,-19.101,1.0053
0.60227,-19.161,1.0085
0.58733,-19.22,1.0116
0.57241,-19.28,1.0147
0.55753,-19.34,1.0179
0.54269,-19.399,1.021
0.52792,-19.459,1.0242
0.51322,-19.519,1.0273
0.49861,-19.578,1.0304
0.4841,-19.638,1.0336
0.4697,-19.698,1.0367
0.45541,-19.757,1.0399
0.44127,-19.817,1.043
0.42726,-19.877,1.0462
0.41341,-19.937,1.0493
0.39972,-19.996,1.0524
0.3862,-20.056,1.0556
0.37287,-20.116,1.0587
0.35973,-20.175,1.0619
0.34678,-20.235,1.065
0.33405,-20.295,1.0681
0.32153,-20.354,1.0713
0.30922,-20.414,1.0744
0.29715,-20.474,1.0776
0.28531,-20.533,1.0807
0.27371,-20.593,1.0838
0.26236,-20.653,1.087
0.25125,-20.713,1.0901
0.2404,-20.772,1.0933
0.2298,-20.832,1.0964
0.21946,-20.892,1.0996
0.20939,-20.951,1.1027
0.19959,-21.011,1.1058
0.19005,-21.071,1.109
0.18078,-21.13,1.1121
0.17177,-21.19,1.1153
0.16305,-21.25,1.1184
0.15459,-21.309,1.1215
0.1464,-21.369,1.1247
0.13848,-21.429,1.1278
0.13083,-21.488,1.131
0.12345,-21.548,1.1341
0.11633,-21.608,1.1373
0.10948,-21.668,1.1404
0.10289,-21.727,1.1435
0.096561,-21.787,1.1467
0.090486,-21.847,1.1498
0.084663,-21.906,1.153
0.079088,-21.966,1.1561
0.073759,-22.026,1.1592
0.06867,-22.085,1.1624
0.063817,-22.145,1.1655
0.059195,-22.205,1.1687
0.0548,-22.264,1.1718
0.050627,-22.324,1.175
0.04667,-22.384,1.1781
0.042924,-22.444,1.1812
0.039384,-22.503,1.1844
