x,y
0,-0.0021
1,-0.0043
2,-0.0032
3,0.0046
4,0.0174
5,0.0264
6,0.0216
7,0.0022
8,-0.0181
9,-0.0201
10,0.0023
11,0.0309
12,0.0345
13,-0.0015
14,-0.0526
15,-0.0654
16,0.0016
17,0.1373
18,0.2742
19,0.3318
20,0.2742
21,0.1373
22,0.0016
23,-0.0654
24,-0.0526
25,-0.0015
26,0.0345
27,0.0309
28,0.0023
29,-0.0201
30,-0.0181
31,0.0022
32,0.0216
33,0.0264
34,0.0174
35,0.0046
36,-0.0032
37,-0.0043
38,-0.0021
