f,s100,s410,s700
0,-69.869,-69.682,-70.2
1,-109.66,-117.98,-136.99
2,-109.09,-119.53,-134.51
3,-109.54,-118.78,-128.96
4,-109.24,-118.08,-138.44
5,-109.56,-118.25,-144.81
6,-109.3,-118.76,-136.4
7,-108.78,-118.16,-133.53
8,-109.54,-118.98,-132.16
9,-109.62,-118.45,-141.8
10,-110.19,-120.2,-129.36
11,-109.48,-117.27,-126.22
12,-108.68,-119.01,-140.52
13,-109.24,-118.39,-131.79
14,-109.6,-116.95,-127.96
15,-110.29,-117,-125.97
16,-109.86,-117.09,-123.69
17,-108.41,-118.08,-125.2
18,-110.54,-120.98,-122.07
19,-109.59,-117.29,-139.6
20,-109.24,-114.83,-132.48
21,-109.3,-118.48,-136.38
22,-109.38,-118.43,-142.42
23,-109.63,-117.14,-136.15
24,-109.09,-118.3,-141.46
25,-109.95,-118.06,-135.05
26,-109.35,-118.68,-144.04
27,-109.65,-118.32,-144.14
28,-109.25,-118.15,-143.83
29,-109.35,-118.5,-143.32
30,-109.85,-118.73,-143.84
31,-109.43,-118.5,-134.23
32,-109.4,-118.46,-132.34
33,-109.35,-117.68,-133.24
34,-109.49,-118.36,-132.94
35,-109.84,-118.92,-133.33
36,-109.38,-119.31,-142.64
37,-109.37,-117.71,-141.36
38,-109.31,-117.11,-136.73
39,-109.19,-118.14,-137.82
40,-109.47,-117.91,-143.31
41,-109.24,-118.69,-144.81
42,-109.38,-117.6,-153.07
43,-109.42,-119.11,-137.87
44,-109.36,-118.49,-143.8
45,-109.01,-118.02,-141.81
46,-109.44,-118.71,-137.34
47,-109.53,-118.22,-146.61
48,-109.53,-117.96,-153.07
49,-109.46,-117.51,-139.1
50,-109.53,-117.66,-134.57
51,-109.33,-118.12,-148.94
52,-109.66,-118.62,-140.6
53,-109.31,-118.13,-141.97
54,-109.31,-117.74,-140.6
55,-109.48,-117.81,-145.57
56,-109.28,-118.27,-150.13
57,-109.72,-118.54,-140.77
58,-109.4,-117.67,-140.13
59,-109.41,-118.14,-144.62
60,-109.47,-117.97,-142.83
61,-109.61,-118.39,-153.9
62,-109.45,-118.24,-144.54
63,-109.37,-118.38,-145.53
64,-109.39,-118.56,-156.75
65,-109.46,-118.02,-137.7
66,-109.19,-117.3,-162.17
67,-109.54,-116.95,-135.85
68,-109.41,-117.89,-135.89
69,-109.49,-117.53,-140.48
70,-109.47,-118.3,-135.4
71,-109.3,-117.95,-138.05
72,-109.58,-118.18,-139.71
73,-109.57,-117.57,-139.63
74,-109.13,-118.79,-140.52
75,-109.33,-118.26,-143.21
76,-109.62,-117.9,-150.22
77,-109.39,-118.49,-145.42
78,-109.44,-118.54,-145.15
79,-109.32,-118.01,-157.08
80,-109.26,-118.01,-140.97
81,-109.59,-118.32,-146.37
82,-109.39,-118.79,-154.45
83,-109.4,-118.68,-156.39
84,-109.59,-118.31,-141.2
85,-109.31,-117.73,-145.98
86,-109.5,-118.18,-147.12
87,-109.34,-118.65,-160.16
88,-109.39,-118.31,-159.94
89,-109.4,-118.26,-144.88
90,-109.33,-117.8,-142.09
91,-109.41,-118.2,-140.96
92,-109.44,-118.02,-145.43
93,-109.3,-118.19,-148
94,-109.62,-118.52,-148.02
95,-109.26,-117.95,-155.12
96,-109.36,-118.36,-145.05
97,-109.36,-118.39,-145.76
98,-109.32,-117.95,-146.87
99,-109.52,-118.04,-142.67
100,-109.27,-118.39,-141.66
101,-109.52,-118.35,-145.03
102,-109.41,-118.27,-146.74
103,-109.28,-118.39,-145.86
104,-109.51,-118.28,-148.1
105,-109.29,-117.83,-145.19
106,-109.43,-118.16,-156.68
107,-109.35,-118.24,-144.83
108,-109.36,-117.84,-141.18
109,-109.46,-118.63,-152.47
110,-109.38,-118.61,-169.54
111,-109.36,-118.18,-148.14
112,-109.29,-118.09,-153.54
