f,A
0,-24.483
1,-13.726
10,-13.244
100,-12.565
1000,-97.027
1001,-98.022
1002,-97.361
1003,-96.522
1004,-95.651
1005,-97.054
1006,-96.109
1007,-95.736
1008,-97.478
1009,-97.599
101,-11.052
1010,-97.359
1011,-97.161
1012,-96.674
1013,-98.267
1014,-95.954
1015,-97.565
1016,-96.214
1017,-95.755
1018,-96.401
1019,-97.365
102,-11.317
1020,-96.489
1021,-96.94
1022,-96.378
1023,-97.975
1024,-98.412
1025,-96.836
1026,-96.918
1027,-97.192
1028,-95.982
1029,-96.43
103,-13.436
1030,-97.216
1031,-99.45
1032,-97.288
1033,-96.879
1034,-96.2
1035,-96.747
1036,-96.692
1037,-96.883
1038,-95.914
1039,-97.47
104,-12.766
1040,-96.075
1041,-96.643
1042,-97.885
1043,-96.157
1044,-97.263
1045,-97.433
1046,-96.594
1047,-95.682
1048,-97.219
1049,-96.603
105,-11.1
1050,-99.252
1051,-97.803
1052,-98.401
1053,-97.009
1054,-97.411
1055,-97.012
1056,-95.658
1057,-97.307
1058,-96.653
1059,-97.802
106,-11.227
1060,-96.636
1061,-97.698
1062,-96.803
1063,-97.839
1064,-96.676
1065,-96.622
1066,-98.557
1067,-97.22
1068,-98.163
1069,-95.408
107,-13.182
1070,-97.307
1071,-97.529
1072,-96.673
1073,-97.099
1074,-95.454
1075,-98.059
1076,-97.1
1077,-97.635
1078,-96.479
1079,-96.466
108,-12.991
1080,-96.481
1081,-97.822
1082,-96.268
1083,-97.778
1084,-97.303
1085,-97.326
1086,-97.353
1087,-96.927
1088,-97.616
1089,-97.651
109,-11.171
1090,-97.413
1091,-96.8
1092,-96.97
1093,-97.219
1094,-96.597
1095,-96.525
1096,-97.22
1097,-96.584
1098,-97.489
1099,-97.248
11,-11.272
110,-11.161
1100,-97.1
1101,-96.466
1102,-97.574
1103,-97.164
1104,-95.744
1105,-96.422
1106,-97.512
1107,-96.855
1108,-97.309
1109,-96.301
111,-12.957
1110,-96.448
1111,-97.863
1112,-96.687
1113,-96.288
1114,-97.075
1115,-98.081
1116,-97.066
1117,-96.31
1118,-97.172
1119,-95.876
112,-13.238
1120,-96.595
1121,-96.445
1122,-97.201
1123,-96.822
1124,-97.557
1125,-97.189
1126,-96.649
1127,-98.352
1128,-96.94
1129,-97.622
113,-11.257
1130,-96.805
1131,-96.985
1132,-96.645
1133,-96.15
1134,-96.747
1135,-95.902
1136,-98.424
1137,-98.54
1138,-96.716
1139,-96.767
114,-11.105
1140,-97.213
1141,-96.703
1142,-96.196
1143,-95.878
1144,-97.985
1145,-96.567
1146,-98.302
1147,-96.649
1148,-97.078
1149,-97.381
115,-12.744
1150,-97.622
1151,-97.504
1152,-97.616
1153,-95.719
1154,-96.631
1155,-96.239
1156,-96.022
1157,-97.281
1158,-96.692
1159,-97.619
116,-13.492
1160,-98.06
1161,-96.286
1162,-97.749
1163,-97.459
1164,-97.329
1165,-96.222
1166,-97.095
1167,-97.719
1168,-96.303
1169,-97.43
117,-11.343
1170,-96.9
1171,-96.569
1172,-97.778
1173,-97.156
1174,-96.47
1175,-97.034
1176,-98.852
1177,-96.789
1178,-96.953
1179,-97.702
118,-11.047
1180,-96.955
1181,-96.501
1182,-97.554
1183,-98.209
1184,-97.851
1185,-96.24
1186,-97.215
1187,-98.736
1188,-96.923
1189,-97.225
119,-12.529
1190,-97.507
1191,-94.383
1192,-91.807
1193,-91.056
1194,-85.66
1195,-82.85
1196,-82.034
1197,-83.541
1198,-79.813
1199,-78.282
12,-11.143
120,-13.749
1200,-78.899
1201,-82.002
1202,-80.313
1203,-80.939
1204,-84.498
1205,-93.107
1206,-98.282
1207,-87.09
1208,-81.914
1209,-80.907
121,-11.428
1210,-76.98
1211,-73.981
1212,-73.148
1213,-74.588
1214,-72.9
1215,-71.096
1216,-71.3
1217,-73.602
1218,-73.366
1219,-72.379
122,-10.991
1220,-73.457
1221,-76.768
1222,-78.395
1223,-79.24
1224,-83.283
1225,-93.241
1226,-97.699
1227,-84.867
1228,-80.265
1229,-79.062
123,-12.321
1230,-77.944
1231,-74.464
1232,-73.241
1233,-74.104
1234,-75.043
1235,-72.612
1236,-72.358
1237,-74.123
1238,-76.512
1239,-75.06
124,-14.02
1240,-75.934
1241,-79.171
1242,-84.424
1243,-86.914
1244,-97.5
1245,-90.579
1246,-86.254
1247,-79.807
1248,-76.53
1249,-75.773
125,-11.525
1250,-77.478
1251,-73.832
1252,-72.266
1253,-72.716
1254,-75.382
1255,-73.261
1256,-72.511
1257,-73.82
1258,-77.369
1259,-76.966
126,-10.951
1260,-77.646
1261,-81.05
1262,-88.23
1263,-96.686
1264,-91.03
1265,-83.64
1266,-81.899
1267,-78.533
1268,-75.212
1269,-74.159
127,-12.135
1270,-75.267
1271,-74.32
1272,-72.255
1273,-72.206
1274,-74.239
1275,-74.723
1276,-73.47
1277,-74.356
1278,-77.464
1279,-79.935
128,-14.317
1280,-80.675
1281,-85.031
1282,-97.712
1283,-94.304
1284,-84.037
1285,-79.662
1286,-78.465
1287,-78.239
1288,-74.528
1289,-73.077
129,-11.648
1290,-73.773
1291,-75.436
1292,-72.756
1293,-72.265
1294,-73.78
1295,-76.938
1296,-75.198
1297,-75.828
1298,-78.815
1299,-84.809
13,-12.801
130,-10.933
1300,-87.073
1301,-96.001
1302,-89.734
1303,-85.812
1304,-79.63
1305,-76.132
1306,-75.104
1307,-76.466
1308,-73.564
1309,-71.733
131,-11.969
1310,-71.886
1311,-74.157
1312,-72.751
1313,-71.678
1314,-72.623
1315,-75.709
1316,-75.805
1317,-75.904
1318,-78.394
1319,-83.858
132,-14.644
1320,-89.219
1321,-96.394
1322,-87.559
1323,-83.655
1324,-80.262
1325,-76.248
1326,-74.668
1327,-75.334
1328,-74.925
1329,-72.45
133,-11.785
1330,-72.058
1331,-73.691
1332,-74.78
1333,-73.126
1334,-73.618
1335,-76.2
1336,-79.135
1337,-79.039
1338,-82.032
1339,-89.475
134,-10.927
1340,-97.384
1341,-87.664
1342,-81.454
1343,-79.424
1344,-79.527
1345,-75.294
1346,-73.468
1347,-73.707
1348,-76.024
1349,-72.924
135,-11.819
1350,-72.041
1351,-73.176
1352,-76.561
1353,-74.706
1354,-74.863
1355,-77.218
1356,-82.288
1357,-83.687
1358,-89.469
1359,-95.88
136,-14.714
1360,-88.961
1361,-82.064
1362,-77.65
1363,-76.024
1364,-76.839
1365,-74.549
1366,-72.298
1367,-72.112
1368,-74.031
1369,-73.261
137,-11.93
1370,-71.852
1371,-72.492
1372,-75.226
1373,-76.01
1374,-75.73
1375,-77.836
1376,-82.765
1377,-88.358
1378,-96.633
1379,-88.333
138,-10.924
1380,-83.483
1381,-80.635
1382,-76.182
1383,-74.244
1384,-74.575
1385,-74.827
1386,-71.963
1387,-71.246
1388,-72.493
1389,-74.209
139,-11.67
1390,-72.112
1391,-72.151
1392,-74.235
1393,-77.524
1394,-76.587
1395,-78.254
1396,-82.899
1397,-92.044
1398,-98.97
1399,-86.28
14,-13.472
140,-14.379
1400,-81.802
1401,-81.652
1402,-76.672
1403,-74.215
1404,-73.936
1405,-75.969
1406,-73.122
1407,-71.804
1408,-72.521
1409,-75.36
141,-12.082
1410,-73.966
1411,-73.537
1412,-75.207
1413,-79.219
1414,-80.116
1415,-82.216
1416,-88.944
1417,-97.668
1418,-88.485
1419,-81.425
142,-10.931
1420,-78.504
1421,-78.453
1422,-76.46
1423,-73.661
1424,-73.008
1425,-74.447
1426,-74.258
1427,-72.397
1428,-72.623
1429,-74.901
143,-11.535
1430,-76.236
1431,-75.404
1432,-76.931
1433,-80.933
1434,-85.751
1435,-91.34
1436,-97.068
1437,-86.637
1438,-83.193
1439,-77.952
144,-14.068
1440,-75.452
1441,-75.295
1442,-76.154
1443,-72.865
1444,-71.772
1445,-72.698
1446,-75.064
1447,-72.565
1448,-72.309
1449,-74.015
145,-12.255
1450,-77.989
1451,-76.569
1452,-77.764
1453,-81.705
1454,-89.895
1455,-96.523
1456,-88.685
1457,-82.81
1458,-81.926
1459,-77.464
146,-10.959
1460,-74.607
1461,-73.996
1462,-75.611
1463,-73.431
1464,-71.796
1465,-72.134
1466,-74.605
1467,-73.895
1468,-73.043
1469,-74.308
147,-11.426
1470,-77.816
1471,-79.039
1472,-80.155
1473,-84.818
1474,-96.581
1475,-94.613
1476,-84.025
1477,-79.897
1478,-79.157
1479,-77.626
148,-13.785
1480,-74.376
1481,-73.322
1482,-74.368
1483,-74.784
1484,-72.575
1485,-72.483
1486,-74.413
1487,-76.343
1488,-75.123
1489,-76.183
149,-12.452
1490,-79.639
1491,-84.553
1492,-87.816
1493,-96.288
1494,-88.96
1495,-85.097
1496,-78.969
1497,-75.973
1498,-75.391
1499,-76.871
15,-11.359
150,-11.006
1500,-73.177
1501,-71.737
1502,-72.347
1503,-75.146
1504,-72.484
1505,-71.866
1506,-73.247
1507,-76.885
1508,-75.873
1509,-76.528
151,-11.333
1510,-79.714
1511,-86.318
1512,-92.631
1513,-95.831
1514,-84.988
1515,-82.831
1516,-78.672
1517,-75.303
1518,-74.247
1519,-75.456
152,-13.518
1520,-73.927
1521,-71.944
1522,-71.972
1523,-74.107
1524,-74.026
1525,-72.872
1526,-73.827
1527,-76.989
1528,-78.885
1529,-79.61
153,-12.659
1530,-83.68
1531,-94.628
1532,-95.991
1533,-84.088
1534,-79.495
1535,-78.273
1536,-77.366
1537,-73.768
1538,-72.379
1539,-73.088
154,-11.057
1540,-74.135
1541,-71.513
1542,-71.028
1543,-72.513
1544,-74.969
1545,-73.117
1546,-73.527
1547,-76.072
1548,-80.59
1549,-80.739
155,-11.24
1550,-84.693
1551,-96.924
1552,-93.983
1553,-83.559
1554,-78.804
1555,-77.16
1556,-78.239
1557,-74.506
1558,-72.562
1559,-72.678
156,-13.257
1560,-75.001
1561,-72.922
1562,-71.869
1563,-72.863
1564,-76.011
1565,-75.5
1566,-75.587
1567,-78.097
1568,-83.464
1569,-87.688
157,-12.869
1570,-96.794
1571,-89.009
1572,-84.352
1573,-80.192
1574,-76.157
1575,-74.601
1576,-75.31
1577,-74.333
1578,-71.931
1579,-71.622
158,-11.106
1580,-73.311
1581,-73.813
1582,-72.219
1583,-72.731
1584,-75.297
1585,-77.531
1586,-77.36
1587,-79.836
1588,-85.939
1589,-96.156
159,-11.147
1590,-90.984
1591,-82.654
1592,-79.74
1593,-79.116
1594,-74.859
1595,-72.979
1596,-73.252
1597,-74.748
1598,-71.63
1599,-70.804
16,-11.099
160,-12.999
1600,-71.582
1601,-74.715
1602,-72.643
1603,-72.565
1604,-74.548
1605,-79.137
1606,-78.562
1607,-80.67
1608,-87.012
1609,-96.552
161,-13.09
1610,-88.607
1611,-81.357
1612,-78.542
1613,-78.772
1614,-75.408
1615,-73.017
1616,-72.658
1617,-74.389
1618,-72.957
1619,-71.505
162,-11.165
1620,-71.97
1621,-74.687
1622,-74.595
1623,-74.038
1624,-75.685
1625,-79.728
1626,-82.391
1627,-85.707
1628,-96.793
1629,-91.588
163,-11.063
1630,-84.813
1631,-79.048
1632,-76.565
1633,-76.46
1634,-75.896
1635,-73.018
1636,-72.192
1637,-73.516
1638,-74.48
1639,-72.458
164,-12.774
1640,-72.532
1641,-74.616
1642,-77.289
1643,-76.368
1644,-77.89
1645,-82.297
1646,-90.004
1647,-96.92
1648,-87.872
1649,-82.715
165,-13.312
1650,-81.645
1651,-76.652
1652,-74.192
1653,-73.971
1654,-76.052
1655,-72.562
1656,-71.258
1657,-71.935
1658,-74.8
1659,-72.801
166,-11.237
1660,-72.231
1661,-73.767
1662,-77.497
1663,-77.264
1664,-78.415
1665,-82.468
1666,-91.714
1667,-97.49
1668,-86.354
1669,-81.369
167,-11.006
