f,A
0,-53.848
1,-18.508
10,-21.082
100,-20.101
1000,-83.886
1001,-89.45
1002,-94.465
1003,-100.97
1004,-93.115
1005,-89.272
1006,-85.471
1007,-81.492
1008,-79.894
1009,-80.593
101,-17.625
1010,-79.891
1011,-77.378
1012,-76.959
1013,-78.582
1014,-79.279
1015,-77.487
1016,-77.902
1017,-80.328
1018,-82.521
1019,-81.982
102,-17.061
1020,-83.921
1021,-88.827
1022,-96.765
1023,-101.72
1024,-92.276
1025,-88.01
1026,-86.752
1027,-82.092
1028,-79.868
1029,-79.842
103,-18.255
1030,-81.579
1031,-78.299
1032,-77.259
1033,-78.248
1034,-81.408
1035,-78.914
1036,-78.711
1037,-80.6
1038,-84.941
1039,-84.412
104,-20.379
1040,-86.401
1041,-92.246
1042,-101.39
1043,-96.16
1044,-88.009
1045,-84.899
1046,-84.937
1047,-81.65
1048,-79.071
1049,-78.614
105,-17.712
1050,-80.29
1051,-78.825
1052,-77.214
1053,-77.578
1054,-80.06
1055,-79.992
1056,-79.239
1057,-80.621
1058,-84.348
1059,-86.653
106,-16.999
1060,-88.711
1061,-96.412
1062,-102.3
1063,-92.675
1064,-85.95
1065,-82.916
1066,-82.506
1067,-81.785
1068,-78.594
1069,-77.565
107,-18.039
1070,-78.571
1071,-79.491
1072,-77.185
1073,-76.944
1074,-78.709
1075,-81.071
1076,-79.574
1077,-80.347
1078,-83.436
1079,-88.326
108,-20.636
1080,-89.868
1081,-98.925
1082,-99.699
1083,-92.956
1084,-85.756
1085,-82.215
1086,-81.229
1087,-82.771
1088,-78.979
1089,-77.307
109,-17.783
1090,-77.654
1091,-80.151
1092,-77.866
1093,-76.97
1094,-78.093
1095,-81.379
1096,-80.596
1097,-80.791
1098,-83.336
1099,-88.74
11,-18.305
110,-16.926
1100,-92.546
1101,-102.5
1102,-95.009
1103,-90.244
1104,-85.577
1105,-81.554
1106,-80.076
1107,-80.89
1108,-79.517
1109,-77.167
111,-17.822
1110,-76.872
1111,-78.62
1112,-78.692
1113,-77.094
1114,-77.553
1115,-80.066
1116,-81.646
1117,-81.159
1118,-83.089
1119,-87.77
112,-20.729
1120,-94.146
1121,-100.89
1122,-93.904
1123,-88.794
1124,-86.643
1125,-81.922
1126,-79.791
1127,-79.853
1128,-80.881
1129,-77.769
113,-17.859
1130,-76.799
1131,-77.844
1132,-80.306
1133,-77.93
1134,-77.751
1135,-79.622
1136,-83.678
1137,-82.481
1138,-83.952
1139,-88.411
114,-16.861
1140,-98.04
1141,-100.08
1142,-91.193
1143,-86.746
1144,-86.3
1145,-82.103
1146,-79.39
1147,-78.865
1148,-80.579
1149,-78.407
115,-17.616
1150,-76.8
1151,-77.186
1152,-79.681
1153,-78.915
1154,-78.067
1155,-79.348
1156,-82.792
1157,-83.928
1158,-84.928
1159,-89.245
116,-20.344
1160,-99.912
1161,-100.07
1162,-89.85
1163,-85.36
1164,-84.454
1165,-82.751
1166,-79.405
1167,-78.281
1168,-79.263
1169,-79.505
117,-17.965
1170,-77.175
1171,-76.941
1172,-78.686
1173,-80.306
1174,-78.767
1175,-79.451
1176,-82.255
