f,A
1361,-108.72
1362,-109.5
1363,-108.96
1364,-110.07
1365,-109.68
1366,-110.48
1367,-110.3
1368,-109.02
1369,-110.11
137,-40.199
1370,-108.78
1371,-108.68
1372,-108.42
1373,-109.62
1374,-110.82
1375,-108.45
1376,-108.79
1377,-110.26
1378,-110.34
1379,-109.99
138,-38.011
1380,-109.36
1381,-110.28
1382,-108.64
1383,-109.85
1384,-110.23
1385,-109.65
1386,-108.72
1387,-108.77
1388,-110.16
1389,-108.93
139,-37.685
1390,-110.6
1391,-109.01
1392,-108.43
1393,-110.64
1394,-108.71
1395,-108.43
1396,-109.71
1397,-110.41
1398,-109.35
1399,-108.66
14,-40.08
140,-39.133
1400,-108.71
1401,-108.57
1402,-108.7
1403,-110.37
1404,-110.58
1405,-108.65
1406,-108.74
1407,-110.07
1408,-108.35
1409,-110.19
141,-40.503
1410,-108.49
1411,-110.73
1412,-109.11
1413,-109.61
1414,-108.42
1415,-110.24
1416,-109.91
1417,-109.51
1418,-110.81
1419,-110.68
142,-38.136
1420,-110.95
1421,-109.38
1422,-108.92
1423,-108.85
1424,-108.75
1425,-110.45
1426,-110.41
1427,-109.03
1428,-109.09
1429,-110.13
143,-37.661
1430,-108.46
1431,-108.88
1432,-110.12
1433,-110.41
1434,-109.06
1435,-108.57
1436,-108.77
1437,-110.45
1438,-109.01
1439,-108.85
144,-38.951
1440,-108.96
1441,-110.48
1442,-108.58
1443,-110.09
1444,-109.66
1445,-110.4
1446,-109.55
1447,-108.85
1448,-110.44
1449,-109.29
145,-40.783
1450,-109.11
1451,-109.12
1452,-108.79
1453,-108.68
1454,-110.49
1455,-110.56
1456,-108.5
1457,-110.56
1458,-109.33
1459,-109.81
146,-38.237
1460,-109.5
1461,-110.67
1462,-109.94
1463,-108.24
1464,-108.68
1465,-109.31
1466,-110.09
1467,-109.12
1468,-109.24
1469,-108.54
147,-37.617
1470,-110.41
1471,-109.98
1472,-110.41
1473,-109.06
1474,-108.98
1475,-110.38
1476,-109.06
1477,-110.25
1478,-110.12
1479,-110.33
148,-38.754
1480,-109.45
1481,-109.66
1482,-108.68
1483,-109.22
1484,-108.51
1485,-110.56
1486,-109.42
1487,-109
1488,-109.13
1489,-108.68
149,-41.057
1490,-108.69
1491,-109.13
1492,-109.2
1493,-109.75
1494,-109.34
1495,-108.92
1496,-109.71
1497,-109.17
1498,-110.18
1499,-109.02
15,-38.779
150,-38.326
1500,-110.2
1501,-109.47
1502,-108.37
1503,-110.6
1504,-109.67
1505,-108.58
1506,-108.56
