f,A
0,-29.919
1,-15.686
10,-17.514
100,-16.554
1000,-82.227
1001,-84.033
1002,-83.289
1003,-83.262
1004,-86.355
1005,-93.826
1006,-98.719
1007,-92.425
1008,-87.064
1009,-86.372
101,-14.397
1010,-85.019
1011,-83.104
1012,-83.879
1013,-87.586
1014,-91.925
1015,-99.425
1016,-98.763
1017,-91.398
1018,-88.752
1019,-84.695
102,-14.107
1020,-83.785
1021,-85.612
1022,-88.159
1023,-88.512
1024,-93.333
1025,-98.166
1026,-97.985
1027,-89.679
1028,-86.401
1029,-86.256
103,-15.593
1030,-88.337
1031,-86.393
1032,-87.747
1033,-92.329
1034,-99.403
1035,-97.041
1036,-92.177
1037,-89.265
1038,-90.276
1039,-86.758
104,-16.8
1040,-86.108
1041,-88.142
1042,-93.372
1043,-96.726
1044,-101.46
1045,-97.407
1046,-94.01
1047,-89.605
1048,-86.947
1049,-87.208
105,-14.484
1050,-90.3
1051,-90.792
1052,-92.933
1053,-99.1
1054,-98.19
1055,-96.687
1056,-91.145
1057,-89.197
1058,-90.408
1059,-90.045
106,-14.054
1060,-89.353
1061,-91.988
1062,-97.318
1063,-97.408
1064,-99.405
1065,-95.126
1066,-93.36
1067,-92.612
1068,-90.099
1069,-90.37
107,-15.391
1070,-93.804
1071,-98.031
1072,-98.196
1073,-98.888
1074,-99.194
1075,-96.316
1076,-92.126
1077,-90.555
1078,-92.049
1079,-94.98
108,-17.077
1080,-94.593
1081,-97.873
1082,-98.595
1083,-99.666
1084,-98.14
1085,-94.594
1086,-93.888
1087,-96.466
1088,-93.975
1089,-94.472
109,-14.59
1090,-98.246
1091,-97.405
1092,-99.649
1093,-99.874
1094,-99.133
1095,-98.363
1096,-96.392
1097,-94.907
1098,-97.011
1099,-98.996
11,-14.861
110,-14.022
1100,-98.88
1101,-99.508
1102,-98.081
1103,-98.399
1104,-98.751
1105,-96.958
1106,-97.203
1107,-97.472
1108,-100.03
1109,-99.386
111,-15.217
1110,-98.704
1111,-98.342
1112,-99.349
1113,-97.658
1114,-98.856
1115,-99.105
1116,-99.156
1117,-99.674
1118,-100.58
1119,-100.15
112,-17.376
1120,-99.633
1121,-100.07
1122,-100.52
1123,-100.34
1124,-98.515
1125,-98.047
1126,-98.316
1127,-98.937
1128,-100.53
1129,-96.92
113,-14.715
1130,-98.461
1131,-100.09
1132,-99.368
1133,-100.19
1134,-97.731
1135,-98.759
1136,-97.862
1137,-100.48
1138,-100.77
1139,-99.456
114,-14.005
1140,-98.555
1141,-98.057
1142,-97.782
1143,-98.638
1144,-98.682
1145,-99.241
1146,-96.353
1147,-98.001
1148,-100.05
1149,-97.566
115,-15.046
1150,-100.36
1151,-99.417
1152,-99.434
1153,-98.291
1154,-98.555
1155,-99.663
1156,-98.035
1157,-99.757
1158,-99.198
1159,-100.23
116,-17.685
1160,-98.445
1161,-100.35
1162,-99.452
1163,-98.813
1164,-99.28
1165,-98.547
1166,-98.989
1167,-98.902
1168,-97.955
1169,-100.73
117,-14.842
1170,-99.778
1171,-98.819
1172,-99.095
1173,-98.071
1174,-97.428
1175,-98.875
1176,-98.055
1177,-99.951
1178,-98.133
1179,-98.814
118,-13.988
1180,-98.841
1181,-101.52
1182,-100.35
1183,-99.113
1184,-97.548
1185,-100.44
1186,-99.419
1187,-96.701
1188,-94.222
1189,-94.457
119,-14.883
1190,-89.324
1191,-86.575
1192,-85.795
1193,-87.447
1194,-83.922
1195,-82.164
1196,-82.343
1197,-84.749
1198,-82.728
1199,-81.842
12,-14.159
120,-17.784
1200,-82.903
1201,-86.247
1202,-86.174
1203,-86.907
1204,-90.292
1205,-97.311
1206,-98.366
1207,-96.671
1208,-90.677
1209,-89.218
121,-14.972
1210,-86.095
1211,-82.611
1212,-81.369
1213,-82.151
1214,-81.177
1215,-78.604
1216,-77.983
1217,-79.305
1218,-79.199
1219,-76.914
122,-13.975
1220,-76.516
1221,-77.862
1222,-78.557
1223,-76.233
1224,-75.873
1225,-77.285
1226,-78.525
1227,-76.224
1228,-75.822
1229,-77.198
123,-14.728
1230,-79.09
1231,-76.659
1232,-76.28
1233,-77.665
1234,-80.246
1235,-77.703
1236,-77.234
1237,-78.554
1238,-81.622
1239,-79.11
124,-17.447
1240,-78.714
1241,-80.048
1242,-83.379
1243,-81.229
1244,-80.832
1245,-82.169
1246,-85.585
1247,-84.161
1248,-83.987
1249,-85.634
125,-15.124
1250,-89.305
1251,-88.898
1252,-89.256
1253,-91.803
1254,-96.878
1255,-98.431
1256,-98.371
1257,-99.934
1258,-99.601
1259,-97.861
126,-13.98
1260,-92.953
1261,-90.939
1262,-90.994
1263,-89.221
1264,-86.238
1265,-85.276
1266,-86.188
1267,-85.41
1268,-82.837
1269,-82.043
127,-14.596
1270,-83.195
1271,-83.309
1272,-80.694
1273,-80.018
1274,-81.106
1275,-81.786
1276,-79.173
1277,-78.496
1278,-79.667
1279,-80.929
128,-17.139
1280,-78.221
1281,-77.469
1282,-78.504
1283,-80.36
1284,-77.596
1285,-76.746
1286,-77.74
1287,-80.089
1288,-77.206
1289,-76.287
129,-15.295
1290,-77.161
1291,-80.069
1292,-77.119
1293,-76.104
1294,-76.902
1295,-79.607
1296,-77.137
1297,-76.094
1298,-76.813
1299,-79.45
13,-15.211
130,-14.006
1300,-77.446
1301,-76.284
1302,-76.882
1303,-79.365
1304,-77.972
1305,-76.644
1306,-77.191
1307,-79.61
1308,-78.726
1309,-77.287
131,-14.483
1310,-77.745
1311,-79.987
1312,-79.628
1313,-78.144
1314,-78.469
1315,-80.669
1316,-80.845
1317,-79.256
1318,-79.53
1319,-81.6
132,-16.857
1320,-82.277
1321,-80.683
1322,-80.92
1323,-82.951
1324,-84.264
1325,-82.522
1326,-82.793
1327,-84.757
1328,-86.691
1329,-85.081
133,-15.482
1330,-85.366
1331,-87.642
1332,-90.337
1333,-88.721
1334,-89.429
1335,-92.066
1336,-95.822
1337,-95.55
1338,-97.744
1339,-98.003
134,-14.042
1340,-99.482
1341,-99.324
1342,-99.349
1343,-97.558
1344,-98.813
1345,-94.422
1346,-91.534
1347,-90.656
1348,-92.158
1349,-88.805
135,-14.375
1350,-86.807
1351,-86.436
1352,-88.259
1353,-85.774
1354,-83.826
1355,-83.732
1356,-85.53
1357,-83.711
1358,-81.895
1359,-81.723
136,-16.579
1360,-83.556
1361,-82.292
1362,-80.372
1363,-80.207
1364,-81.947
1365,-81.264
1366,-79.272
1367,-79.093
1368,-80.73
1369,-80.597
137,-15.669
1370,-78.474
1371,-78.195
1372,-79.692
1373,-80.1
1374,-77.884
1375,-77.532
1376,-78.955
1377,-79.874
1378,-77.503
1379,-77.027
138,-14.079
1380,-78.297
1381,-79.721
1382,-77.333
1383,-76.741
1384,-77.982
1385,-79.873
1386,-77.228
1387,-76.574
1388,-77.627
1389,-80.077
139,-14.27
1390,-77.344
1391,-76.544
1392,-77.474
1393,-80.494
1394,-77.569
1395,-76.665
1396,-77.526
1397,-80.455
1398,-77.975
1399,-76.962
14,-17.85
140,-16.3
1400,-77.675
1401,-80.42
1402,-78.481
1403,-77.375
1404,-78.047
1405,-80.626
1406,-79.216
1407,-78.027
1408,-78.503
1409,-80.962
141,-15.864
1410,-80.052
1411,-78.77
1412,-79.244
1413,-81.494
1414,-81.206
1415,-79.723
1416,-80.113
1417,-82.36
1418,-82.453
1419,-81.013
142,-14.121
1420,-81.35
1421,-83.423
1422,-84.23
1423,-82.606
1424,-82.967
1425,-85.027
1426,-86.307
1427,-84.82
1428,-85.04
1429,-87.062
143,-14.176
1430,-89.106
1431,-87.586
1432,-87.971
1433,-90.287
1434,-93.033
1435,-92.023
1436,-92.848
1437,-95.86
1438,-98.275
1439,-98.782
144,-16.047
1440,-98.895
1441,-98.232
1442,-98.521
1443,-99.514
1444,-98.492
1445,-96.737
1446,-97.627
1447,-93.102
1448,-90.672
1449,-90.324
145,-16.091
1450,-91.971
1451,-88.718
1452,-86.857
1453,-86.652
1454,-88.615
1455,-85.997
1456,-84.208
1457,-84.212
1458,-86.009
1459,-84.213
146,-14.183
1460,-82.34
1461,-82.305
1462,-84.187
1463,-82.798
1464,-81.005
1465,-80.86
1466,-82.553
1467,-81.852
1468,-79.852
1469,-79.702
147,-14.103
1470,-81.36
1471,-81.177
1472,-79.009
1473,-78.748
1474,-80.295
1475,-80.59
1476,-78.36
1477,-78.038
1478,-79.489
1479,-80.307
148,-15.823
1480,-77.954
1481,-77.485
1482,-78.782
1483,-80.062
1484,-77.622
1485,-77.054
1486,-78.278
1487,-80.098
1488,-77.483
1489,-76.809
149,-16.335
1490,-77.898
1491,-80.139
1492,-77.376
1493,-76.633
1494,-77.666
1495,-80.465
1496,-77.49
1497,-76.621
1498,-77.482
1499,-80.36
15,-15.002
150,-14.269
1500,-77.782
1501,-76.717
1502,-77.515
1503,-80.174
1504,-78.084
1505,-76.96
1506,-77.59
1507,-80.212
1508,-78.551
1509,-77.269
151,-14.049
1510,-77.822
1511,-80.228
1512,-79.089
1513,-77.762
1514,-78.167
1515,-80.535
1516,-79.862
1517,-78.392
1518,-78.725
1519,-80.904
152,-15.614
1520,-80.727
1521,-79.208
1522,-79.405
1523,-81.503
1524,-81.885
1525,-80.152
1526,-80.365
1527,-82.245
1528,-83.135
1529,-81.425
153,-16.59
1530,-81.503
1531,-83.405
1532,-84.8
1533,-82.907
1534,-82.966
1535,-84.779
1536,-86.755
1537,-84.854
1538,-84.877
1539,-86.745
154,-14.36
1540,-89.313
1541,-87.427
1542,-87.472
1543,-89.458
1544,-92.868
1545,-91.177
1546,-91.599
1547,-94.054
1548,-97.224
1549,-97.643
155,-13.997
1550,-98.375
1551,-98.309
1552,-99.526
1553,-97.931
1554,-98.924
1555,-98.263
1556,-99.034
1557,-96.195
1558,-93.107
1559,-92.337
156,-15.409
1560,-93.698
1561,-90.968
1562,-88.629
1563,-88.226
1564,-89.638
1565,-87.825
1566,-85.72
1567,-85.348
1568,-86.88
1569,-85.824
157,-16.855
1570,-83.627
1571,-83.322
1572,-84.805
1573,-84.211
1574,-82.076
1575,-81.696
1576,-83.239
1577,-83.221
1578,-80.893
1579,-80.442
158,-14.452
1580,-81.829
1581,-82.305
1582,-80.018
1583,-79.456
1584,-80.713
1585,-81.802
1586,-79.225
1587,-78.609
1588,-79.811
1589,-81.235
159,-13.948
1590,-78.692
1591,-77.964
1592,-79.044
1593,-81.116
1594,-78.241
1595,-77.486
1596,-78.43
1597,-80.825
1598,-78.03
1599,-77.277
16,-14.157
160,-15.204
1600,-77.753
1601,-80.834
1602,-78.067
1603,-76.881
1604,-77.595
1605,-80.322
1606,-77.959
1607,-76.778
1608,-77.341
1609,-79.879
161,-17.129
1610,-77.982
1611,-76.693
1612,-77.199
1613,-79.599
1614,-78.221
1615,-76.811
1616,-77.183
1617,-79.411
1618,-78.577
1619,-77.05
162,-14.553
1620,-77.278
1621,-79.414
1622,-79.012
1623,-77.334
1624,-77.448
1625,-79.423
1626,-79.509
1627,-77.782
1628,-77.758
1629,-79.556
163,-13.912
1630,-80.22
1631,-78.287
1632,-78.199
1633,-79.931
1634,-81.064
1635,-79.026
1636,-78.834
1637,-80.41
1638,-82.049
1639,-79.825
164,-15.025
1640,-79.572
1641,-81.09
1642,-83.18
1643,-80.9
1644,-80.502
1645,-81.878
1646,-84.606
1647,-82.143
1648,-81.692
1649,-82.999
165,-17.426
1650,-86.21
1651,-83.695
1652,-83.178
1653,-84.447
1654,-87.755
1655,-85.636
1656,-85.079
1657,-86.325
1658,-89.571
1659,-88.226
166,-14.676
1660,-87.635
1661,-89.012
1662,-92.472
1663,-91.656
1664,-91.451
1665,-93.27
1666,-96.652
1667,-97.67
1668,-98.449
1669,-99.22
167,-13.897
1670,-98.739
1671,-98.514
1672,-99.588
1673,-98.176
1674,-98.463
1675,-99.274
1676,-95.337
1677,-93.779
1678,-94.475
1679,-93.254
168,-14.869
1680,-90.256
1681,-89.119
1682,-89.938
1683,-90.088
1684,-87.265
1685,-86.275
1686,-87.247
1687,-87.892
1688,-85.053
1689,-84.202
169,-17.767
1690,-85.098
1691,-86.432
1692,-83.527
1693,-82.615
1694,-83.463
1695,-85.36
1696,-82.316
1697,-81.318
1698,-82.08
1699,-84.458
17,-15.055
170,-14.819
1700,-81.337
1701,-80.31
1702,-81.014
1703,-83.62
1704,-80.699
1705,-79.494
1706,-80.075
1707,-82.668
1708,-80.209
1709,-78.912
171,-13.898
1710,-79.354
1711,-81.724
1712,-79.837
1713,-78.419
1714,-78.769
1715,-81.081
1716,-79.649
1717,-78.047
1718,-78.359
1719,-80.436
172,-14.725
1720,-79.51
1721,-77.84
1722,-78.015
1723,-80.025
1724,-79.567
1725,-77.768
1726,-77.773
1727,-79.621
1728,-79.647
1729,-77.743
173,-17.538
1730,-77.661
1731,-79.403
1732,-79.954
1733,-77.892
1734,-77.686
1735,-79.24
1736,-80.262
1737,-78.117
1738,-77.777
1739,-79.271
174,-14.974
1740,-80.823
1741,-78.403
1742,-78
1743,-79.338
1744,-81.326
1745,-78.916
1746,-78.347
1747,-79.566
1748,-82.146
1749,-79.486
175,-13.899
1750,-78.837
