f,A
0,-85.577
1,-32.049
10,-34.024
100,-34.571
1000,-98.654
1001,-103.83
1002,-109.41
1003,-120.2
1004,-107.84
1005,-103.74
1006,-100.5
1007,-96.339
1008,-94.663
1009,-95.131
101,-31.752
1010,-94.945
1011,-92.251
1012,-91.693
1013,-93.125
1014,-94.297
1015,-92.413
1016,-92.645
1017,-94.878
1018,-97.605
1019,-96.942
102,-30.918
1020,-98.712
1021,-103.43
1022,-111.66
1023,-119.02
1024,-107.01
1025,-102.67
1026,-101.94
1027,-96.969
1028,-94.663
1029,-94.536
103,-31.835
1030,-96.747
1031,-93.292
1032,-92.11
1033,-92.896
1034,-95.857
1035,-93.902
1036,-93.533
1037,-95.338
1038,-99.421
1039,-99.429
104,-34.767
1040,-101.15
1041,-106.88
1042,-116.84
1043,-110.99
1044,-102.86
1045,-99.7
1046,-99.432
1047,-96.738
1048,-93.962
1049,-93.325
105,-31.872
1050,-94.786
1051,-93.875
1052,-92.084
1053,-92.332
1054,-94.64
1055,-95.076
1056,-94.093
1057,-95.379
1058,-98.871
1059,-101.74
106,-30.888
1060,-103.47
1061,-111.37
1062,-113.88
1063,-107.8
1064,-100.81
1065,-97.681
1066,-97.127
1067,-96.975
1068,-93.585
1069,-92.395
107,-31.657
1070,-93.231
1071,-94.706
1072,-92.156
1073,-91.796
1074,-93.398
1075,-96.263
1076,-94.517
1077,-95.18
1078,-98.163
1079,-103.45
108,-34.4
1080,-104.89
1081,-113.65
1082,-114.69
1083,-107.82
1084,-100.84
1085,-97.163
1086,-96.014
1087,-97.308
1088,-94.002
1089,-92.163
109,-31.975
1090,-92.404
1091,-94.737
1092,-92.92
1093,-91.885
1094,-92.809
1095,-95.999
1096,-95.669
1097,-95.679
1098,-98.16
1099,-103.36
11,-32.24
110,-30.845
1100,-107.59
1101,-120.19
1102,-109.71
1103,-104.83
1104,-100.71
1105,-96.522
1106,-94.937
1107,-95.574
1108,-94.603
1109,-92.126
111,-31.47
1110,-91.667
1111,-93.277
1112,-93.817
1113,-92.057
1114,-92.374
1115,-94.77
1116,-96.821
1117,-96.147
1118,-97.963
1119,-102.55
112,-34.035
1120,-109.18
1121,-118.86
1122,-108.92
1123,-103.59
1124,-101.9
1125,-97.01
1126,-94.647
1127,-94.626
1128,-96.164
1129,-92.795
113,-32.085
1130,-91.724
1131,-92.632
1132,-95.557
1133,-92.971
1134,-92.719
1135,-94.388
1136,-98.445
1137,-97.553
1138,-98.941
1139,-103.21
114,-30.811
1140,-113
1141,-120.83
1142,-106.11
1143,-101.68
1144,-100.97
1145,-97.19
1146,-94.415
1147,-93.643
1148,-95.236
1149,-93.567
115,-31.301
1150,-91.754
1151,-92.016
1152,-94.374
1153,-94.05
1154,-93.098
1155,-94.227
1156,-97.474
1157,-99.094
1158,-99.977
1159,-104.01
116,-33.694
1160,-115.02
1161,-117.19
1162,-104.94
1163,-100.38
1164,-99.261
1165,-97.938
1166,-94.397
1167,-93.158
1168,-93.976
1169,-94.706
117,-32.222
1170,-92.288
1171,-91.822
1172,-93.512
1173,-95.56
1174,-93.803
1175,-94.426
1176,-97.058
1177,-101.06
1178,-101.44
1179,-106.09
118,-30.806
1180,-121.83
1181,-113.79
1182,-104.08
1183,-99.081
1184,-97.573
1185,-99.062
1186,-94.708
1187,-92.876
1188,-93.058
1189,-95.403
119,-31.164
1190,-92.934
1191,-91.904
1192,-92.79
1193,-96.148
1194,-95.056
1195,-95.016
1196,-96.951
1197,-101.66
1198,-103.73
1199,-108.75
12,-30.941
120,-33.395
1200,-118.91
1201,-109.46
1202,-103.17
1203,-98.051
1204,-96.32
1205,-97.259
1206,-95.472
1207,-92.77
1208,-92.416
1209,-93.979
121,-32.404
1210,-93.829
1211,-92.114
1212,-92.321
1213,-94.636
1214,-95.92
1215,-95.306
1216,-96.734
1217,-100.95
1218,-105.08
1219,-109.85
122,-30.847
1220,-118.69
1221,-107.17
1222,-103.92
1223,-98.614
1224,-95.886
1225,-95.834
1226,-96.431
1227,-93.167
1228,-92.107
1229,-93.047
123,-31.077
1230,-95.234
1231,-92.769
1232,-92.535
1233,-94.408
1234,-98.065
1235,-96.4
1236,-97.523
1237,-101.19
1238,-108.21
1239,-116.87
124,-33.155
1240,-111.86
1241,-104.26
1242,-103.01
1243,-98.481
1244,-95.379
1245,-94.779
1246,-96.149
1247,-93.68
1248,-92.135
1249,-92.298
125,-32.637
1250,-94.662
1251,-93.654
1252,-92.575
1253,-93.671
1254,-97.129
1255,-97.833
1256,-97.847
1257,-101.22
1258,-108.94
1259,-122.22
126,-30.936
1260,-112.15
1261,-103.3
1262,-101.71
1263,-99.442
1264,-95.497
1265,-94.34
1266,-94.989
1267,-95.137
1268,-92.459
1269,-92.145
127,-31.035
1270,-93.945
1271,-95.348
1272,-93.404
1273,-94.132
1274,-96.851
1275,-99.852
1276,-99.347
1277,-102.79
1278,-111.35
1279,-120.55
128,-32.958
1280,-108.46
1281,-101.51
1282,-99.63
1283,-99.627
1284,-95.342
1285,-93.447
1286,-93.715
1287,-96.052
1288,-93.054
1289,-92.071
129,-32.909
1290,-93.024
1291,-96.04
1292,-94.2
1293,-93.893
1294,-95.854
1295,-100.48
1296,-101.17
1297,-103.89
1298,-110.48
1299,-120.68
13,-31.414
130,-31.059
1300,-107.07
1301,-101.36
1302,-98.432
1303,-98.642
1304,-96.239
1305,-93.641
1306,-93.29
1307,-94.732
1308,-93.737
1309,-92.369
131,-31.025
1310,-92.605
1311,-94.884
1312,-95.362
1313,-94.531
1314,-96.176
1315,-99.996
1316,-102.89
1317,-105.08
1318,-114.58
1319,-115.85
132,-32.795
1320,-107.27
1321,-100.76
1322,-97.264
1323,-97.36
1324,-97.268
1325,-93.862
1326,-92.819
1327,-93.557
1328,-95.198
1329,-92.818
133,-33.209
1330,-92.582
1331,-94.329
1332,-97.205
1333,-95.589
1334,-96.263
1335,-99.87
1336,-105.89
1337,-109.05
1338,-124.31
1339,-110.18
134,-31.199
1340,-105.58
1341,-99.494
1342,-96.683
1343,-95.43
1344,-97.194
1345,-93.997
1346,-92.098
1347,-92.388
1348,-94.925
1349,-93.26
135,-31.023
1350,-92.125
1351,-93.095
1352,-96.431
1353,-96.287
1354,-96.323
1355,-99.24
1356,-104.36
1357,-108.77
1358,-120.37
1359,-107.74
136,-32.636
1360,-104.66
1361,-100.46
1362,-96.196
1363,-95.106
1364,-95.56
1365,-94.671
1366,-92.19
1367,-91.966
1368,-93.433
1369,-94.067
137,-33.509
1370,-92.232
1371,-92.577
1372,-95.079
1373,-97.061
1374,-96.565
1375,-98.071
1376,-103.37
1377,-110.65
1378,-122.11
1379,-108.04
138,-31.329
1380,-103.73
1381,-102.22
1382,-97.421
1383,-95.274
1384,-94.876
1385,-96.437
1386,-93.317
1387,-92.023
1388,-93.215
1389,-96.003
139,-31.009
1390,-93.378
1391,-93.328
1392,-94.774
1393,-98.947
1394,-97.937
1395,-99.699
1396,-104.3
1397,-112.77
1398,-117.24
1399,-106.75
14,-33.783
140,-32.461
1400,-101.33
1401,-101.01
1402,-97.395
