f,A
0,-66.641
1,-25.245
10,-27.531
100,-27.493
1000,-115.43
1001,-110.83
1002,-115.42
1003,-112.15
1004,-109.6
1005,-109.78
1006,-114.79
1007,-114.63
1008,-111.42
1009,-115.03
101,-24.733
1010,-113.9
1011,-109.96
1012,-110.64
1013,-112.66
1014,-111.88
1015,-114.22
1016,-114.43
1017,-109.63
1018,-111.73
1019,-114.24
102,-23.946
1020,-115.52
1021,-108.69
1022,-114.7
1023,-112.43
1024,-108.79
1025,-114.43
1026,-116.09
1027,-115.29
1028,-116.85
1029,-109.19
103,-24.912
1030,-110.37
1031,-115.44
1032,-111.36
1033,-109.37
1034,-115.12
1035,-110.03
1036,-107.44
1037,-113.87
1038,-113.38
1039,-111.9
104,-27.797
1040,-116.42
1041,-112.03
1042,-113.07
1043,-113.62
1044,-113.13
1045,-114.49
1046,-111.98
1047,-113.45
1048,-113.23
1049,-113.39
105,-24.847
1050,-113.36
1051,-112.94
1052,-112.47
1053,-113.6
1054,-112.08
1055,-112.96
1056,-114.36
1057,-114.55
1058,-114.05
1059,-114.94
106,-23.909
1060,-114.7
1061,-110.13
1062,-112.3
1063,-115.68
1064,-114.53
1065,-114.16
1066,-110.33
1067,-110.91
1068,-110.7
1069,-117.57
107,-24.726
1070,-116.33
1071,-110.86
1072,-115.24
1073,-112.87
1074,-116.56
1075,-116.08
1076,-107.62
1077,-109.5
1078,-109.67
1079,-114.05
108,-27.526
1080,-111.99
1081,-111.9
1082,-115.23
1083,-114.11
1084,-113.99
1085,-115.91
1086,-108.46
1087,-114.87
1088,-111.87
1089,-110.64
109,-24.945
1090,-113.03
1091,-109.98
1092,-115.58
1093,-114.56
1094,-112.88
1095,-114.35
1096,-114.98
1097,-113.48
1098,-110.7
1099,-113.47
11,-25.558
110,-23.86
1100,-111.55
1101,-111.74
1102,-115.29
1103,-112.3
1104,-114.33
1105,-116.81
1106,-114.16
1107,-111.24
1108,-111.32
1109,-110.69
111,-24.531
1110,-113.19
1111,-112.83
1112,-112.76
1113,-114.25
1114,-107.4
1115,-117.46
1116,-111.1
1117,-110.46
1118,-111.85
1119,-116.43
112,-27.149
1120,-112.06
1121,-116.37
1122,-115.96
1123,-113.38
1124,-115.06
1125,-114.01
1126,-113.45
1127,-116.43
1128,-114.4
1129,-114.68
113,-25.047
1130,-114.36
1131,-117.36
1132,-116.23
1133,-116.12
1134,-112.51
1135,-111.41
1136,-115.87
1137,-109.71
1138,-113.63
1139,-115.66
114,-23.818
1140,-114.01
1141,-112.72
1142,-114.69
1143,-112.55
1144,-109.48
1145,-112.36
1146,-111.94
1147,-111.09
1148,-112.9
1149,-113.87
115,-24.353
1150,-112.41
1151,-114.11
1152,-114.02
1153,-113.83
1154,-114.14
1155,-111.71
1156,-109.96
1157,-113.31
1158,-112.84
1159,-111.94
116,-26.801
1160,-111.6
1161,-114.52
1162,-113.86
1163,-113.09
1164,-113.01
1165,-116.08
1166,-111.04
1167,-112.97
1168,-114.21
1169,-109.89
117,-25.176
1170,-114.09
1171,-112.47
1172,-111.88
1173,-110.9
1174,-115.38
1175,-113.34
1176,-112.61
1177,-114.2
1178,-116.22
1179,-111.57
118,-23.807
1180,-111.86
1181,-111.34
1182,-110.72
1183,-111.91
1184,-112.93
1185,-113.3
1186,-110.15
1187,-114.18
1188,-112.66
1189,-114.31
119,-24.211
1190,-110.5
1191,-111.11
1192,-111.97
1193,-113.49
1194,-108.66
1195,-110.4
1196,-115.14
1197,-109.56
1198,-109.1
1199,-109.21
12,-24.306
120,-26.498
1200,-113.88
1201,-116.05
1202,-109.3
1203,-113.09
1204,-111.07
1205,-116.18
1206,-115.25
1207,-113.28
1208,-114.19
1209,-115.22
121,-25.351
1210,-114.83
1211,-115.8
1212,-112.68
1213,-110.04
1214,-111.28
1215,-111.82
1216,-113.92
1217,-114.85
1218,-112.02
1219,-114.48
122,-23.843
1220,-114.53
1221,-117.65
1222,-113.77
1223,-114.6
