x
-9506
1172
11545
19807
24582
24836
20648
12826
2612
-8152
-17583
-24005
-26318
-24102
-17761
-8397
2346
12568
20513
24834
24582
19956
11804
1436
-9271
-18446
-24468
-26295
-23599
-16864
-7263
3514
13569
21179
25036
24281
19230
10758
260
-10372
-19277
-24882
-26220
-23051
-15937
-6118
4672
14535
21804
25184
23926
18461
9687
-918
-11452
-20065
-25244
-26090
-22452
-14974
-4967
5821
15473
22376
25272
23519
17651
8593
-2102
-12511
-20815
-25557
-25908
-21812
-13983
-3801
6952
16376
22903
25304
23070
16802
7477
-3273
-13543
-21519
-25816
-25671
-21126
-12967
-2629
8069
17247
23381
25282
22570
15915
6347
-4446
-14547
-22181
-26021
-25383
-20394
-11919
-1451
9172
18084
23811
25207
22025
14993
5202
-5605
-15525
-22801
-26173
-25043
-19622
-10850
-276
10249
18879
24189
25072
21435
14042
4045
-6759
-16465
-23369
-26271
-24653
-18810
-9758
901
11303
19635
24509
24880
20795
13053
2877
-7898
-17378
-23896
-26315
-24215
-17960
-8652
2075
12336
20355
24780
24643
20120
12041
1705
-9019
-18252
-24366
-26306
-23720
-17073
-7524
3245
13343
21031
24994
24353
19402
10999
530
-10124
-19089
-24796
-26244
-23185
-16155
-6383
4405
14314
21660
25152
24009
18638
9933
-650
-11211
-19891
-25170
-26128
-22598
-15201
-5233
5555
15260
22251
25254
23617
17836
8842
-1831
-12275
-20646
-25490
-25955
-21963
-14214
-4070
6695
16175
22786
25299
23175
17000
7733
-3005
-13308
-21362
-25763
-25730
-21290
-13199
-2901
7816
17050
23277
25292
22689
16121
6608
-4178
-14322
-22033
-25982
-25455
-20571
-12159
-1724
8923
17895
23718
25226
22153
15212
5464
-5341
-15306
-22666
-26145
-25128
-19805
-11100
-546
10006
18699
24106
25105
21572
14263
4310
-6497
-16256
-23247
-26252
-24746
-19002
-10009
634
11065
19465
24442
24933
20947
13283
3145
-7636
-17174
-23780
-26315
-24323
-18160
-8909
1807
12101
20191
24724
24704
20281
12275
1974
-8765
-18057
-24266
-26316
-23840
-17284
-7785
2974
13111
20878
24949
24423
19568
11238
796
-9872
-18904
-24703
-26266
-23310
-16367
-6646
4138
14093
21519
25118
24090
18816
10177
-383
-10965
-19709
-25090
-26158
-22738
-15420
-5498
5291
15047
22117
25236
23713
18021
9094
-1560
-12031
-20477
-25420
-25998
-22113
-14442
-4337
6434
15966
22665
25292
23279
17197
7988
-2737
-13075
-21207
-25705
-25790
-21444
-13438
-3169
7560
16852
23167
25298
22803
16325
6865
-3913
-14094
-21888
-25933
-25523
-20736
-12400
-1995
8669
17703
23622
25246
22279
15421
5727
-5078
-15082
-22524
-26113
-25208
-19982
-11343
-814
9755
18520
24021
25138
21710
14482
4578
-6232
-16038
-23114
-26235
-24838
-19186
-10262
360
10825
19296
24371
24977
21096
13511
3412
-7378
-16967
-23662
-26301
-24421
-18354
-9160
1539
11868
20032
24665
24760
20437
12508
2246
-8508
-17856
-24158
-26316
-23952
-17488
-8044
2712
12885
20726
24904
24492
19736
11481
1067
-9618
-18712
-24602
-26276
-23434
-16579
-6908
3877
13874
21381
25088
24175
18995
10425
-109
-10715
-19527
-25001
-26185
-22872
-15640
-5761
5031
14830
21985
25216
23804
18209
9346
-1291
-11790
-20304
-25349
-26040
-22258
-14666
-4603
6176
15761
22546
25290
23385
17388
8248
-2468
-12837
-21040
-25645
-25838
-21600
-13664
-3435
7302
16655
23059
25305
22919
16529
7125
-3642
-13862
-21732
-25885
-25590
-20902
-12641
-2261
8417
17513
23526
25263
22404
15634
5989
-4809
-14856
-22379
-26075
-25280
-20158
-11587
-1086
9509
18338
23934
25168
21845
14701
4843
-5967
-15822
-22985
-26210
-24925
-19374
-10511
93
10581
19124
24290
25018
21240
13736
3680
-7115
-16754
-23539
-26291
-24521
-18550
-9415
1269
11629
19867
24603
24814
20591
12739
2513
-8247
-17655
-24048
-26319
-24063
-17689
-8300
2443
12654
20571
24855
24560
19901
11721
1338
-9365
-18519
-24509
-26294
-23557
-16790
-7170
3610
13649
21234
25051
24255
19169
10670
159
-10463
-19345
-24914
-26213
-23004
-15855
-6023
4770
14614
21850
25191
23893
18394
9594
-1019
-11542
-20132
-25273
-26077
-22402
-14892
-4870
5915
15551
22426
25277
23486
17581
8498
-2196
-12599
-20873
-25582
-25889
-21753
-13899
-3704
7047
16451
22947
25304
23030
16729
7386
-3373
-13626
-21577
-25832
-25648
-21064
-12877
-2532
