f,Y
-650,0
-649,0.01
-648,0.02
-647,0.03
-646,0.04
-645,0.05
-644,0.06
-643,0.07
-642,0.08
-641,0.09
-640,0.1
-639,0.11
-638,0.12
-637,0.13
-636,0.14
-635,0.15
-634,0.16
-633,0.17
-632,0.18
-631,0.19
-630,0.2
-629,0.21
-628,0.22
-627,0.23
-626,0.24
-625,0.25
-624,0.26
-623,0.27
-622,0.28
-621,0.29
-620,0.3
-619,0.31
-618,0.32
-617,0.33
-616,0.34
-615,0.35
-614,0.36
-613,0.37
-612,0.38
-611,0.39
-610,0.4
-609,0.41
-608,0.42
-607,0.43
-606,0.44
-605,0.45
-604,0.46
-603,0.47
-602,0.48
-601,0.49
-600,0.5
-599,0.51
-598,0.52
-597,0.53
-596,0.54
-595,0.55
-594,0.56
-593,0.57
-592,0.58
-591,0.59
-590,0.6
-589,0.61
-588,0.62
-587,0.63
-586,0.64
-585,0.65
-584,0.66
-583,0.67
-582,0.68
-581,0.69
-580,0.7
-579,0.71
-578,0.72
-577,0.73
-576,0.74
-575,0.75
-574,0.76
-573,0.77
-572,0.78
-571,0.79
-570,0.8
-569,0.81
-568,0.82
-567,0.83
-566,0.84
-565,0.85
-564,0.86
-563,0.87
-562,0.88
-561,0.89
-560,0.9
-559,0.91
-558,0.92
-557,0.93
-556,0.94
-555,0.95
-554,0.96
-553,0.97
-552,0.98
-551,0.99
-550,1
-549,1
-548,1
-547,1
-546,1
-545,1
-544,1
-543,1
-542,1
-541,1
-540,1
-539,1
-538,1
-537,1
-536,1
-535,1
-534,1
-533,1
-532,1
-531,1
-530,1
-529,1
-528,1
-527,1
-526,1
-525,1
-524,1
-523,1
-522,1
-521,1
-520,1
-519,1
-518,1
-517,1
-516,1
-515,1
-514,1
-513,1
-512,1
-511,1
-510,1
-509,1
-508,1
-507,1
-506,1
-505,1
-504,1
-503,1
-502,1
-501,1
-500,1
-499,1
-498,1
-497,1
-496,1
-495,1
-494,1
-493,1
-492,1
-491,1
-490,1
-489,1
-488,1
-487,1
-486,1
-485,1
-484,1
-483,1
-482,1
-481,1
-480,1
-479,1
-478,1
-477,1
-476,1
-475,1
-474,1
-473,1
-472,1
-471,1
-470,1
-469,1
-468,1
-467,1
-466,1
-465,1
-464,1
-463,1
-462,1
-461,1
-460,1
-459,1
-458,1
-457,1
-456,1
-455,1
-454,1
-453,1
-452,1
-451,1
-450,1
-449,1
-448,1
-447,1
-446,1
-445,1
-444,1
-443,1
-442,1
-441,1
-440,1
-439,1
-438,1
-437,1
-436,1
-435,1
-434,1
-433,1
-432,1
-431,1
-430,1
-429,1
-428,1
-427,1
-426,1
-425,1
-424,1
-423,1
-422,1
-421,1
-420,1
-419,1
-418,1
-417,1
-416,1
-415,1
-414,1
-413,1
-412,1
-411,1
-410,1
-409,1
-408,1
-407,1
-406,1
-405,1
-404,1
-403,1
-402,1
-401,1
-400,1
-399,1
-398,1
-397,1
-396,1
-395,1
-394,1
-393,1
-392,1
-391,1
-390,1
-389,1
-388,1
-387,1
-386,1
-385,1
-384,1
-383,1
-382,1
-381,1
-380,1
-379,1
-378,1
-377,1
-376,1
-375,1
-374,1
-373,1
-372,1
-371,1
-370,1
-369,1
-368,1
-367,1
-366,1
-365,1
-364,1
-363,1
-362,1
-361,1
-360,1
-359,1
-358,1
-357,1
-356,1
-355,1
-354,1
-353,1
-352,1
-351,1
-350,1
-349,1
-348,1
-347,1
-346,1
-345,1
-344,1
-343,1
-342,1
-341,1
-340,1
-339,1
-338,1
-337,1
-336,1
-335,1
-334,1
-333,1
-332,1
-331,1
-330,1
-329,1
-328,1
-327,1
-326,1
-325,1
-324,1
-323,1
-322,1
-321,1
-320,1
-319,1
-318,1
-317,1
-316,1
-315,1
-314,1
-313,1
-312,1
-311,1
-310,1
-309,1
-308,1
-307,1
-306,1
-305,1
-304,1
-303,1
-302,1
-301,1
-300,1
-299,1
-298,1
-297,1
-296,1
-295,1
-294,1
-293,1
-292,1
-291,1
-290,1
-289,1
-288,1
-287,1
-286,1
-285,1
-284,1
-283,1
-282,1
-281,1
-280,1
-279,1
-278,1
-277,1
-276,1
-275,1
-274,1
-273,1
-272,1
-271,1
-270,1
-269,1
-268,1
-267,1
-266,1
-265,1
-264,1
-263,1
-262,1
-261,1
-260,1
-259,1
-258,1
-257,1
-256,1
-255,1
-254,1
-253,1
-252,1
-251,1
-250,0.99
-249,0.98
-248,0.97
-247,0.96
-246,0.95
-245,0.94
-244,0.93
-243,0.92
-242,0.91
-241,0.9
-240,0.89
-239,0.88
-238,0.87
-237,0.86
-236,0.85
-235,0.84
-234,0.83
-233,0.82
-232,0.81
-231,0.8
-230,0.79
-229,0.78
-228,0.77
-227,0.76
-226,0.75
-225,0.74
-224,0.73
-223,0.72
-222,0.71
-221,0.7
-220,0.69
-219,0.68
-218,0.67
-217,0.66
-216,0.65
-215,0.64
-214,0.63
-213,0.62
-212,0.61
-211,0.6
-210,0.59
-209,0.58
-208,0.57
-207,0.56
-206,0.55
-205,0.54
-204,0.53
-203,0.52
-202,0.51
-201,0.5
