P,f
-49.497,0.1552
-46.763,0.15569
-47.047,0.15617
-49.971,0.15666
-49.15,0.15715
-55.859,0.15764
-74.668,0.15813
-39.641,0.15861
-28.298,0.1591
-9.6515,0.15959
-7.5804,0.16008
-18.337,0.16057
-37.949,0.16105
-46.382,0.16154
-53.48,0.16203
-50.46,0.16252
-47.315,0.16301
-49.057,0.16349
-57.465,0.16398
-56.128,0.16447
-57.194,0.16496
-65.666,0.16545
-57.655,0.16593
-54.951,0.16642
-47.595,0.16691
-45.602,0.1674
-49.842,0.16789
-60.031,0.16837
-53.836,0.16886
-52.518,0.16935
-46.169,0.16984
-48.733,0.17033
-51.627,0.17082
-55.393,0.1713
-58.317,0.17179
-53.791,0.17228
-58.552,0.17277
-46.54,0.17326
-47.162,0.17374
-62.808,0.17423
-54.227,0.17472
-60.575,0.17521
-76.436,0.1757
-51.291,0.17618
-46.246,0.17667
-48.082,0.17716
-49.602,0.17765
-53.763,0.17814
-49.225,0.17862
-54.171,0.17911
-66.235,0.1796
-61.963,0.18009
-60.178,0.18058
-50.286,0.18106
-48.656,0.18155
-56.671,0.18204
-51.44,0.18253
-66.195,0.18302
-47.584,0.1835
-48.941,0.18399
-52.635,0.18448
-71.942,0.18497
-53.137,0.18546
-50.501,0.18594
-57.934,0.18643
-54.063,0.18692
-51.071,0.18741
-46.73,0.1879
-46.907,0.18838
-50.971,0.18887
-53.588,0.18936
-48.379,0.18985
-46.173,0.19034
-46.952,0.19082
-54.032,0.19131
-45.198,0.1918
-43.178,0.19229
-46.82,0.19278
-48.114,0.19327
-61.701,0.19375
-54.456,0.19424
-50.249,0.19473
-48.227,0.19522
-50.842,0.19571
-56.245,0.19619
-66.376,0.19668
-53.787,0.19717
-50.412,0.19766
-41.664,0.19815
-40.773,0.19863
-27.007,0.19912
-10.984,0.19961
-9.8113,0.2001
-21.642,0.20059
-42.489,0.20107
-51.715,0.20156
-46.57,0.20205
-50.724,0.20254
-51.738,0.20303
-53.806,0.20351
-61.905,0.204
-52.849,0.20449
-51.103,0.20498
-55.784,0.20547
-54.214,0.20595
-52.878,0.20644
-53.325,0.20693
-45.694,0.20742
-49.319,0.20791
-49.289,0.20839
-44.037,0.20888
-43.4,0.20937
-56.046,0.20986
-51.549,0.21035
-47.206,0.21083
-45.331,0.21132
-46.673,0.21181
-49.561,0.2123
-56.206,0.21279
-77.159,0.21327
-57.557,0.21376
-56.697,0.21425
-56.746,0.21474
-58.518,0.21523
-51.675,0.21571
-55.497,0.2162
-56.96,0.21669
-57.289,0.21718
-49.777,0.21767
-57.499,0.21816
-43.696,0.21864
-53.479,0.21913
-48.357,0.21962
-47.706,0.22011
-46.084,0.2206
-49.097,0.22108
-50.699,0.22157
-48.804,0.22206
-51.814,0.22255
-46.672,0.22304
-44.924,0.22352
-48.356,0.22401
-57.166,0.2245
-48.605,0.22499
-45.847,0.22548
-49.468,0.22596
-64.596,0.22645
-52.896,0.22694
-50.541,0.22743
-45.193,0.22792
-43.954,0.2284
-44.379,0.22889
-46.423,0.22938
-53.348,0.22987
-59.198,0.23036
-47.227,0.23084
-48.361,0.23133
-67.682,0.23182
-54.05,0.23231
-54.47,0.2328
-51.273,0.23328
-55.691,0.23377
-59.54,0.23426
-46.867,0.23475
-48.427,0.23524
-57.783,0.23572
-52.446,0.23621
-50.354,0.2367
-50.05,0.23719
-45.472,0.23768
-54.357,0.23816
-41.584,0.23865
-29.063,0.23914
-14.4,0.23963
-14.157,0.24012
-27.664,0.24061
-44.021,0.24109
-52.864,0.24158
-47.639,0.24207
-48.145,0.24256
-48.776,0.24305
-54.759,0.24353
-50.735,0.24402
-48.716,0.24451
-45.728,0.245
-44.857,0.24549
-59.726,0.24597
-54.17,0.24646
-52.258,0.24695
-56.281,0.24744
-44.912,0.24793
-40.422,0.24841
-45.263,0.2489
-53.509,0.24939
-45.915,0.24988
-49.391,0.25037
-51.898,0.25085
-53.467,0.25134
-51.685,0.25183
-47.516,0.25232
-48.705,0.25281
-51.118,0.25329
-45.055,0.25378
-45.338,0.25427
-67.502,0.25476
-64.936,0.25525
-47.555,0.25573
-42.613,0.25622
-43.503,0.25671
-49.878,0.2572
-45.283,0.25769
-57.936,0.25817
-55.177,0.25866
-52.73,0.25915
-57.426,0.25964
-62.849,0.26013
-54.97,0.26061
-55.015,0.2611
-54.969,0.26159
-54.481,0.26208
-52.643,0.26257
-46.815,0.26306
-49.506,0.26354
-52.296,0.26403
-60.434,0.26452
-64.9,0.26501
-51.207,0.2655
-51.743,0.26598
-48.066,0.26647
-48.165,0.26696
-45.764,0.26745
-41.258,0.26794
-44.091,0.26842
-53.037,0.26891
-46.023,0.2694
-45.488,0.26989
-45.478,0.27038
-54.623,0.27086
-50.172,0.27135
-47.349,0.27184
-51.65,0.27233
-56.587,0.27282
-48.11,0.2733
-44.733,0.27379
-43.042,0.27428
-47.987,0.27477
-47.192,0.27526
-45.558,0.27574
-57.339,0.27623
-45.121,0.27672
-44.338,0.27721
-51.506,0.2777
-57.529,0.27818
-49.178,0.27867
-31.838,0.27916
-18.908,0.27965
-19.426,0.28014
-33.884,0.28062
-47.433,0.28111
-47.382,0.2816
-51.66,0.28209
-51.369,0.28258
-53.446,0.28306
-62.208,0.28355
-47.612,0.28404
-45.921,0.28453
-49.893,0.28502
-60.684,0.28551
-57.974,0.28599
-51.686,0.28648
-55.779,0.28697
-49.781,0.28746
-49.136,0.28795
-48.9,0.28843
-47.095,0.28892
-52.351,0.28941
-67.569,0.2899
-49.093,0.29039
-49.702,0.29087
-67.489,0.29136
-69.812,0.29185
-58.813,0.29234
-59.748,0.29283
-52.923,0.29331
-51.021,0.2938
-51.489,0.29429
-73.157,0.29478
-52.856,0.29527
-51.597,0.29575
-51.22,0.29624
-56.624,0.29673
-54.562,0.29722
-56.173,0.29771
-41.892,0.29819
-41.966,0.29868
-47.985,0.29917
-78.96,0.29966
-47.42,0.30015
-46.296,0.30063
-51.113,0.30112
-49.065,0.30161
-48.19,0.3021
-47.611,0.30259
