P,f
-44.312,0.1552
-43.157,0.15569
-48.907,0.15617
-51.111,0.15666
-52.763,0.15715
-44.81,0.15764
-49.314,0.15813
-38.635,0.15861
-29.353,0.1591
-9.8383,0.15959
-7.6736,0.16008
-18.416,0.16057
-37.959,0.16105
-45.7,0.16154
-65.797,0.16203
-50.266,0.16252
-52.153,0.16301
-47.706,0.16349
-51.298,0.16398
-48.041,0.16447
-47.025,0.16496
-47.748,0.16545
-45.046,0.16593
-58.083,0.16642
-49.814,0.16691
-53.144,0.1674
-62.43,0.16789
-52.016,0.16837
-50.529,0.16886
-50.694,0.16935
-47.879,0.16984
-47.016,0.17033
-51.654,0.17082
-53.228,0.1713
-53.157,0.17179
-50.093,0.17228
-54.802,0.17277
-52.348,0.17326
-47.831,0.17374
-59.771,0.17423
-57.948,0.17472
-60.313,0.17521
-62.306,0.1757
-60.212,0.17618
-52.998,0.17667
-50.608,0.17716
-51.366,0.17765
-49.684,0.17814
-51.75,0.17862
-46.911,0.17911
-44.963,0.1796
-46.526,0.18009
-52.092,0.18058
-47.718,0.18106
-51.987,0.18155
-56.526,0.18204
-60.037,0.18253
-50.958,0.18302
-59.845,0.1835
-47.429,0.18399
-46.625,0.18448
-55.008,0.18497
-44.509,0.18546
-49.055,0.18594
-52.315,0.18643
-51.739,0.18692
-59.987,0.18741
-65.034,0.1879
-51.235,0.18838
-46.13,0.18887
-47.809,0.18936
-51.862,0.18985
-53.849,0.19034
-52.474,0.19082
-48.935,0.19131
-51.095,0.1918
-53.488,0.19229
-47.026,0.19278
-43.861,0.19327
-45.362,0.19375
-47.989,0.19424
-48.845,0.19473
-42.654,0.19522
-44.53,0.19571
-46.987,0.19619
-44.629,0.19668
-44.257,0.19717
-48.018,0.19766
-47.296,0.19815
-43.028,0.19863
-27.485,0.19912
-11.091,0.19961
-9.91,0.2001
-22.066,0.20059
-41.896,0.20107
-46.299,0.20156
-44.806,0.20205
-45.848,0.20254
-55.327,0.20303
-48.473,0.20351
-50.759,0.204
-49.89,0.20449
-49.087,0.20498
-51.106,0.20547
-67.101,0.20595
-46.364,0.20644
-43.399,0.20693
-46.678,0.20742
-51.069,0.20791
-49.369,0.20839
-45.873,0.20888
-45.563,0.20937
-50.158,0.20986
-54.258,0.21035
-46.757,0.21083
-44.394,0.21132
-61.462,0.21181
-51.77,0.2123
-61.154,0.21279
-60.014,0.21327
-53.588,0.21376
-50.406,0.21425
-54.534,0.21474
-51.019,0.21523
-43.71,0.21571
-48.699,0.2162
-47.154,0.21669
-45.385,0.21718
-49.453,0.21767
-51.746,0.21816
-48.423,0.21864
-46.924,0.21913
-53.442,0.21962
-50.425,0.22011
-70.146,0.2206
-49.412,0.22108
-52.476,0.22157
-63.488,0.22206
-52.106,0.22255
-47.133,0.22304
-48.766,0.22352
-46.7,0.22401
-51.374,0.2245
-52.624,0.22499
-48.597,0.22548
-55.193,0.22596
-55.629,0.22645
-55.443,0.22694
-56.8,0.22743
-52.93,0.22792
-49.703,0.2284
-48.939,0.22889
-49.512,0.22938
-50.525,0.22987
-52.757,0.23036
-52.608,0.23084
-46.133,0.23133
-44.022,0.23182
-50.84,0.23231
-48.974,0.2328
-53.699,0.23328
-51.264,0.23377
-47.299,0.23426
-44.739,0.23475
-45.118,0.23524
-47.073,0.23572
-47.169,0.23621
-59.281,0.2367
-45.034,0.23719
-45.874,0.23768
-51.378,0.23816
-47.245,0.23865
-28.641,0.23914
-14.25,0.23963
-13.976,0.24012
-27.687,0.24061
-42.686,0.24109
-46.463,0.24158
-48.75,0.24207
-52.479,0.24256
-71.813,0.24305
-53.055,0.24353
-47.674,0.24402
-50.97,0.24451
-53.737,0.245
-47.668,0.24549
-50.982,0.24597
-64.412,0.24646
-51.218,0.24695
-53.621,0.24744
-59.015,0.24793
-61.63,0.24841
-46.61,0.2489
-46.218,0.24939
-53.997,0.24988
-49.385,0.25037
-47.905,0.25085
-49.434,0.25134
-60.43,0.25183
-53.883,0.25232
-61.468,0.25281
-48.962,0.25329
-52.706,0.25378
-52.908,0.25427
-67.079,0.25476
-51.439,0.25525
-53.775,0.25573
-53.173,0.25622
-56.226,0.25671
-52.133,0.2572
-53.771,0.25769
-50.29,0.25817
-47.686,0.25866
-49.505,0.25915
-49.799,0.25964
-57.823,0.26013
-68.937,0.26061
-57.96,0.2611
-51.874,0.26159
-51.739,0.26208
-48.282,0.26257
-51.902,0.26306
-53.042,0.26354
-47.9,0.26403
-51.309,0.26452
-56.904,0.26501
-48.541,0.2655
-48.598,0.26598
-49.492,0.26647
-50.78,0.26696
-57.084,0.26745
-44.724,0.26794
-45.023,0.26842
-49.967,0.26891
-47.497,0.2694
-53.533,0.26989
-41.947,0.27038
-45.677,0.27086
-69.822,0.27135
-51.389,0.27184
-46.712,0.27233
-52.652,0.27282
-46.854,0.2733
-42.002,0.27379
-47.911,0.27428
-54.378,0.27477
-63.812,0.27526
-50.02,0.27574
-46.47,0.27623
-50.154,0.27672
-47.448,0.27721
-49.381,0.2777
-50.981,0.27818
-43.646,0.27867
-32.102,0.27916
-18.89,0.27965
-19.644,0.28014
-35.43,0.28062
-51.386,0.28111
-45.592,0.2816
-46.511,0.28209
-54.829,0.28258
-53.482,0.28306
-44.548,0.28355
-47.063,0.28404
-42.904,0.28453
-46.309,0.28502
-60.887,0.28551
-62.68,0.28599
-53.604,0.28648
-53.362,0.28697
-52.992,0.28746
-52.09,0.28795
-55.861,0.28843
-55.346,0.28892
-65.255,0.28941
-57.193,0.2899
-84.425,0.29039
-54.565,0.29087
-59.117,0.29136
-53.659,0.29185
-46.142,0.29234
-46.342,0.29283
-46.845,0.29331
-46.977,0.2938
-49.246,0.29429
-54.319,0.29478
-49.232,0.29527
-57.517,0.29575
-45.951,0.29624
-45.731,0.29673
-47.279,0.29722
-58.209,0.29771
-52.664,0.29819
-49.515,0.29868
-55.077,0.29917
-52.485,0.29966
-47.234,0.30015
-46.585,0.30063
-52.448,0.30112
-52.028,0.30161
-45.55,0.3021
-50.87,0.30259
-47.252,0.30307
-48.047,0.30356
-63.225,0.30405
-50.99,0.30454
-52.768,0.30503
-51.075,0.30551
-50.049,0.306
-54.077,0.30649
-64.071,0.30698
-52.246,0.30747
-45.575,0.30796
-48.839,0.30844
-52.169,0.30893
-48.941,0.30942
-47.152,0.30991
-55.732,0.3104
-68.167,0.31088
-57.328,0.31137
-51.747,0.31186
-48.417,0.31235
-56.165,0.31284
-53.026,0.31332
-43.625,0.31381
-44.736,0.3143
-50.641,0.31479
-54.732,0.31528
-71.978,0.31576
-62.561,0.31625
-53.621,0.31674
-51.356,0.31723
-46.925,0.31772
-63.935,0.3182
-45.273,0.31869
-39.726,0.31918
-28.186,0.31967
-30.218,0.32016
-71.589,0.32064
-47.141,0.32113
-51.589,0.32162
-49.145,0.32211
-48.925,0.3226
-49.872,0.32308
-45.837,0.32357
-49.027,0.32406
-54.225,0.32455
-78.654,0.32504
-51.829,0.32552
-49.116,0.32601
-50.456,0.3265
-61.887,0.32699
-48.84,0.32748
-47.673,0.32796
-58.586,0.32845
-52.317,0.32894
-59.064,0.32943
-60.193,0.32992
-52.627,0.33041
-52.004,0.33089
-58.724,0.33138
-49.646,0.33187
-50.998,0.33236
-49.314,0.33285
-48.482,0.33333
-63.049,0.33382
-48.822,0.33431
-49.939,0.3348
-52.45,0.33529
-70.192,0.33577
-59.492,0.33626
-50.565,0.33675
-55.313,0.33724
-50.241,0.33773
-49.232,0.33821
-47.876,0.3387
-45.252,0.33919
-45.696,0.33968
-53.922,0.34017
-52.853,0.34065
-56.514,0.34114
-61.151,0.34163
-62.892,0.34212
-51.471,0.34261
-54.245,0.34309
-57.448,0.34358
-56.867,0.34407
-49.824,0.34456
-52.621,0.34505
-56.981,0.34553
-50.226,0.34602
-54.564,0.34651
-50.144,0.347
-50.624,0.34749
-58.625,0.34797
-60.293,0.34846
-47.174,0.34895
-50.084,0.34944
-49.119,0.34993
-52.004,0.35041
-53.73,0.3509
-59.892,0.35139
-50.044,0.35188
-50.117,0.35237
-51.857,0.35286
-46.926,0.35334
-56.538,0.35383
-45.725,0.35432
-43.51,0.35481
-44.516,0.3553
