abs(js),abs(ml),w
0.0041111,0.0040186,2.755
0.0042166,0.0041398,2.7581
0.0043485,0.0038856,2.7612
0.0038972,0.0038337,2.7642
0.0040594,0.0043042,2.7673
0.0039359,0.0040238,2.7704
0.0042636,0.0038208,2.7734
0.0039465,0.0040806,2.7765
0.0036016,0.0038516,2.7796
0.0044112,0.0039321,2.7826
0.00378,0.0042265,2.7857
0.0041363,0.0042945,2.7888
0.0039628,0.0038451,2.7918
0.0040491,0.0038515,2.7949
0.0044578,0.0037363,2.798
0.0039052,0.0040959,2.801
0.0038278,0.0038649,2.8041
0.0040263,0.0037727,2.8072
0.0041556,0.0037891,2.8103
0.0040348,0.0038681,2.8133
0.0042556,0.0038616,2.8164
0.0039133,0.0040428,2.8195
0.0041793,0.0038286,2.8225
0.0041908,0.0039699,2.8256
0.0039696,0.0039964,2.8287
0.0037756,0.0039279,2.8317
0.0038386,0.0036957,2.8348
0.0040668,0.0039653,2.8379
0.0039671,0.0036868,2.8409
0.003906,0.0036087,2.844
0.0041906,0.0040253,2.8471
0.0036913,0.0037785,2.8501
0.0040415,0.0038807,2.8532
0.0038941,0.0041886,2.8563
0.0038235,0.0036963,2.8593
0.0039187,0.0037581,2.8624
0.0039343,0.0041524,2.8655
0.0040619,0.0035981,2.8685
0.0041197,0.0033582,2.8716
0.0039465,0.0040193,2.8747
0.0038147,0.0038338,2.8777
0.0037464,0.0041454,2.8808
0.003685,0.0038556,2.8839
0.0036465,0.0039725,2.887
0.0040386,0.0035886,2.89
0.0036849,0.0040593,2.8931
0.0037132,0.0040092,2.8962
0.0044449,0.0037055,2.8992
0.0036586,0.0039741,2.9023
0.0035793,0.0035895,2.9054
0.0037957,0.0038544,2.9084
0.0036538,0.0038147,2.9115
0.0038591,0.0036861,2.9146
0.0034657,0.0035932,2.9176
0.0039302,0.0039469,2.9207
0.0038544,0.0036777,2.9238
0.003966,0.0040567,2.9268
0.0038702,0.0033198,2.9299
0.0037691,0.0034986,2.933
0.0036289,0.0035092,2.936
0.0038319,0.0037849,2.9391
0.0039393,0.0038733,2.9422
0.003524,0.0035593,2.9452
0.0035896,0.0034862,2.9483
0.0038672,0.0037972,2.9514
0.0036721,0.0032813,2.9544
0.0035238,0.0034188,2.9575
0.0034835,0.003819,2.9606
0.0036135,0.0036764,2.9637
0.0035072,0.003411,2.9667
0.0034584,0.0035068,2.9698
0.0035882,0.0035751,2.9729
0.0037031,0.0040327,2.9759
0.0034476,0.0035263,2.979
0.0036886,0.0034775,2.9821
0.0038149,0.003333,2.9851
0.003739,0.0037612,2.9882
0.0035059,0.0035443,2.9913
0.0036599,0.003564,2.9943
0.0035359,0.0034406,2.9974
0.0033766,0.0040566,3.0005
0.0038174,0.0034164,3.0035
0.0036759,0.0032441,3.0066
0.0035628,0.0034205,3.0097
0.0035782,0.0036602,3.0127
0.003613,0.00359,3.0158
0.0034734,0.0035716,3.0189
0.0034153,0.0035945,3.0219
0.0034986,0.0034346,3.025
0.0035851,0.003327,3.0281
0.0033942,0.0035004,3.0311
0.0036745,0.0032588,3.0342
0.0037006,0.003236,3.0373
0.0034111,0.0032397,3.0403
0.0034224,0.0034537,3.0434
0.0037228,0.0037847,3.0465
0.0032302,0.0034222,3.0496
0.0033492,0.0034839,3.0526
0.0034919,0.0035465,3.0557
0.0034705,0.0031349,3.0588
0.0032406,0.0033894,3.0618
0.0033596,0.003345,3.0649
0.0037736,0.0033631,3.068
0.0034293,0.0036236,3.071
0.0034072,0.0035384,3.0741
0.0033235,0.0037081,3.0772
0.0030569,0.0031467,3.0802
0.0036001,0.0032773,3.0833
0.0034306,0.0031691,3.0864
0.0033412,0.0034587,3.0894
0.0034158,0.0034237,3.0925
0.003256,0.0034958,3.0956
0.0033191,0.0031367,3.0986
0.0034135,0.0037675,3.1017
0.0033953,0.0032228,3.1048
0.0032498,0.0035512,3.1078
0.0033562,0.0032897,3.1109
0.0035359,0.0033176,3.114
0.003569,0.0034512,3.117
0.0033645,0.0031964,3.1201
0.0033002,0.0033376,3.1232
0.0035124,0.003207,3.1263
0.0033935,0.0034549,3.1293
0.0034459,0.0033232,3.1324
0.0031117,0.0033561,3.1355
0.0032537,0.0032653,3.1385
0.0035932,0.0034922,3.1416
0.0037389,0.0034528,3.1447
0.003581,0.0033825,3.1477
0.0032996,0.0031893,3.1508
0.0033442,0.0033789,3.1539
0.0033441,0.0035153,3.1569
0.0032346,0.003029,3.16
0.0033723,0.003302,3.1631
0.0033909,0.003119,3.1661
0.002817,0.0031485,3.1692
0.0031755,0.0031727,3.1723
0.0034937,0.0030855,3.1753
0.0031709,0.0032745,3.1784
0.0033236,0.0033313,3.1815
0.0031701,0.0032634,3.1845
0.0032904,0.0031451,3.1876
0.0031668,0.0032309,3.1907
0.0032142,0.0032297,3.1937
0.0031609,0.0030837,3.1968
0.0031587,0.0031535,3.1999
0.0031202,0.0029104,3.203
0.0031694,0.002936,3.206
0.0034349,0.0030761,3.2091
0.003513,0.003204,3.2122
0.0031282,0.0027863,3.2152
0.0030278,0.0031915,3.2183
0.0030743,0.0031564,3.2214
0.0031975,0.0033254,3.2244
0.0031028,0.0032772,3.2275
0.0033972,0.0030153,3.2306
0.0029462,0.003147,3.2336
0.0032071,0.0031526,3.2367
0.0031574,0.0031378,3.2398
0.0033218,0.0034777,3.2428
0.0034258,0.0028721,3.2459
0.0031881,0.0032904,3.249
0.0031562,0.0030817,3.252
0.0029678,0.0028805,3.2551
0.0031853,0.0032078,3.2582
0.0031023,0.002973,3.2612
0.0029688,0.0031761,3.2643
0.0030036,0.0030858,3.2674
0.0030763,0.0028997,3.2704
0.0033207,0.003054,3.2735
0.0029241,0.0029309,3.2766
0.0032064,0.0032569,3.2797
0.0031501,0.0028636,3.2827
0.0029801,0.003208,3.2858
0.0032363,0.0027608,3.2889
0.0029717,0.0030645,3.2919
0.0031203,0.0029562,3.295
0.0033637,0.0030842,3.2981
0.0030929,0.0030232,3.3011
0.0031776,0.0031377,3.3042
0.0030237,0.0028261,3.3073
0.0031337,0.0031401,3.3103
0.003102,0.0030354,3.3134
0.0031752,0.0030869,3.3165
0.0030788,0.0031138,3.3195
0.0032724,0.0028386,3.3226
0.0028357,0.0031013,3.3257
0.0031085,0.0029543,3.3287
0.0029708,0.0027645,3.3318
0.0030556,0.0029417,3.3349
0.0029721,0.0031009,3.3379
0.0030939,0.002797,3.341
0.0033739,0.0030327,3.3441
0.0032177,0.00307,3.3471
0.0028486,0.0025749,3.3502
0.0029022,0.0030384,3.3533
0.0029097,0.0028941,3.3563
0.0031971,0.0030455,3.3594
0.0030732,0.0027771,3.3625
0.0030656,0.003345,3.3656
0.0028737,0.0030063,3.3686
0.0030062,0.003096,3.3717
0.0032818,0.0031659,3.3748
0.0027717,0.0029867,3.3778
0.0027971,0.0030464,3.3809
0.0031472,0.0028308,3.384
0.0030083,0.0027379,3.387
0.0032195,0.00252,3.3901
0.0028977,0.0030422,3.3932
0.003015,0.0028665,3.3962
0.0029049,0.0032391,3.3993
0.0030794,0.002954,3.4024
0.0027455,0.0031604,3.4054
0.0028651,0.0028361,3.4085
0.0030727,0.003034,3.4116
0.0030015,0.0029699,3.4146
0.0030761,0.0028503,3.4177
0.0029277,0.0031143,3.4208
0.0029241,0.0026449,3.4238
0.0027368,0.0029991,3.4269
0.0029107,0.0024397,3.43
0.0029014,0.0029179,3.433
0.0028706,0.0030657,3.4361
0.0029211,0.0028736,3.4392
0.0028811,0.0030271,3.4423
0.0028795,0.0028281,3.4453
0.0027982,0.0027128,3.4484
0.0028123,0.0028213,3.4515
0.0031113,0.0029404,3.4545
0.0030274,0.0029771,3.4576
0.0028018,0.002423,3.4607
0.0027749,0.0027051,3.4637
0.0026855,0.0028849,3.4668
0.0028021,0.0025318,3.4699
0.0028915,0.0029233,3.4729
0.0028039,0.002808,3.476
0.002808,0.0024449,3.4791
0.0028004,0.0028155,3.4821
0.0029069,0.0027326,3.4852
0.0028543,0.0023524,3.4883
0.002845,0.0026768,3.4913
0.0028516,0.0025335,3.4944
0.0028143,0.0026697,3.4975
0.0028947,0.0025409,3.5005
0.0026648,0.0027223,3.5036
0.0028188,0.0029048,3.5067
0.0027767,0.0026428,3.5097
0.0025716,0.0031418,3.5128
0.0030162,0.0025448,3.5159
0.0026162,0.0028351,3.519
0.0031804,0.002227,3.522
0.0027335,0.0030205,3.5251
0.0029228,0.0031518,3.5282
0.0025394,0.0028733,3.5312
0.0028626,0.0024319,3.5343
0.0029563,0.0025824,3.5374
0.0027642,0.002314,3.5404
0.002832,0.0027098,3.5435
0.0026982,0.0026458,3.5466
0.0028053,0.002421,3.5496
0.0026582,0.0028195,3.5527
0.0029133,0.0026788,3.5558
0.0027845,0.0026627,3.5588
0.0027827,0.002608,3.5619
0.0026396,0.0027632,3.565
0.0028226,0.0028027,3.568
0.0027087,0.002837,3.5711
0.0026389,0.0027486,3.5742
0.0026215,0.0027472,3.5772
0.0027345,0.002553,3.5803
0.0030415,0.0027133,3.5834
0.0026121,0.0031501,3.5864
0.0028863,0.0026436,3.5895
0.002645,0.0024901,3.5926
0.0026386,0.0026168,3.5957
0.002883,0.003055,3.5987
0.0027006,0.0028227,3.6018
0.0026571,0.0024231,3.6049
0.0026801,0.0027447,3.6079
0.0027539,0.0028407,3.611
0.0026976,0.0025316,3.6141
0.0026709,0.0026278,3.6171
0.0028175,0.002499,3.6202
0.0025193,0.0027945,3.6233
0.0026314,0.0026975,3.6263
0.0025378,0.0027344,3.6294
0.002641,0.0025194,3.6325
0.0027657,0.0026937,3.6355
0.0026878,0.0025184,3.6386
0.0024784,0.002697,3.6417
0.0025081,0.0024675,3.6447
0.0024725,0.0026069,3.6478
0.0024617,0.0025855,3.6509
0.0028078,0.002697,3.6539
0.0028162,0.0025945,3.657
0.0024958,0.0026221,3.6601
0.0026216,0.0029631,3.6631
0.0027395,0.0025711,3.6662
0.0027883,0.0025556,3.6693
0.0025989,0.0025907,3.6724
0.00272,0.0024581,3.6754
0.0026402,0.0024958,3.6785
0.0025784,0.0025811,3.6816
0.0024953,0.0023728,3.6846
0.0024543,0.0028378,3.6877
0.0027033,0.0027505,3.6908
0.0023715,0.0023939,3.6938
0.0025317,0.0024816,3.6969
0.0024978,0.0026241,3.7
0.0024647,0.0025089,3.703
0.0026916,0.0027156,3.7061
0.0026333,0.0027416,3.7092
0.0026185,0.0028587,3.7122
0.002603,0.002534,3.7153
0.0025649,0.0025579,3.7184
0.0029353,0.0024422,3.7214
0.0025979,0.002529,3.7245
0.0027265,0.0024337,3.7276
0.0025573,0.0025475,3.7306
0.0024918,0.0024431,3.7337
0.0026532,0.0025918,3.7368
0.0026418,0.0025435,3.7398
0.0025891,0.0024125,3.7429
0.0026952,0.0025013,3.746
0.0024121,0.0026876,3.749
0.0027427,0.0027195,3.7521
0.002659,0.0024674,3.7552
0.0024327,0.002575,3.7583
0.0025738,0.0025963,3.7613
0.0024485,0.0025017,3.7644
0.0024398,0.002428,3.7675
0.0025243,0.0024809,3.7705
0.0024254,0.0027499,3.7736
0.0024865,0.0024925,3.7767
0.0025853,0.0025074,3.7797
0.0025434,0.002381,3.7828
0.0027258,0.0026755,3.7859
0.002542,0.0023817,3.7889
0.0024441,0.0025655,3.792
0.0026706,0.0026516,3.7951
0.0025067,0.0025196,3.7981
0.0022785,0.002823,3.8012
0.0024878,0.0024969,3.8043
0.0024467,0.0024061,3.8073
0.002456,0.0026173,3.8104
0.0024952,0.0022333,3.8135
0.0025713,0.0025599,3.8165
0.00246,0.0023415,3.8196
0.0024504,0.0024149,3.8227
0.0023423,0.0025356,3.8257
0.0025501,0.0025803,3.8288
0.002466,0.0027943,3.8319
0.0024579,0.002329,3.835
0.0026017,0.0024543,3.838
0.0024299,0.0023627,3.8411
0.0024066,0.0024673,3.8442
0.0024468,0.0024296,3.8472
0.0023337,0.0023606,3.8503
0.0025428,0.002672,3.8534
0.0024225,0.0022967,3.8564
0.0025215,0.0023792,3.8595
0.0024858,0.0021623,3.8626
0.0025763,0.0024219,3.8656
0.0024527,0.0023692,3.8687
0.0023187,0.0022847,3.8718
0.0023922,0.002454,3.8748
0.0025692,0.002469,3.8779
0.0024365,0.0026033,3.881
0.0023716,0.0024858,3.884
0.002267,0.0022124,3.8871
0.0024949,0.0022816,3.8902
0.0024761,0.002468,3.8932
0.00247,0.0023723,3.8963
0.0026105,0.0025163,3.8994
0.0023978,0.0023849,3.9024
0.0023488,0.0021358,3.9055
0.0024955,0.0020873,3.9086
0.0024224,0.0023336,3.9117
0.002402,0.0021178,3.9147
0.0023842,0.0023925,3.9178
0.0024492,0.0021387,3.9209
0.0023251,0.0024755,3.9239
0.0023331,0.002526,3.927
0.0024714,0.0023816,3.9301
0.0024476,0.0022906,3.9331
0.0022575,0.0023162,3.9362
0.0023766,0.0023984,3.9393
0.0025212,0.0024397,3.9423
0.0024882,0.0022649,3.9454
0.002422,0.0024466,3.9485
0.0022878,0.0022997,3.9515
0.0023861,0.0025641,3.9546
0.002468,0.0021631,3.9577
0.0023635,0.0023449,3.9607
0.0024825,0.0023628,3.9638
0.0022979,0.0022906,3.9669
0.0024426,0.0023128,3.9699
0.0024144,0.0021508,3.973
0.0024139,0.0021368,3.9761
0.0024867,0.0022134,3.9791
0.0025119,0.0023042,3.9822
0.0022683,0.0021991,3.9853
0.0022871,0.0023276,3.9884
0.002231,0.0025431,3.9914
0.0022098,0.0024584,3.9945
0.0022411,0.0025945,3.9976
0.002327,0.0025174,4.0006
0.0027346,0.0025664,4.0037
0.0022568,0.0021781,4.0068
0.0020852,0.0022346,4.0098
0.002228,0.002062,4.0129
0.0021569,0.0022862,4.016
0.0023306,0.0024635,4.019
0.0022832,0.002395,4.0221
0.0023178,0.0024893,4.0252
0.002363,0.0021929,4.0282
0.0022683,0.0022293,4.0313
0.0024227,0.0022037,4.0344
0.0023915,0.0023234,4.0374
0.0023804,0.0024694,4.0405
0.0023204,0.0020912,4.0436
0.0022805,0.0022906,4.0466
0.0022756,0.0022912,4.0497
0.0022546,0.0020596,4.0528
0.0023914,0.0023812,4.0558
0.002472,0.0024056,4.0589
0.0022602,0.0023157,4.062
0.0023213,0.0022603,4.065
0.00238,0.0022066,4.0681
0.0024168,0.0024604,4.0712
0.0023253,0.0023431,4.0743
0.0023678,0.0023283,4.0773
0.0023731,0.0021892,4.0804
0.0022983,0.002396,4.0835
0.0023047,0.0023655,4.0865
0.0023145,0.0022355,4.0896
0.0021948,0.0022836,4.0927
0.0023571,0.0022322,4.0957
0.0022419,0.0022436,4.0988
0.0024371,0.0021384,4.1019
0.002318,0.002332,4.1049
0.0020718,0.002189,4.108
0.002146,0.002147,4.1111
0.0021878,0.0023738,4.1141
0.0022337,0.0023002,4.1172
0.0023646,0.0022479,4.1203
0.0021921,0.0023261,4.1233
0.0020153,0.0021647,4.1264
0.0020035,0.0021769,4.1295
0.0022756,0.0021378,4.1325
0.0023534,0.0022717,4.1356
0.0024002,0.0022295,4.1387
0.0022262,0.0021877,4.1417
0.0022033,0.0022727,4.1448
0.0023594,0.0022505,4.1479
0.0022066,0.0022939,4.151
0.0024069,0.0023291,4.154
0.0022766,0.0023023,4.1571
0.0022383,0.0023208,4.1602
0.0022163,0.0020623,4.1632
0.0023078,0.0021985,4.1663
0.0023017,0.0022242,4.1694
0.0021453,0.0020859,4.1724
0.0020888,0.002086,4.1755
0.00222,0.0023323,4.1786
0.0022147,0.0021636,4.1816
0.0019913,0.0021311,4.1847
0.0021921,0.0022858,4.1878
0.0022068,0.0022228,4.1908
0.0023159,0.0023207,4.1939
0.0021764,0.0021554,4.197
0.0020838,0.002088,4.2
0.0022094,0.0021933,4.2031
0.0022348,0.0020563,4.2062
0.0021753,0.0020592,4.2092
0.0021144,0.0021547,4.2123
0.0023203,0.0023064,4.2154
0.0022415,0.0022201,4.2184
0.0020534,0.00211,4.2215
0.002083,0.0021138,4.2246
0.0022658,0.0022689,4.2277
0.002268,0.0021271,4.2307
0.0022543,0.0020812,4.2338
0.0022045,0.0021334,4.2369
0.0023504,0.0022388,4.2399
0.0020958,0.0021465,4.243
0.0021308,0.0021723,4.2461
0.0021504,0.0022692,4.2491
0.0021122,0.0020339,4.2522
0.0022034,0.00208,4.2553
0.0022458,0.0022951,4.2583
0.0021617,0.0023454,4.2614
0.0020075,0.0021393,4.2645
0.0020964,0.0020574,4.2675
0.0021765,0.0020885,4.2706
0.0021463,0.0022015,4.2737
0.0021654,0.0022622,4.2767
0.0021105,0.0022135,4.2798
0.0021503,0.0020664,4.2829
0.0022836,0.0021362,4.2859
0.0020625,0.0022123,4.289
0.0021172,0.0023941,4.2921
0.0021203,0.0019947,4.2951
0.0020685,0.0021978,4.2982
0.0021734,0.0020393,4.3013
0.0021303,0.0020898,4.3044
0.0021634,0.0021764,4.3074
0.0021346,0.0021976,4.3105
0.0020714,0.0022598,4.3136
0.0020012,0.0020738,4.3166
0.0020488,0.0021507,4.3197
0.0020753,0.0020241,4.3228
0.002178,0.0020863,4.3258
0.0022174,0.0021225,4.3289
0.002208,0.0021429,4.332
0.0021019,0.0020208,4.335
0.0020564,0.0022431,4.3381
0.0020406,0.0021352,4.3412
0.0020658,0.0021873,4.3442
0.0021087,0.0021383,4.3473
0.002199,0.0020784,4.3504
0.0021211,0.0021877,4.3534
0.0020463,0.0021448,4.3565
0.0021796,0.0020324,4.3596
0.0022982,0.0020318,4.3626
0.0022207,0.0021347,4.3657
0.0021212,0.0020469,4.3688
0.0019066,0.0019085,4.3718
0.0022358,0.0020835,4.3749
0.0021133,0.0023419,4.378
0.0021673,0.0020824,4.381
0.0020612,0.0020399,4.3841
0.0022293,0.0020854,4.3872
0.0020707,0.002169,4.3903
0.0020988,0.0020694,4.3933
0.0020957,0.0024429,4.3964
0.0020147,0.0019015,4.3995
0.0021724,0.0019481,4.4025
0.0020466,0.0020274,4.4056
0.0021377,0.0019844,4.4087
0.0021197,0.0020138,4.4117
0.0020967,0.0023445,4.4148
0.0022348,0.0020957,4.4179
0.0020843,0.0019701,4.4209
0.0019562,0.0021748,4.424
0.0019049,0.0019745,4.4271
0.0019772,0.0021144,4.4301
0.0022134,0.002037,4.4332
0.0022246,0.0019709,4.4363
0.0021306,0.0021384,4.4393
0.0020954,0.0019593,4.4424
0.0020474,0.001995,4.4455
0.0022819,0.0019944,4.4485
0.001962,0.0020492,4.4516
0.0020991,0.0021048,4.4547
0.0020309,0.0021287,4.4577
0.0020019,0.0021738,4.4608
0.0018854,0.0020886,4.4639
0.0020498,0.0022217,4.467
0.0020019,0.0021651,4.47
0.0019768,0.0019866,4.4731
0.0020266,0.0021144,4.4762
0.0020259,0.0020139,4.4792
0.0022404,0.0021001,4.4823
0.0022382,0.0020135,4.4854
0.0020876,0.0021379,4.4884
0.0020024,0.0020242,4.4915
0.0021284,0.002106,4.4946
0.0019787,0.0019139,4.4976
0.0020042,0.0018922,4.5007
0.0019742,0.0020386,4.5038
0.0020345,0.0020277,4.5068
0.0020402,0.0020047,4.5099
0.0018764,0.0019699,4.513
0.0020052,0.0020494,4.516
0.0018784,0.0020896,4.5191
0.0021404,0.0019977,4.5222
0.0020742,0.002096,4.5252
0.0021057,0.0019902,4.5283
0.0020811,0.002301,4.5314
0.0020911,0.0019529,4.5344
0.0019114,0.0020526,4.5375
0.0019027,0.0020144,4.5406
0.0019813,0.0019049,4.5437
0.0018801,0.0021122,4.5467
0.0019055,0.0020232,4.5498
0.0020103,0.0020253,4.5529
0.0019189,0.0020904,4.5559
0.0019675,0.0019547,4.559
0.0019341,0.0020212,4.5621
0.0020399,0.0019163,4.5651
0.0019404,0.0020007,4.5682
0.0019921,0.0020503,4.5713
0.0021108,0.0018446,4.5743
0.0019994,0.0019492,4.5774
0.0019413,0.0019636,4.5805
0.0020111,0.001941,4.5835
0.0019027,0.00199,4.5866
0.0019199,0.0019228,4.5897
0.0019354,0.0019179,4.5927
0.0020335,0.0019302,4.5958
0.0020423,0.00191,4.5989
0.0020865,0.0019417,4.6019
0.0020364,0.0019226,4.605
0.0020746,0.0020555,4.6081
0.0019977,0.0018187,4.6111
0.0019922,0.0021682,4.6142
0.0018899,0.0019043,4.6173
0.0019971,0.0019942,4.6204
0.0020017,0.0020202,4.6234
0.0019366,0.0019805,4.6265
0.0019817,0.0019295,4.6296
0.0020194,0.0020088,4.6326
0.0019518,0.0020767,4.6357
0.0019092,0.0019658,4.6388
0.0019828,0.0018844,4.6418
0.0019802,0.0018745,4.6449
0.0019334,0.0018243,4.648
0.0018949,0.0020819,4.651
0.0020875,0.0019495,4.6541
0.0019853,0.0019168,4.6572
0.0020493,0.0019438,4.6602
0.0019766,0.0018987,4.6633
0.0019654,0.0018109,4.6664
0.0019637,0.0021434,4.6694
0.001968,0.0018888,4.6725
0.0020697,0.0018866,4.6756
0.0018826,0.0019142,4.6786
0.0019417,0.0019978,4.6817
0.0019684,0.0018398,4.6848
0.0018763,0.0020002,4.6878
0.0020164,0.0018656,4.6909
0.0018455,0.001829,4.694
0.0019059,0.0018413,4.697
0.0021013,0.0020626,4.7001
0.0018817,0.0020363,4.7032
0.0019102,0.0019959,4.7063
0.0019225,0.0018832,4.7093
0.0020031,0.0019158,4.7124
0.002152,0.0019862,4.7155
0.0020769,0.0018141,4.7185
0.0020943,0.0020036,4.7216
0.0019296,0.0018099,4.7247
0.0021749,0.0018865,4.7277
0.0019733,0.0019735,4.7308
0.0019879,0.0020357,4.7339
0.0018199,0.0018665,4.7369
0.0019457,0.0020315,4.74
0.0019718,0.0018632,4.7431
0.0019082,0.0017424,4.7461
0.0018681,0.0019143,4.7492
0.0019633,0.0019995,4.7523
0.0018982,0.0019855,4.7553
0.0019729,0.0016967,4.7584
0.0018116,0.0018619,4.7615
0.0021096,0.0019773,4.7645
0.0019944,0.0017946,4.7676
0.0020514,0.0020296,4.7707
0.0019093,0.0018761,4.7737
0.0019266,0.0018301,4.7768
0.0020862,0.0019695,4.7799
0.0020996,0.0019267,4.783
0.0020082,0.0018639,4.786
0.0019515,0.0019393,4.7891
0.0019742,0.0020405,4.7922
0.0018646,0.0018483,4.7952
0.0020198,0.0019324,4.7983
0.0019003,0.0019813,4.8014
0.0018136,0.0018824,4.8044
0.0018244,0.0020871,4.8075
0.0018739,0.0018383,4.8106
0.0020159,0.0018327,4.8136
0.0018818,0.0019626,4.8167
0.001897,0.0019479,4.8198
0.001917,0.0018656,4.8228
0.001989,0.0018293,4.8259
0.0019726,0.0018912,4.829
0.0018777,0.0019318,4.832
0.0019318,0.0019014,4.8351
0.0019409,0.0019394,4.8382
0.0016854,0.001794,4.8412
0.0017184,0.0017716,4.8443
0.0018449,0.0019214,4.8474
0.0019262,0.0019769,4.8504
0.0018268,0.0019493,4.8535
0.0018307,0.0019294,4.8566
0.001853,0.0017191,4.8597
0.0019417,0.0018288,4.8627
0.0019685,0.0018065,4.8658
0.0018258,0.0018719,4.8689
0.0018943,0.0018656,4.8719
0.0018157,0.0018923,4.875
0.0017561,0.0019069,4.8781
0.0018475,0.0018735,4.8811
0.0018501,0.0017861,4.8842
0.0020441,0.0018645,4.8873
0.0019102,0.0019349,4.8903
0.0019204,0.0018561,4.8934
0.0017939,0.0019502,4.8965
0.0019696,0.001818,4.8995
0.0018473,0.0019776,4.9026
0.0018317,0.0018032,4.9057
0.0019926,0.0018729,4.9087
0.001809,0.0018187,4.9118
0.0020129,0.0019226,4.9149
0.0019722,0.0017899,4.9179
0.0019188,0.0019296,4.921
0.0018179,0.0017952,4.9241
0.00181,0.0018364,4.9271
0.0018832,0.0019219,4.9302
0.0017513,0.0018671,4.9333
0.0018545,0.0016799,4.9364
0.0020182,0.0018227,4.9394
0.0019331,0.0018673,4.9425
0.0019515,0.0018558,4.9456
0.0018761,0.0017102,4.9486
0.0018647,0.0017633,4.9517
0.0018704,0.0018667,4.9548
0.0018218,0.001841,4.9578
0.0018488,0.0020528,4.9609
0.001708,0.0016322,4.964
0.0018692,0.0019238,4.967
0.0019135,0.0016803,4.9701
0.0017501,0.0018178,4.9732
0.0017587,0.0018834,4.9762
0.00186,0.0017923,4.9793
0.0018985,0.0017074,4.9824
0.001905,0.0015957,4.9854
0.0016925,0.001882,4.9885
0.0018028,0.0017826,4.9916
0.0017347,0.0020274,4.9946
0.0019275,0.001629,4.9977
0.0018862,0.0017557,5.0008
0.0018105,0.0019285,5.0038
0.0019944,0.0019106,5.0069
0.0018022,0.0018812,5.01
0.0018037,0.0017189,5.013
0.0017879,0.0018453,5.0161
0.001878,0.0018108,5.0192
0.0018327,0.0018315,5.0223
0.0017719,0.0019265,5.0253
0.0019835,0.0017235,5.0284
0.0018008,0.0018404,5.0315
0.0017377,0.0017861,5.0345
0.0018237,0.0018426,5.0376
0.0018845,0.0018498,5.0407
0.0017906,0.0018244,5.0437
0.0018926,0.0017863,5.0468
0.0018127,0.0017045,5.0499
0.0018762,0.0018265,5.0529
0.0018732,0.0017345,5.056
0.0018053,0.0017397,5.0591
0.0017305,0.001754,5.0621
0.0018131,0.0019302,5.0652
0.0018721,0.0018618,5.0683
0.0017719,0.0018414,5.0713
0.0017498,0.0017255,5.0744
0.0017187,0.0016761,5.0775
0.0018598,0.0017611,5.0805
0.0017336,0.0018368,5.0836
0.0017934,0.0017664,5.0867
0.0018788,0.0017454,5.0897
0.0019252,0.0016607,5.0928
0.0016274,0.0017182,5.0959
0.001765,0.0017672,5.099
0.0018133,0.0017483,5.102
0.0019623,0.0017638,5.1051
0.0018689,0.0017009,5.1082
0.0019704,0.0017339,5.1112
0.0018417,0.0017897,5.1143
0.0017947,0.00196,5.1174
0.0018084,0.0018267,5.1204
0.0017544,0.0019632,5.1235
0.0017813,0.0016646,5.1266
0.0017628,0.0019311,5.1296
0.0017391,0.0019186,5.1327
0.0017995,0.0017628,5.1358
0.0018557,0.0017046,5.1388
0.0018275,0.0018013,5.1419
0.0017381,0.0018422,5.145
0.0018269,0.0017669,5.148
0.0017632,0.0017828,5.1511
0.0017401,0.0018289,5.1542
0.0018354,0.001817,5.1572
0.0019052,0.0018602,5.1603
0.001745,0.001704,5.1634
0.001681,0.0018015,5.1664
0.0017267,0.0018113,5.1695
0.0018776,0.0017812,5.1726
0.0018982,0.0016983,5.1757
0.0018663,0.0018899,5.1787
0.00177,0.0016696,5.1818
0.0017758,0.0019733,5.1849
0.0016886,0.0017076,5.1879
0.0019119,0.0016885,5.191
0.0019213,0.001809,5.1941
0.0018094,0.001716,5.1971
0.0017624,0.0018403,5.2002
0.0017133,0.0017361,5.2033
0.0016372,0.0016766,5.2063
0.0017744,0.0017314,5.2094
0.0018407,0.0016792,5.2125
0.001829,0.0016284,5.2155
0.0017627,0.0018424,5.2186
0.0017678,0.0018778,5.2217
0.0018398,0.0017183,5.2247
0.0017451,0.0017625,5.2278
0.0017202,0.0016618,5.2309
0.0017623,0.0016322,5.2339
0.0017663,0.0018981,5.237
0.0018684,0.0018055,5.2401
0.0018311,0.0018792,5.2431
0.0017017,0.0017299,5.2462
0.0017617,0.0016446,5.2493
0.0017068,0.0018138,5.2524
0.0017665,0.0017045,5.2554
0.0018387,0.0016654,5.2585
0.0018974,0.0017254,5.2616
0.0016892,0.0018718,5.2646
0.0017228,0.0019168,5.2677
0.0017014,0.0017351,5.2708
0.001735,0.0017962,5.2738
0.0018145,0.0017454,5.2769
0.001666,0.0016973,5.28
0.0019533,0.00175,5.283
0.0017038,0.0017389,5.2861
0.0017975,0.0016684,5.2892
0.0016813,0.0017899,5.2922
0.0017531,0.0017502,5.2953
0.0017182,0.0016887,5.2984
0.0016939,0.0016564,5.3014
0.0017187,0.0016894,5.3045
0.0017749,0.0016374,5.3076
0.0019054,0.0016377,5.3106
0.0018718,0.0016855,5.3137
0.0017154,0.0016497,5.3168
