abs(js),abs(ml),w
0.062499,0.064445,0.66882
0.064233,0.063043,0.67188
0.063691,0.062012,0.67495
0.062572,0.061998,0.67802
0.062002,0.06053,0.68109
0.061701,0.060777,0.68416
0.061122,0.060161,0.68722
0.059992,0.059869,0.69029
0.058895,0.058409,0.69336
0.058922,0.058423,0.69643
0.058713,0.05823,0.6995
0.058157,0.057661,0.70256
0.057148,0.056568,0.70563
0.057189,0.055957,0.7087
0.056043,0.056326,0.71177
0.056186,0.055731,0.71484
0.055146,0.054794,0.7179
0.055494,0.05472,0.72097
0.055205,0.053952,0.72404
0.054726,0.053072,0.72711
0.053314,0.052759,0.73017
0.052759,0.052445,0.73324
0.052545,0.052132,0.73631
0.051702,0.051955,0.73938
0.051279,0.050965,0.74245
0.050141,0.050285,0.74551
0.051628,0.051128,0.74858
0.05042,0.049638,0.75165
0.05017,0.049815,0.75472
0.049416,0.049447,0.75779
0.049308,0.04833,0.76085
0.048333,0.048496,0.76392
0.047991,0.047926,0.76699
0.047975,0.048094,0.77006
0.047189,0.046763,0.77313
0.046813,0.046293,0.77619
0.046019,0.046366,0.77926
0.046435,0.04632,0.78233
0.045613,0.044667,0.7854
0.045625,0.045424,0.78847
0.045507,0.044811,0.79153
0.045573,0.044379,0.7946
0.043624,0.043909,0.79767
0.044261,0.043156,0.80074
0.043943,0.043353,0.80381
0.043222,0.042821,0.80687
0.043377,0.04246,0.80994
0.042805,0.042973,0.81301
0.042049,0.040875,0.81608
0.042716,0.041548,0.81915
0.041844,0.04168,0.82221
0.041515,0.041624,0.82528
0.041224,0.040548,0.82835
0.04068,0.040825,0.83142
0.040343,0.040144,0.83449
0.040082,0.03982,0.83755
0.039787,0.039372,0.84062
0.039866,0.039433,0.84369
0.03872,0.038745,0.84676
0.039247,0.038746,0.84983
0.038751,0.03857,0.85289
0.03816,0.03803,0.85596
0.038084,0.037402,0.85903
0.037988,0.037761,0.8621
0.037929,0.036706,0.86517
0.037092,0.036818,0.86823
0.037099,0.036213,0.8713
0.037672,0.03641,0.87437
0.036238,0.036313,0.87744
0.036253,0.035726,0.8805
0.035171,0.036006,0.88357
0.035629,0.035833,0.88664
0.035219,0.035175,0.88971
0.035742,0.034784,0.89278
0.034738,0.03459,0.89584
0.034885,0.034994,0.89891
0.034517,0.034338,0.90198
0.034661,0.033585,0.90505
0.034044,0.033855,0.90812
0.034407,0.034392,0.91118
0.034005,0.032892,0.91425
0.033066,0.03227,0.91732
0.033395,0.032303,0.92039
0.032501,0.032545,0.92346
0.032629,0.032142,0.92652
0.031857,0.03197,0.92959
0.032667,0.031834,0.93266
0.03182,0.031927,0.93573
0.032138,0.031757,0.9388
0.032244,0.031168,0.94186
0.031616,0.031043,0.94493
0.031357,0.030744,0.948
0.03027,0.030683,0.95107
0.030707,0.03026,0.95414
0.030331,0.030701,0.9572
0.030168,0.029919,0.96027
0.029994,0.029244,0.96334
0.029718,0.029869,0.96641
0.029607,0.030368,0.96948
0.029908,0.029306,0.97254
0.029699,0.028728,0.97561
0.029492,0.028955,0.97868
0.02847,0.02844,0.98175
0.029145,0.028275,0.98482
0.028911,0.028136,0.98788
0.028764,0.029012,0.99095
0.0277,0.02773,0.99402
0.027737,0.027892,0.99709
0.027666,0.028021,1.0002
0.027545,0.02772,1.0032
0.027248,0.027677,1.0063
0.027454,0.026941,1.0094
0.027765,0.026889,1.0124
0.027292,0.026944,1.0155
0.026546,0.026422,1.0186
0.027451,0.026682,1.0216
0.026678,0.026228,1.0247
0.026256,0.025789,1.0278
0.026546,0.025679,1.0308
0.025769,0.024948,1.0339
0.026212,0.025818,1.037
0.025792,0.025813,1.04
0.02573,0.025577,1.0431
0.025421,0.024847,1.0462
0.025025,0.025405,1.0492
0.02569,0.02548,1.0523
0.025145,0.02503,1.0554
0.024885,0.02491,1.0584
0.024812,0.024386,1.0615
0.024535,0.024271,1.0646
0.024701,0.024393,1.0677
0.024497,0.023779,1.0707
0.024371,0.023655,1.0738
0.024579,0.02306,1.0769
0.024189,0.023591,1.0799
0.023338,0.023602,1.083
0.023753,0.023399,1.0861
0.023269,0.022935,1.0891
0.0232,0.023072,1.0922
0.022573,0.023314,1.0953
0.023322,0.022206,1.0983
0.022853,0.022863,1.1014
0.023395,0.023096,1.1045
0.023211,0.02227,1.1075
0.022593,0.021627,1.1106
0.022391,0.022636,1.1137
0.022378,0.022352,1.1167
0.022639,0.021232,1.1198
0.022223,0.022043,1.1229
0.022647,0.021835,1.1259
0.021842,0.021689,1.129
0.02107,0.021095,1.1321
0.021896,0.021646,1.1351
0.021295,0.020926,1.1382
0.020976,0.021108,1.1413
0.020507,0.020977,1.1443
0.020826,0.020307,1.1474
0.021148,0.02058,1.1505
0.020594,0.020371,1.1536
0.021087,0.020391,1.1566
0.021096,0.020568,1.1597
0.021114,0.020292,1.1628
0.020043,0.020188,1.1658
0.020972,0.0202,1.1689
0.020073,0.019533,1.172
0.019847,0.019623,1.175
0.020539,0.020238,1.1781
0.019992,0.02017,1.1812
0.019434,0.01996,1.1842
0.019766,0.019572,1.1873
0.019728,0.018995,1.1904
0.019968,0.019602,1.1934
0.019551,0.019599,1.1965
0.019585,0.019005,1.1996
0.019237,0.019099,1.2026
0.019029,0.019491,1.2057
0.019149,0.019367,1.2088
0.019491,0.018646,1.2118
0.018611,0.01844,1.2149
0.018497,0.018706,1.218
0.018447,0.018839,1.221
0.018826,0.017987,1.2241
0.018984,0.018681,1.2272
0.018561,0.018289,1.2303
0.018649,0.018275,1.2333
0.017742,0.018157,1.2364
0.01762,0.017873,1.2395
0.01834,0.017788,1.2425
0.017988,0.017953,1.2456
0.018113,0.017981,1.2487
0.017701,0.01759,1.2517
0.018037,0.017528,1.2548
0.01734,0.017714,1.2579
0.017412,0.01824,1.2609
0.017727,0.01714,1.264
0.017007,0.017264,1.2671
0.017279,0.017278,1.2701
0.017564,0.017256,1.2732
0.017006,0.017057,1.2763
0.01706,0.016866,1.2793
0.016919,0.0164,1.2824
0.016631,0.01614,1.2855
0.016768,0.016564,1.2885
0.016622,0.016803,1.2916
0.016963,0.016587,1.2947
0.016522,0.016108,1.2977
0.016976,0.016583,1.3008
0.016389,0.01643,1.3039
0.016092,0.016083,1.307
0.016495,0.016168,1.31
0.015827,0.016253,1.3131
0.016175,0.015866,1.3162
0.015938,0.015319,1.3192
0.016067,0.016203,1.3223
0.015962,0.01545,1.3254
0.015853,0.015556,1.3284
0.015664,0.016033,1.3315
0.015575,0.015778,1.3346
0.015677,0.015984,1.3376
0.015545,0.01545,1.3407
0.015554,0.01566,1.3438
0.015863,0.015034,1.3468
0.015295,0.015144,1.3499
0.015116,0.015299,1.353
0.015108,0.01489,1.356
0.015304,0.015493,1.3591
0.015072,0.014902,1.3622
0.014934,0.01426,1.3652
0.014842,0.014966,1.3683
0.014804,0.014885,1.3714
0.015173,0.014685,1.3744
0.014579,0.014477,1.3775
0.014558,0.014724,1.3806
0.014492,0.014324,1.3837
0.014295,0.01459,1.3867
0.014375,0.014534,1.3898
0.014749,0.014348,1.3929
0.014287,0.014058,1.3959
0.014652,0.014001,1.399
0.014044,0.014001,1.4021
0.01421,0.014002,1.4051
0.014393,0.014093,1.4082
0.014224,0.013902,1.4113
0.014158,0.013834,1.4143
0.013843,0.013898,1.4174
0.01397,0.014023,1.4205
0.013734,0.013794,1.4235
0.013634,0.013515,1.4266
0.013556,0.01382,1.4297
0.013618,0.013346,1.4327
0.01368,0.013931,1.4358
0.01376,0.013655,1.4389
0.013369,0.013174,1.4419
0.013382,0.013861,1.445
0.01327,0.012693,1.4481
0.0136,0.0132,1.4511
0.013681,0.013123,1.4542
0.012921,0.013124,1.4573
0.013549,0.013158,1.4603
0.012888,0.013013,1.4634
0.012717,0.013036,1.4665
0.012994,0.012908,1.4696
0.013187,0.012711,1.4726
0.012542,0.01291,1.4757
0.013188,0.012687,1.4788
0.01262,0.01224,1.4818
0.012649,0.012611,1.4849
0.012761,0.012966,1.488
0.012334,0.01233,1.491
0.012498,0.012468,1.4941
0.012687,0.012809,1.4972
0.012789,0.012595,1.5002
0.013072,0.011895,1.5033
0.012774,0.012069,1.5064
0.012323,0.012343,1.5094
0.012265,0.012518,1.5125
0.012067,0.011923,1.5156
0.011873,0.012361,1.5186
0.012183,0.011902,1.5217
0.012361,0.012338,1.5248
0.012003,0.011541,1.5278
0.012035,0.012217,1.5309
0.01225,0.011975,1.534
0.011861,0.011854,1.537
0.011336,0.01152,1.5401
0.011564,0.011544,1.5432
0.011743,0.011771,1.5463
0.011861,0.011792,1.5493
0.011655,0.011778,1.5524
0.011471,0.011634,1.5555
0.011731,0.011493,1.5585
0.011718,0.011162,1.5616
0.011893,0.011229,1.5647
0.011707,0.011815,1.5677
0.011564,0.011317,1.5708
0.011683,0.011056,1.5739
0.011322,0.011183,1.5769
0.01136,0.010877,1.58
0.011371,0.010935,1.5831
0.0114,0.010949,1.5861
0.011165,0.010941,1.5892
0.011079,0.011031,1.5923
0.011024,0.010929,1.5953
0.010723,0.010469,1.5984
0.011071,0.01114,1.6015
0.011308,0.010803,1.6045
0.010886,0.010905,1.6076
0.010822,0.01081,1.6107
0.011267,0.01072,1.6137
0.010845,0.011165,1.6168
0.011025,0.010755,1.6199
0.010139,0.010716,1.623
0.010977,0.010386,1.626
0.010734,0.010665,1.6291
0.010991,0.010654,1.6322
0.010294,0.010231,1.6352
0.010664,0.010118,1.6383
0.010226,0.010217,1.6414
0.010456,0.01042,1.6444
0.010123,0.010453,1.6475
0.010402,0.010067,1.6506
0.010044,0.010224,1.6536
0.010404,0.010202,1.6567
0.010608,0.010346,1.6598
0.010035,0.010166,1.6628
0.010359,0.0099729,1.6659
0.0099089,0.0099299,1.669
0.010506,0.009917,1.672
0.010172,0.0096975,1.6751
0.010269,0.0095599,1.6782
0.0099354,0.009783,1.6812
0.0096925,0.0097814,1.6843
0.010219,0.010166,1.6874
0.0099272,0.0099065,1.6904
0.0098044,0.0099917,1.6935
0.010073,0.010369,1.6966
0.010039,0.0099528,1.6997
0.0098766,0.0098232,1.7027
0.0099403,0.0095393,1.7058
0.0095591,0.0096408,1.7089
0.0096743,0.0095467,1.7119
0.0098088,0.0096593,1.715
0.0095603,0.0098582,1.7181
0.0093413,0.0094753,1.7211
0.0098507,0.0093636,1.7242
0.0099225,0.0093325,1.7273
0.0095524,0.0098601,1.7303
0.0098314,0.0096812,1.7334
0.009536,0.0091058,1.7365
0.0097434,0.0092568,1.7395
0.0095434,0.0092395,1.7426
0.0087161,0.0089456,1.7457
0.0092167,0.0093,1.7487
0.0091684,0.0092576,1.7518
0.0091977,0.0091356,1.7549
0.0094064,0.0089891,1.7579
0.0091182,0.0089275,1.761
0.0087957,0.0090435,1.7641
0.0089561,0.0088191,1.7671
0.0091373,0.009074,1.7702
0.0093044,0.0091646,1.7733
0.0089797,0.0088284,1.7763
0.0088805,0.0089441,1.7794
0.0090223,0.0087369,1.7825
0.0091066,0.0090936,1.7856
0.0084807,0.0085877,1.7886
0.0086706,0.0091013,1.7917
0.008794,0.0087606,1.7948
0.0090105,0.0089266,1.7978
0.0091282,0.0086428,1.8009
0.0088217,0.008807,1.804
0.0084808,0.0089473,1.807
0.0087182,0.008497,1.8101
0.0087354,0.0088937,1.8132
0.0086729,0.0088812,1.8162
0.0086388,0.0080007,1.8193
0.0089422,0.0082973,1.8224
0.0085335,0.0085729,1.8254
0.0088909,0.008639,1.8285
0.0082466,0.0086843,1.8316
0.0086819,0.008165,1.8346
0.0085171,0.0086178,1.8377
0.008563,0.0086517,1.8408
0.0084779,0.0080985,1.8438
0.008528,0.0081878,1.8469
0.0082968,0.0083931,1.85
0.0083505,0.0083158,1.853
0.008603,0.008141,1.8561
0.0080845,0.0083024,1.8592
0.0083117,0.0082744,1.8623
0.0083716,0.0079011,1.8653
0.0081616,0.0079304,1.8684
0.0083548,0.0080868,1.8715
0.0082772,0.007958,1.8745
0.0082947,0.0082054,1.8776
0.008404,0.0081614,1.8807
0.0083818,0.0080134,1.8837
0.0084127,0.0080227,1.8868
0.0080561,0.0080241,1.8899
0.0078017,0.0078473,1.8929
0.0080472,0.0078378,1.896
0.0079404,0.0079859,1.8991
0.008054,0.0082574,1.9021
0.0080017,0.008082,1.9052
0.0077831,0.008108,1.9083
0.0078432,0.0075284,1.9113
0.0076065,0.0079877,1.9144
0.0079694,0.0078316,1.9175
0.0076432,0.008048,1.9205
0.0078587,0.0075858,1.9236
0.0082545,0.0078553,1.9267
0.0077929,0.0078467,1.9297
0.0080236,0.0079044,1.9328
0.0072475,0.0074924,1.9359
0.0077783,0.0076948,1.939
0.0078514,0.0077915,1.942
0.0077248,0.007665,1.9451
0.007765,0.0072317,1.9482
0.0077182,0.0076659,1.9512
0.0073232,0.0077313,1.9543
0.0076,0.0074512,1.9574
0.0074638,0.0075306,1.9604
0.0074678,0.0076294,1.9635
0.0075367,0.0075841,1.9666
0.0077046,0.0077944,1.9696
0.0073869,0.0073758,1.9727
0.0075392,0.0076207,1.9758
0.0074504,0.0075198,1.9788
0.0071877,0.0073039,1.9819
0.0071258,0.0075447,1.985
0.0074079,0.0072102,1.988
0.0076173,0.0071677,1.9911
0.0073745,0.0072533,1.9942
0.006904,0.0073402,1.9972
0.0073102,0.0069594,2.0003
0.0072839,0.0070864,2.0034
0.0074822,0.0072213,2.0064
0.0071582,0.0069038,2.0095
0.0070643,0.007313,2.0126
0.0073291,0.0070322,2.0157
0.0076745,0.0066412,2.0187
0.0070631,0.0070618,2.0218
0.0067188,0.0071114,2.0249
0.0070761,0.0070147,2.0279
0.0074463,0.0070161,2.031
0.007039,0.0073015,2.0341
0.0071817,0.0067631,2.0371
0.0069372,0.0068101,2.0402
0.0067792,0.0069903,2.0433
0.0068851,0.0071162,2.0463
0.0068549,0.0067117,2.0494
0.0070025,0.0068684,2.0525
0.0071735,0.0067782,2.0555
0.0068461,0.0067436,2.0586
0.0069605,0.0066846,2.0617
0.0071469,0.0066889,2.0647
0.0067571,0.0066177,2.0678
0.0065503,0.006759,2.0709
0.0067099,0.006661,2.0739
0.0067824,0.0067253,2.077
0.0068056,0.0067774,2.0801
0.006747,0.0066829,2.0831
0.0070559,0.0067271,2.0862
0.00692,0.0063139,2.0893
0.0066859,0.006585,2.0923
0.0067117,0.0065567,2.0954
0.0065413,0.0068003,2.0985
0.00689,0.0063389,2.1016
0.006578,0.0066457,2.1046
0.0066647,0.0065893,2.1077
0.0063289,0.0064361,2.1108
0.0062701,0.0063765,2.1138
0.0065777,0.0062905,2.1169
0.0068122,0.0064328,2.12
0.0062577,0.0063471,2.123
0.0062802,0.0067152,2.1261
0.0062455,0.0060205,2.1292
0.0066904,0.0063759,2.1322
0.0065478,0.0063964,2.1353
0.0064398,0.0062344,2.1384
0.0062729,0.006333,2.1414
0.0065674,0.0064627,2.1445
0.0062179,0.006331,2.1476
0.0064605,0.006361,2.1506
0.0062269,0.0064602,2.1537
0.0063894,0.0061524,2.1568
0.0063175,0.0064353,2.1598
0.0062249,0.0064144,2.1629
0.0063999,0.006189,2.166
0.0062406,0.0063427,2.169
0.006416,0.0062866,2.1721
0.0062482,0.005996,2.1752
0.0061839,0.006261,2.1783
0.0063455,0.0064936,2.1813
0.0064184,0.0062445,2.1844
0.0059867,0.0061747,2.1875
0.0064008,0.0060803,2.1905
0.0060783,0.0059304,2.1936
0.0062296,0.0055653,2.1967
0.0060246,0.0060634,2.1997
0.0061089,0.0061193,2.2028
0.0063014,0.0062791,2.2059
0.0059314,0.0058613,2.2089
0.0062942,0.0057163,2.212
0.0062473,0.0056737,2.2151
0.0058438,0.0059754,2.2181
0.0057688,0.0061365,2.2212
0.006242,0.0059127,2.2243
0.0056253,0.0055434,2.2273
0.0058492,0.0059362,2.2304
0.0060853,0.0058246,2.2335
0.0058689,0.0057394,2.2365
0.005483,0.0057677,2.2396
0.0055392,0.0058866,2.2427
0.0060439,0.0057374,2.2457
0.0059513,0.0059492,2.2488
0.0058226,0.0060182,2.2519
0.0059794,0.0055703,2.255
0.0060045,0.0058439,2.258
0.0053896,0.0054446,2.2611
0.0060473,0.0059375,2.2642
0.0057439,0.0057114,2.2672
0.0055726,0.0054867,2.2703
0.0056217,0.0057926,2.2734
0.0057983,0.0053127,2.2764
0.0056024,0.0060182,2.2795
0.0055704,0.0057248,2.2826
0.0059731,0.0058625,2.2856
0.0056477,0.0057426,2.2887
0.0058483,0.0060187,2.2918
0.0057894,0.0056471,2.2948
0.0059195,0.0055178,2.2979
0.0053375,0.0057181,2.301
0.0055508,0.0055471,2.304
0.0058162,0.0055747,2.3071
0.0052338,0.0055545,2.3102
0.0053865,0.0056175,2.3132
0.0060123,0.0055472,2.3163
0.0054721,0.0057664,2.3194
0.0051638,0.0055185,2.3224
0.0054318,0.0054301,2.3255
0.0056701,0.0054894,2.3286
0.0055816,0.0053916,2.3317
0.0054162,0.0051037,2.3347
0.0055827,0.0051251,2.3378
0.0050758,0.0050545,2.3409
0.0051975,0.0054228,2.3439
0.0056295,0.0054927,2.347
0.0057093,0.00538,2.3501
0.005636,0.0054587,2.3531
0.0050534,0.0051996,2.3562
0.0052486,0.0052382,2.3593
0.005265,0.0051333,2.3623
0.0053224,0.0053366,2.3654
0.0050574,0.0052058,2.3685
0.0053883,0.0052114,2.3715
0.005501,0.0053872,2.3746
0.0054633,0.0053829,2.3777
0.0053768,0.0053301,2.3807
0.0051452,0.0052381,2.3838
0.0051306,0.0051877,2.3869
0.0052156,0.0049524,2.3899
0.0051959,0.0052548,2.393
0.0048905,0.0049789,2.3961
0.0051929,0.0051041,2.3991
0.0049404,0.0055023,2.4022
0.0051251,0.0051152,2.4053
0.005317,0.0050078,2.4083
0.0054421,0.0054779,2.4114
0.0049299,0.0055538,2.4145
0.0051841,0.0052314,2.4176
0.0054027,0.0051757,2.4206
0.0051578,0.0048775,2.4237
0.005185,0.0050584,2.4268
0.0052351,0.0053292,2.4298
0.0047668,0.0048293,2.4329
0.0049748,0.0049494,2.436
0.0050681,0.0051524,2.439
0.0051339,0.0053238,2.4421
0.0050602,0.0051625,2.4452
0.0052099,0.0047645,2.4482
0.0052748,0.0052551,2.4513
0.0054351,0.0050601,2.4544
0.0051262,0.0049169,2.4574
0.0052437,0.0052392,2.4605
0.0051438,0.0046876,2.4636
0.0050182,0.0047211,2.4666
0.0050937,0.0047355,2.4697
0.0047547,0.0050485,2.4728
0.0049152,0.0049832,2.4758
0.0048407,0.005234,2.4789
0.0052086,0.0051316,2.482
0.0046006,0.0048586,2.485
0.0049056,0.0047582,2.4881
0.0051602,0.0045484,2.4912
0.0052375,0.0049426,2.4943
0.0050459,0.0045565,2.4973
0.0050625,0.0047672,2.5004
0.0049944,0.0045642,2.5035
0.0048194,0.0047063,2.5065
0.0048822,0.0045711,2.5096
0.0053453,0.0049994,2.5127
0.005016,0.0049855,2.5157
0.0048931,0.0049318,2.5188
0.0051698,0.0050996,2.5219
0.0048564,0.0044862,2.5249
0.0049699,0.0046582,2.528
0.0049222,0.0045433,2.5311
0.0051151,0.0045556,2.5341
0.0046686,0.0045193,2.5372
0.0045835,0.0047511,2.5403
0.0045361,0.0044448,2.5433
0.0051612,0.0046023,2.5464
0.0049712,0.0047322,2.5495
0.0049728,0.004525,2.5525
0.0045996,0.0047241,2.5556
0.0048575,0.0049596,2.5587
0.0045995,0.0044728,2.5617
0.0052305,0.004759,2.5648
0.0047271,0.0045957,2.5679
0.0047442,0.0043877,2.571
0.0047517,0.0047056,2.574
0.0046579,0.0048618,2.5771
0.0046663,0.004542,2.5802
0.004807,0.0044434,2.5832
0.0045118,0.0043201,2.5863
0.0047671,0.004406,2.5894
0.0042791,0.0044823,2.5924
0.0043883,0.0043146,2.5955
0.0045653,0.0044217,2.5986
0.0044281,0.0045505,2.6016
0.0045004,0.0045529,2.6047
0.0046396,0.0043465,2.6078
0.0044036,0.0044405,2.6108
0.0047348,0.0045893,2.6139
0.0043386,0.0043031,2.617
0.0046241,0.0043351,2.62
0.0043424,0.0042365,2.6231
0.0047142,0.004684,2.6262
0.003978,0.0039586,2.6292
0.0045017,0.0040912,2.6323
0.0042389,0.0044536,2.6354
0.0044394,0.0042162,2.6384
0.0044959,0.0048274,2.6415
0.0044666,0.0044988,2.6446
0.0043255,0.0047561,2.6477
0.0045712,0.0043037,2.6507
0.0045248,0.0047545,2.6538
0.003989,0.0040793,2.6569
0.0044918,0.0045359,2.6599
0.0042324,0.0042419,2.663
0.0043576,0.0042168,2.6661
0.0042984,0.003697,2.6691
