abs(H),angle(H),W
0.99853,-0.95929,0.061889
0.99854,-0.96415,0.062204
0.99855,-0.96902,0.062518
0.99857,-0.97389,0.062832
0.99858,-0.97876,0.063146
0.99859,-0.98363,0.06346
0.99861,-0.9885,0.063774
0.99862,-0.99337,0.064088
0.99864,-0.99824,0.064403
0.99865,-1.0031,0.064717
0.99866,-1.008,0.065031
0.99868,-1.0128,0.065345
0.99869,-1.0177,0.065659
0.99871,-1.0226,0.065973
0.99872,-1.0275,0.066288
0.99874,-1.0323,0.066602
0.99875,-1.0372,0.066916
0.99877,-1.0421,0.06723
0.99878,-1.0469,0.067544
0.99879,-1.0518,0.067858
0.99881,-1.0567,0.068173
0.99882,-1.0615,0.068487
0.99884,-1.0664,0.068801
0.99885,-1.0713,0.069115
0.99887,-1.0762,0.069429
0.99888,-1.081,0.069743
0.9989,-1.0859,0.070058
0.99891,-1.0908,0.070372
0.99893,-1.0956,0.070686
0.99894,-1.1005,0.071
0.99896,-1.1054,0.071314
0.99898,-1.1102,0.071628
0.99899,-1.1151,0.071942
0.99901,-1.12,0.072257
0.99902,-1.1248,0.072571
0.99904,-1.1297,0.072885
0.99905,-1.1346,0.073199
0.99907,-1.1395,0.073513
0.99909,-1.1443,0.073827
0.9991,-1.1492,0.074142
0.99912,-1.1541,0.074456
0.99913,-1.1589,0.07477
0.99915,-1.1638,0.075084
0.99917,-1.1687,0.075398
0.99918,-1.1735,0.075712
0.9992,-1.1784,0.076027
0.99921,-1.1833,0.076341
0.99923,-1.1882,0.076655
0.99925,-1.193,0.076969
0.99926,-1.1979,0.077283
0.99928,-1.2028,0.077597
0.9993,-1.2076,0.077911
0.99931,-1.2125,0.078226
0.99933,-1.2174,0.07854
0.99935,-1.2222,0.078854
0.99936,-1.2271,0.079168
0.99938,-1.232,0.079482
0.9994,-1.2368,0.079796
0.99941,-1.2417,0.080111
0.99943,-1.2466,0.080425
0.99945,-1.2515,0.080739
0.99947,-1.2563,0.081053
