abs(H),angle(H),W
2.4434e+08,0,0
2.4469e+08,0.077911,0.00031416
2.4421e+08,0.15582,0.00062832
2.4366e+08,0.23373,0.00094248
1.2187e+08,0.31165,0.0012566
1.211e+05,-2.752,0.0015708
1.8456e+05,-2.6741,0.001885
62671,-5.7378,0.0021991
1.0763e+05,-5.6599,0.0025133
32.535,-8.7236,0.0028274
91.301,-11.787,0.0031416
105.98,-14.851,0.0034558
92226,-14.773,0.0037699
74928,-17.837,0.0040841
62414,-17.759,0.0043982
1.7349e+05,-20.822,0.0047124
2.1466e+05,-23.886,0.0050265
1.6542e+05,-26.95,0.0053407
52793,-30.014,0.0056549
49580,-29.936,0.005969
40508,-32.999,0.0062832
25.033,-32.921,0.0065973
8.6045,-35.985,0.0069115
0.73126,-39.049,0.0072257
83.186,-42.112,0.0075398
15.364,-45.176,0.007854
137.06,-45.098,0.0081681
26.774,-48.162,0.0084823
85339,-51.226,0.0087965
37377,-54.289,0.0091106
1.7312e+05,-54.211,0.0094248
19318,-54.133,0.0097389
1.5923e+05,-57.197,0.010053
88005,-57.119,0.010367
1.12e+05,-60.183,0.010681
1.3992e+05,-60.105,0.010996
17612,-63.169,0.01131
76.025,-66.232,0.011624
38.235,-66.154,0.011938
30.25,-66.076,0.012252
51.068,-65.999,0.012566
0.0061482,-65.921,0.012881
0.051631,-68.984,0.013195
0.016512,-72.048,0.013509
40.955,-75.112,0.013823
31.339,-78.175,0.014137
10.559,-81.239,0.014451
86.579,-84.303,0.014765
31.597,-87.366,0.01508
66.379,-87.289,0.015394
23.549,-90.352,0.015708
9.6363,-93.416,0.016022
40.114,-96.48,0.016336
0.016012,-96.402,0.01665
0.028878,-96.324,0.016965
0.011121,-99.387,0.017279
8.8724,-99.31,0.017593
23.268,-99.232,0.017907
29.029,-102.3,0.018221
30.135,-105.36,0.018535
37232,-108.42,0.01885
9606.5,-111.49,0.019164
75510,-111.41,0.019478
38918,-111.33,0.019792
45432,-114.39,0.020106
65025,-114.32,0.02042
958.76,-117.38,0.020735
60802,-117.3,0.021049
18863,-117.22,0.021363
15.975,-117.15,0.021677
41.629,-117.07,0.021991
1.3779,-120.13,0.022305
20.867,-123.2,0.022619
0.0046685,-126.26,0.022934
0.0079343,-126.18,0.023248
0.019673,-129.25,0.023562
3.5501,-129.17,0.023876
10.888,-129.09,0.02419
7.9501,-129.01,0.024504
8.8732,-128.93,0.024819
31.698,-132,0.025133
8.0288,-135.06,0.025447
6.5088,-134.98,0.025761
8.0648,-134.91,0.026075
2.379,-134.83,0.026389
0.011925,-134.75,0.026704
0.0043497,-137.81,0.027018
0.0023142,-137.73,0.027332
9.3514,-140.8,0.027646
0.55809,-143.86,0.02796
15.235,-146.93,0.028274
5.2809,-146.85,0.028588
5630.1,-146.77,0.028903
16380,-146.69,0.029217
233.03,-146.61,0.029531
14252,-149.68,0.029845
8974.9,-149.6,0.030159
6925.7,-152.66,0.030473
12098,-152.59,0.030788
1384.8,-152.51,0.031102
4825.8,-155.57,0.031416
3.5094,-158.64,0.03173
3.0353,-161.7,0.032044
2.1826,-164.76,0.032358
0.74596,-164.68,0.032673
0.00083735,-164.61,0.032987
0.0019452,-167.67,0.033301
0.000964,-167.59,0.033615
2.1562,-167.51,0.033929
0.46191,-170.58,0.034243
1.0054,-173.64,0.034558
2.5211,-176.71,0.034872
1.0661,-176.63,0.035186
2.5916,-179.69,0.0355
0.27998,-182.76,0.035814
0.73489,-185.82,0.036128
0.84795,-188.88,0.036442
0.00030132,-191.95,0.036757
0.00082883,-195.01,0.037071
8.6654e-05,-198.07,0.037385
0.6306,-198,0.037699
0.32654,-197.92,0.038013
0.35996,-197.84,0.038327
0.62265,-197.76,0.038642
125.15,-200.83,0.038956
860.22,-203.89,0.03927
593.96,-203.81,0.039584
401.29,-206.88,0.039898
622.16,-206.8,0.040212
64.442,-209.86,0.040527
491.1,-209.78,0.040841
89.79,-209.71,0.041155
172.82,-212.77,0.041469
0.045487,-215.83,0.041783
0.19432,-218.9,0.042097
0.018074,-218.82,0.042412
0.080699,-221.88,0.042726
0.00058107,-224.95,0.04304
0.0055594,-228.01,0.043354
0.013046,-231.07,0.043668
16.877,-231,0.043982
16.352,-234.06,0.044296
13.635,-233.98,0.044611
33.05,-237.04,0.044925
32.728,-240.11,0.045239
19.876,-243.17,0.045553
5.2788,-246.24,0.045867
4.5846,-246.16,0.046181
3.9874,-249.22,0.046496
0.0031493,-249.14,0.04681
0.0018041,-252.21,0.047124
0.00041075,-255.27,0.047438
0.82623,-258.33,0.047752
0.2747,-258.26,0.048066
0.42543,-261.32,0.048381
0.13118,-261.24,0.048695
52.702,-264.31,0.049009
32.497,-264.23,0.049323
6.2725,-264.15,0.049637
0.38301,-264.07,0.049951
3.8986e-10,-262.88,0.050265
0.36433,-263.92,0.05058
5.6756,-263.84,0.050894
27.971,-263.76,0.051208
43.149,-263.68,0.051522
0.10216,-266.75,0.051836
0.31514,-266.67,0.05215
0.19355,-269.73,0.052465
0.5537,-269.65,0.052779
0.00026181,-272.72,0.053093
0.0010937,-275.78,0.053407
0.0018156,-278.85,0.053721
2.1861,-278.77,0.054035
2.3903,-281.83,0.05435
2.617,-281.75,0.054664
