abs(H),F
1.8487e-05,2.91e+05
0.00013932,2.92e+05
0.00025749,2.93e+05
0.00037087,2.94e+05
0.00047746,2.95e+05
0.00057536,2.96e+05
0.00066287,2.97e+05
0.00073845,2.98e+05
0.00080081,2.99e+05
0.00084889,3e+05
0.00088187,3.01e+05
0.00089924,3.02e+05
0.00090073,3.03e+05
0.00088637,3.04e+05
0.00085646,3.05e+05
0.00081156,3.06e+05
0.00075252,3.07e+05
0.0006804,3.08e+05
0.0005965,3.09e+05
0.0005023,3.1e+05
0.00039948,3.11e+05
0.00028984,3.12e+05
0.00017529,3.13e+05
5.7823e-05,3.14e+05
6.0523e-05,3.15e+05
0.00017771,3.16e+05
0.00029173,3.17e+05
0.00040062,3.18e+05
0.00050255,3.19e+05
0.00059577,3.2e+05
0.00067871,3.21e+05
0.00074999,3.22e+05
0.00080841,3.23e+05
0.00085301,3.24e+05
0.00088305,3.25e+05
0.00089806,3.26e+05
0.00089781,3.27e+05
0.00088234,3.28e+05
0.00085193,3.29e+05
0.00080713,3.3e+05
0.00074872,3.31e+05
0.0006777,3.32e+05
0.0005953,3.33e+05
0.00050291,3.34e+05
0.00040211,3.35e+05
0.00029458,3.36e+05
0.00018216,3.37e+05
6.6706e-05,3.38e+05
4.9833e-05,3.39e+05
0.00016551,3.4e+05
0.00027842,3.41e+05
0.00038666,3.42e+05
0.00048846,3.43e+05
0.00058214,3.44e+05
0.00066614,3.45e+05
0.0007391,3.46e+05
0.00079982,3.47e+05
0.00084731,3.48e+05
0.00088082,3.49e+05
0.0008998,3.5e+05
0.00090396,3.51e+05
0.00089325,3.52e+05
0.00086788,3.53e+05
0.00082826,3.54e+05
0.00077509,3.55e+05
0.00070923,3.56e+05
0.0006318,3.57e+05
0.00054407,3.58e+05
0.00044749,3.59e+05
0.00034365,3.6e+05
0.00023427,3.61e+05
0.00012112,3.62e+05
6.0761e-06,3.63e+05
0.000109,3.64e+05
0.00022222,3.65e+05
0.00033175,3.66e+05
0.00043582,3.67e+05
0.00053272,3.68e+05
0.0006209,3.69e+05
0.00069893,3.7e+05
0.00076556,3.71e+05
0.00081971,3.72e+05
0.00086053,3.73e+05
0.00088737,3.74e+05
0.0008998,3.75e+05
0.00089764,3.76e+05
0.00088094,3.77e+05
0.00084998,3.78e+05
0.00080529,3.79e+05
0.00074759,3.8e+05
0.00067783,3.81e+05
0.00059715,3.82e+05
0.00050686,3.83e+05
0.00040842,3.84e+05
0.00030343,3.85e+05
0.00019359,3.86e+05
8.0661e-05,3.87e+05
3.3525e-05,3.88e+05
0.00014713,3.89e+05
0.00025834,3.9e+05
0.00036536,3.91e+05
0.00046648,3.92e+05
0.00056007,3.93e+05
0.00064464,3.94e+05
0.00071885,3.95e+05
0.0007815,3.96e+05
0.00083161,3.97e+05
0.00086838,3.98e+05
0.00089123,3.99e+05
0.0008998,4e+05
0.00089397,4.01e+05
0.00087384,4.02e+05
0.00083974,4.03e+05
0.00079222,4.04e+05
0.00073206,4.05e+05
0.00066022,4.06e+05
0.00057785,4.07e+05
0.00048628,4.08e+05
0.00038696,4.09e+05
0.0002815,4.1e+05
0.00017157,4.11e+05
5.8922e-05,4.12e+05
5.464e-05,4.13e+05
0.00016731,4.14e+05
0.0002773,4.15e+05
0.00038286,4.16e+05
0.00048231,4.17e+05
0.00057407,4.18e+05
0.00065669,4.19e+05
0.00072887,4.2e+05
0.00078945,4.21e+05
0.00083748,4.22e+05
0.00087221,4.23e+05
0.00089309,4.24e+05
0.0008998,4.25e+05
0.00089223,4.26e+05
0.00087051,4.27e+05
0.000835,4.28e+05
0.00078625,4.29e+05
0.00072505,4.3e+05
0.00065238,4.31e+05
0.00056938,4.32e+05
0.00047738,4.33e+05
0.00037783,4.34e+05
0.00027231,4.35e+05
0.0001625,4.36e+05
5.0127e-05,4.37e+05
6.3023e-05,4.38e+05
0.00017516,4.39e+05
0.00028453,4.4e+05
0.00038938,4.41e+05
0.00048807,4.42e+05
0.00057904,4.43e+05
0.00066085,4.44e+05
0.00073222,4.45e+05
0.00079203,4.46e+05
0.00083932,4.47e+05
0.00087337,4.48e+05
0.00089363,4.49e+05
0.0008998,4.5e+05
0.00089177,4.51e+05
0.00086968,4.52e+05
0.00083388,4.53e+05
0.00078493,4.54e+05
0.00072361,4.55e+05
0.0006509,4.56e+05
0.00056794,4.57e+05
0.00047603,4.58e+05
0.00037663,4.59e+05
0.00027131,4.6e+05
0.00016172,4.61e+05
4.9587e-05,4.62e+05
6.3315e-05,4.63e+05
0.00017521,4.64e+05
0.00028435,4.65e+05
0.000389,4.66e+05
0.00048752,4.67e+05
0.00057837,4.68e+05
0.00066011,4.69e+05
0.00073146,4.7e+05
0.00079131,4.71e+05
0.0008387,4.72e+05
0.0008729,4.73e+05
0.00089337,4.74e+05
0.0008998,4.75e+05
0.00089207,4.76e+05
0.00087033,4.77e+05
0.0008349,4.78e+05
0.00078634,4.79e+05
0.00072543,4.8e+05
0.00065312,4.81e+05
0.00057055,4.82e+05
0.00047901,4.83e+05
0.00037995,4.84e+05
0.00027492,4.85e+05
0.00016557,4.86e+05
5.3625e-05,4.87e+05
5.9161e-05,4.88e+05
0.00017101,4.89e+05
0.00028018,4.9e+05
0.00038494,4.91e+05
0.00048365,4.92e+05
0.00057477,4.93e+05
0.00065685,4.94e+05
0.00072862,4.95e+05
0.00078894,4.96e+05
0.00083686,4.97e+05
0.00087164,4.98e+05
0.00089273,4.99e+05
0.00089273,5e+05
0.00087164,5.01e+05
0.00083686,5.02e+05
0.00078894,5.03e+05
0.00072862,5.04e+05
0.00065685,5.05e+05
0.00057477,5.06e+05
0.00048365,5.07e+05
0.00038494,5.08e+05
0.00028018,5.09e+05
0.00017101,5.1e+05
5.9161e-05,5.11e+05
5.3625e-05,5.12e+05
0.00016557,5.13e+05
0.00027492,5.14e+05
0.00037995,5.15e+05
0.00047901,5.16e+05
0.00057055,5.17e+05
0.00065312,5.18e+05
0.00072543,5.19e+05
0.00078634,5.2e+05
0.0008349,5.21e+05
0.00087033,5.22e+05
0.00089207,5.23e+05
0.0008998,5.24e+05
0.00089337,5.25e+05
0.0008729,5.26e+05
0.0008387,5.27e+05
0.00079131,5.28e+05
0.00073146,5.29e+05
0.00066011,5.3e+05
0.00057837,5.31e+05
0.00048752,5.32e+05
0.000389,5.33e+05
0.00028435,5.34e+05
0.00017521,5.35e+05
6.3315e-05,5.36e+05
4.9587e-05,5.37e+05
0.00016172,5.38e+05
0.00027131,5.39e+05
0.00037663,5.4e+05
0.00047603,5.41e+05
0.00056794,5.42e+05
0.0006509,5.43e+05
0.00072361,5.44e+05
0.00078493,5.45e+05
0.00083388,5.46e+05
0.00086968,5.47e+05
0.00089177,5.48e+05
0.0008998,5.49e+05
0.00089363,5.5e+05
0.00087337,5.51e+05
0.00083932,5.52e+05
0.00079203,5.53e+05
0.00073222,5.54e+05
0.00066085,5.55e+05
0.00057904,5.56e+05
0.00048807,5.57e+05
0.00038938,5.58e+05
0.00028453,5.59e+05
0.00017516,5.6e+05
6.3023e-05,5.61e+05
5.0127e-05,5.62e+05
0.0001625,5.63e+05
0.00027231,5.64e+05
0.00037783,5.65e+05
0.00047738,5.66e+05
0.00056938,5.67e+05
0.00065238,5.68e+05
0.00072505,5.69e+05
0.00078625,5.7e+05
0.000835,5.71e+05
0.00087051,5.72e+05
0.00089223,5.73e+05
0.0008998,5.74e+05
0.00089309,5.75e+05
0.00087221,5.76e+05
0.00083748,5.77e+05
0.00078945,5.78e+05
0.00072887,5.79e+05
0.00065669,5.8e+05
0.00057407,5.81e+05
0.00048231,5.82e+05
0.00038286,5.83e+05
0.0002773,5.84e+05
0.00016731,5.85e+05
5.464e-05,5.86e+05
5.8922e-05,5.87e+05
0.00017157,5.88e+05
0.0002815,5.89e+05
0.00038696,5.9e+05
0.00048628,5.91e+05
0.00057785,5.92e+05
0.00066022,5.93e+05
0.00073206,5.94e+05
0.00079222,5.95e+05
0.00083974,5.96e+05
0.00087384,5.97e+05
0.00089397,5.98e+05
0.0008998,5.99e+05
0.00089123,6e+05
0.00086838,6.01e+05
0.00083161,6.02e+05
0.0007815,6.03e+05
0.00071885,6.04e+05
0.00064464,6.05e+05
0.00056007,6.06e+05
0.00046648,6.07e+05
0.00036536,6.08e+05
0.00025834,6.09e+05
0.00014713,6.1e+05
3.3525e-05,6.11e+05
8.0661e-05,6.12e+05
0.00019359,6.13e+05
0.00030343,6.14e+05
0.00040842,6.15e+05
0.00050686,6.16e+05
0.00059715,6.17e+05
0.00067783,6.18e+05
0.00074759,6.19e+05
0.00080529,6.2e+05
0.00084998,6.21e+05
0.00088094,6.22e+05
0.00089764,6.23e+05
0.0008998,6.24e+05
0.00088737,6.25e+05
0.00086053,6.26e+05
0.00081971,6.27e+05
0.00076556,6.28e+05
0.00069893,6.29e+05
0.0006209,6.3e+05
0.00053272,6.31e+05
0.00043582,6.32e+05
0.00033175,6.33e+05
0.00022222,6.34e+05
0.000109,6.35e+05
6.0761e-06,6.36e+05
0.00012112,6.37e+05
0.00023427,6.38e+05
0.00034365,6.39e+05
0.00044749,6.4e+05
0.00054407,6.41e+05
0.0006318,6.42e+05
0.00070923,6.43e+05
0.00077509,6.44e+05
0.00082826,6.45e+05
0.00086788,6.46e+05
0.00089325,6.47e+05
0.00090396,6.48e+05
0.0008998,6.49e+05
0.00088082,6.5e+05
0.00084731,6.51e+05
0.00079982,6.52e+05
0.0007391,6.53e+05
0.00066614,6.54e+05
0.00058214,6.55e+05
0.00048846,6.56e+05
0.00038666,6.57e+05
0.00027842,6.58e+05
0.00016551,6.59e+05
4.9833e-05,6.6e+05
6.6706e-05,6.61e+05
0.00018216,6.62e+05
0.00029458,6.63e+05
0.00040211,6.64e+05
0.00050291,6.65e+05
0.0005953,6.66e+05
0.0006777,6.67e+05
0.00074872,6.68e+05
0.00080713,6.69e+05
0.00085193,6.7e+05
0.00088234,6.71e+05
0.00089781,6.72e+05
0.00089806,6.73e+05
0.00088305,6.74e+05
0.00085301,6.75e+05
0.00080841,6.76e+05
0.00074999,6.77e+05
0.00067871,6.78e+05
0.00059577,6.79e+05
0.00050255,6.8e+05
0.00040062,6.81e+05
0.00029173,6.82e+05
0.00017771,6.83e+05
6.0523e-05,6.84e+05
5.7823e-05,6.85e+05
0.00017529,6.86e+05
0.00028984,6.87e+05
0.00039948,6.88e+05
0.0005023,6.89e+05
0.0005965,6.9e+05
0.0006804,6.91e+05
0.00075252,6.92e+05
0.00081156,6.93e+05
0.00085646,6.94e+05
0.00088637,6.95e+05
0.00090073,6.96e+05
0.00089924,6.97e+05
0.00088187,6.98e+05
0.00084889,6.99e+05
0.00080081,7e+05
0.00073845,7.01e+05
0.00066287,7.02e+05
0.00057536,7.03e+05
0.00047746,7.04e+05
0.00037087,7.05e+05
0.00025749,7.06e+05
0.00013932,7.07e+05
1.8487e-05,7.08e+05
0.00010283,7.09e+05
0.00022244,7.1e+05
0.00033815,7.11e+05
0.00044783,7.12e+05
0.00054945,7.13e+05
0.0006411,7.14e+05
0.00072106,7.15e+05
0.00078778,7.16e+05
0.00083998,7.17e+05
0.0008766,7.18e+05
0.00089689,7.19e+05
0.00090038,7.2e+05
0.00088692,7.21e+05
0.00085667,7.22e+05
0.00081011,7.23e+05
0.00074803,7.24e+05
0.00067152,7.25e+05
0.00058197,7.26e+05
0.000481,7.27e+05
0.0003705,7.28e+05
0.00025255,7.29e+05
0.00012938,7.3e+05
3.3751e-06,7.31e+05
