abs(H),angle(H),W
1.0026,0,0
1.0026,-0.0097389,0.00031416
1.0026,-0.019478,0.00062832
1.0026,-0.029217,0.00094248
1.0026,-0.038956,0.0012566
1.0026,-0.048695,0.0015708
1.0026,-0.058434,0.001885
1.0026,-0.068173,0.0021991
1.0026,-0.077911,0.0025133
1.0026,-0.08765,0.0028274
1.0026,-0.097389,0.0031416
1.0026,-0.10713,0.0034558
1.0026,-0.11687,0.0037699
1.0026,-0.12661,0.0040841
1.0026,-0.13635,0.0043982
1.0026,-0.14608,0.0047124
1.0026,-0.15582,0.0050265
1.0026,-0.16556,0.0053407
1.0026,-0.1753,0.0056549
1.0026,-0.18504,0.005969
1.0026,-0.19478,0.0062832
1.0026,-0.20452,0.0065973
1.0026,-0.21426,0.0069115
1.0026,-0.224,0.0072257
1.0026,-0.23373,0.0075398
1.0026,-0.24347,0.007854
1.0026,-0.25321,0.0081681
1.0026,-0.26295,0.0084823
1.0026,-0.27269,0.0087965
1.0026,-0.28243,0.0091106
1.0025,-0.29217,0.0094248
1.0025,-0.30191,0.0097389
1.0025,-0.31165,0.010053
1.0025,-0.32138,0.010367
1.0025,-0.33112,0.010681
1.0025,-0.34086,0.010996
1.0025,-0.3506,0.01131
1.0025,-0.36034,0.011624
1.0025,-0.37008,0.011938
1.0025,-0.37982,0.012252
1.0025,-0.38956,0.012566
1.0025,-0.3993,0.012881
1.0025,-0.40904,0.013195
1.0025,-0.41877,0.013509
1.0025,-0.42851,0.013823
1.0025,-0.43825,0.014137
1.0025,-0.44799,0.014451
1.0025,-0.45773,0.014765
1.0025,-0.46747,0.01508
1.0025,-0.47721,0.015394
1.0025,-0.48695,0.015708
1.0025,-0.49669,0.016022
1.0025,-0.50642,0.016336
1.0025,-0.51616,0.01665
1.0025,-0.5259,0.016965
1.0025,-0.53564,0.017279
1.0025,-0.54538,0.017593
1.0025,-0.55512,0.017907
1.0025,-0.56486,0.018221
1.0025,-0.5746,0.018535
1.0025,-0.58434,0.01885
1.0024,-0.59408,0.019164
1.0024,-0.60381,0.019478
1.0024,-0.61355,0.019792
1.0024,-0.62329,0.020106
1.0024,-0.63303,0.02042
1.0024,-0.64277,0.020735
1.0024,-0.65251,0.021049
1.0024,-0.66225,0.021363
1.0024,-0.67199,0.021677
1.0024,-0.68173,0.021991
1.0024,-0.69146,0.022305
1.0024,-0.7012,0.022619
1.0024,-0.71094,0.022934
1.0024,-0.72068,0.023248
1.0024,-0.73042,0.023562
1.0024,-0.74016,0.023876
1.0024,-0.7499,0.02419
1.0024,-0.75964,0.024504
1.0024,-0.76938,0.024819
1.0024,-0.77911,0.025133
1.0024,-0.78885,0.025447
1.0023,-0.79859,0.025761
1.0023,-0.80833,0.026075
1.0023,-0.81807,0.026389
1.0023,-0.82781,0.026704
1.0023,-0.83755,0.027018
1.0023,-0.84729,0.027332
1.0023,-0.85703,0.027646
1.0023,-0.86677,0.02796
1.0023,-0.8765,0.028274
