abs(H),angle(H),W
3.9503e+05,0,0
3.8982e+05,-0.39898,0.0031416
204.54,-0.79796,0.0062832
64.566,-1.1969,0.0094248
203.04,-1.5959,0.012566
384.36,1.1467,0.015708
140.6,3.8893,0.01885
355.46,3.4903,0.021991
8.9168e-12,3.46,0.025133
0.32711,5.8339,0.028274
0.076037,8.5765,0.031416
0.23492,8.1776,0.034558
0.085655,7.7786,0.037699
0.014634,10.521,0.040841
0.018251,13.264,0.043982
8.2278,16.006,0.047124
0.28384,18.749,0.050265
0.090022,18.35,0.053407
0.00013491,17.951,0.056549
1.2124e-05,17.552,0.05969
0.00011979,20.295,0.062832
4.9162e-05,23.037,0.065973
7.9611e-05,22.638,0.069115
1.8089e-05,25.381,0.072257
5.4898e-17,22.954,0.075398
8.5638e-05,24.583,0.07854
4.7096e-05,24.184,0.081681
0.00014145,23.785,0.084823
2.4947e-05,26.528,0.087965
2.4836e-05,29.27,0.091106
1.7156e-05,32.013,0.094248
0.1143,31.614,0.097389
0.0879,34.356,0.10053
0.053167,33.957,0.10367
5.353e-05,36.7,0.10681
1.4977e-06,39.443,0.10996
4.2536e-05,39.044,0.1131
5.0326e-05,38.645,0.11624
1.5008e-05,41.387,0.11938
5.858e-05,44.13,0.12252
1.9143e-31,42.16,0.12566
4.7972e-05,43.332,0.12881
1.0062e-05,46.075,0.13195
2.761e-05,48.817,0.13509
1.9082e-05,48.418,0.13823
5.4879e-07,48.019,0.14137
1.6002e-05,50.762,0.14451
0.012945,53.504,0.14765
0.0174,53.105,0.1508
0.018354,55.848,0.15394
2.2293e-06,55.449,0.15708
2.6041e-06,58.192,0.16022
2.1038e-06,60.934,0.16336
9.5594e-06,63.677,0.1665
2.5404e-06,63.278,0.16965
3.6702e-06,62.879,0.17279
1.4646e-18,64.359,0.17593
4.8168e-07,62.081,0.17907
1.6558e-06,64.824,0.18221
7.9299e-07,64.425,0.18535
1.4867e-06,67.167,0.1885
1.1475e-07,69.91,0.19164
9.6403e-07,69.511,0.19478
0.00048019,69.112,0.19792
0.0011158,68.713,0.20106
0.023488,71.456,0.2042
3.7205e-05,74.198,0.20735
2.0889e-05,76.941,0.21049
8.3685e-05,79.683,0.21363
0.0001529,79.284,0.21677
3.192e-05,78.885,0.21991
8.5148e-05,81.628,0.22305
1.0417e-14,79.524,0.22619
0.030316,77.688,0.22934
0.0061315,77.289,0.23248
0.0076626,80.032,0.23562
0.0015728,82.775,0.23876
0.00015023,82.376,0.2419
8.9302e-05,81.977,0.24504
0.010111,81.578,0.24819
8.2664e-13,82.864,0.25133
0.0091539,80.78,0.25447
7.3189e-05,80.381,0.25761
0.00011145,79.982,0.26075
0.0010562,79.583,0.26389
0.0046569,82.325,0.26704
0.0033719,85.068,0.27018
0.015083,84.669,0.27332
3.0431e-15,83.567,0.27646
3.465e-05,80.73,0.2796
1.1743e-05,83.472,0.28274
5.0835e-05,83.073,0.28588
2.5135e-05,82.674,0.28903
5.6658e-06,85.417,0.29217
9.109e-06,88.159,0.29531
0.0051885,90.902,0.29845
0.00022227,93.645,0.30159
8.6214e-05,93.246,0.30473
1.5591e-07,92.847,0.30788
1.6706e-08,92.448,0.31102
1.9471e-07,95.19,0.31416
9.3368e-08,97.933,0.3173
1.7513e-07,97.534,0.32044
4.5727e-08,100.28,0.32358
1.4026e-19,97.752,0.32673
2.7997e-07,99.479,0.32987
1.7346e-07,99.08,0.33301
5.8368e-07,98.681,0.33615
1.1474e-07,101.42,0.33929
1.2673e-07,104.17,0.34243
9.6682e-08,106.91,0.34558
0.00070845,106.51,0.34872
0.00059697,109.25,0.35186
0.00039422,108.85,0.355
4.3188e-07,111.6,0.35814
1.3106e-08,114.34,0.36128
4.0256e-07,113.94,0.36442
5.1365e-07,113.54,0.36757
1.6476e-07,116.28,0.37071
6.9002e-07,119.03,0.37385
6.827e-33,120.98,0.37699
6.4603e-07,118.23,0.38013
1.4442e-07,120.97,0.38327
4.2152e-07,123.71,0.38642
3.0928e-07,123.31,0.38956
9.4265e-09,122.91,0.3927
2.9078e-07,125.66,0.39584
0.00024845,128.4,0.39898
0.00035216,128,0.40212
0.00039114,130.74,0.40527
4.9955e-08,130.34,0.40841
6.1273e-08,133.09,0.41155
5.191e-08,135.83,0.41469
2.4704e-07,138.57,0.41783
6.8678e-08,138.17,0.42097
1.0368e-07,137.77,0.42412
3.6318e-20,139.77,0.42726
1.4808e-08,136.98,0.4304
5.3018e-08,139.72,0.43354
2.6421e-08,139.32,0.43668
5.1494e-08,142.06,0.43982
4.1283e-09,144.81,0.44296
3.599e-08,144.41,0.44611
1.8588e-05,144.01,0.44925
4.4746e-05,143.61,0.45239
0.00097513,146.35,0.45553
1.5977e-06,149.09,0.45867
9.2726e-07,151.84,0.46181
3.8371e-06,154.58,0.46496
7.2369e-06,154.18,0.4681
1.5584e-06,153.78,0.47124
4.2857e-06,156.52,0.47438
8.7298e-17,154.37,0.47752
0.0016186,152.58,0.48066
0.00033688,152.19,0.48381
0.00043299,154.93,0.48695
9.1353e-05,157.67,0.49009
8.9645e-06,157.27,0.49323
5.4719e-06,156.87,0.49637
0.00063587,156.47,0.49951
1.9312e-12,159.22,0.50265
0.0006055,161.96,0.5058
4.9616e-06,161.56,0.50894
7.7402e-06,161.16,0.51208
7.5107e-05,160.76,0.51522
0.00033897,163.5,0.51836
0.00025112,166.25,0.5215
0.0011488,165.85,0.52465
5.286e-17,163.41,0.52779
2.7575e-06,161.91,0.53093
9.5467e-07,164.65,0.53407
4.2205e-06,164.25,0.53721
2.1303e-06,163.85,0.54035
4.9007e-07,166.6,0.5435
8.038e-07,169.34,0.54664
0.00046695,172.08,0.54978
2.0394e-05,174.82,0.55292
8.0628e-06,174.42,0.55606
1.4857e-08,174.03,0.5592
1.6216e-09,173.63,0.56235
1.9247e-08,176.37,0.56549
9.396e-09,179.11,0.56863
1.7937e-08,178.71,0.57177
4.7657e-09,181.46,0.57491
1.1256e-20,179.13,0.57805
3.0187e-08,180.66,0.58119
1.9016e-08,180.26,0.58434
6.5045e-08,179.86,0.58748
1.2995e-08,182.6,0.59062
1.4582e-08,185.34,0.59376
1.1301e-08,188.09,0.5969
8.41e-05,187.69,0.60004
7.1956e-05,190.43,0.60319
4.8238e-05,190.03,0.60633
5.3635e-08,192.77,0.60947
1.6517e-09,195.52,0.61261
5.1469e-08,195.12,0.61575
6.6614e-08,194.72,0.61889
2.167e-08,197.46,0.62204
9.2023e-08,200.2,0.62518
0,201.06,0.62832
8.8531e-08,199.41,0.63146
2.0057e-08,202.15,0.6346
5.9316e-08,204.89,0.63774
4.4091e-08,204.49,0.64088
1.3612e-09,204.09,0.64403
4.2524e-08,206.84,0.64717
3.6793e-05,209.58,0.65031
5.2798e-05,209.18,0.65345
5.9364e-05,211.92,0.65659
7.6737e-09,211.52,0.65973
9.5251e-09,214.27,0.66288
8.1652e-09,217.01,0.66602
3.9313e-08,219.75,0.66916
1.1055e-08,219.35,0.6723
1.688e-08,218.95,0.67544
8.1548e-21,220.44,0.67858
2.4653e-09,218.16,0.68173
8.9243e-09,220.9,0.68487
4.4958e-09,220.5,0.68801
8.8567e-09,223.24,0.69115
7.176e-10,225.98,0.69429
6.3219e-09,225.59,0.69743
3.2991e-06,225.19,0.70058
8.0236e-06,224.79,0.70372
0.00017663,227.53,0.70686
2.9233e-07,230.27,0.71
1.7135e-07,233.02,0.71314
7.1604e-07,235.76,0.71628
1.3636e-06,235.36,0.71942
2.9648e-07,234.96,0.72257
8.2309e-07,237.7,0.72571
5.6055e-17,236.75,0.72885
0.00031673,233.76,0.73199
