abs(H),angle(H),W
0.99987,-1.9068,0.062518
0.99985,-1.9164,0.062832
0.99983,-1.926,0.063146
0.99981,-1.9355,0.06346
0.99978,-1.9451,0.063774
0.99976,-1.9547,0.064088
0.99974,-1.9643,0.064403
0.99972,-1.9739,0.064717
0.99969,-1.9834,0.065031
0.99967,-1.993,0.065345
0.99965,-2.0026,0.065659
0.99963,-2.0122,0.065973
0.99961,-2.0218,0.066288
0.99958,-2.0314,0.066602
0.99956,-2.0409,0.066916
0.99954,-2.0505,0.06723
0.99952,-2.0601,0.067544
0.99949,-2.0697,0.067858
0.99947,-2.0793,0.068173
0.99945,-2.0888,0.068487
0.99943,-2.0984,0.068801
0.99941,-2.108,0.069115
0.99938,-2.1176,0.069429
0.99936,-2.1272,0.069743
0.99934,-2.1368,0.070058
0.99932,-2.1463,0.070372
0.9993,-2.1559,0.070686
0.99928,-2.1655,0.071
0.99925,-2.1751,0.071314
0.99923,-2.1847,0.071628
0.99921,-2.1942,0.071942
0.99919,-2.2038,0.072257
0.99917,-2.2134,0.072571
0.99915,-2.223,0.072885
0.99912,-2.2326,0.073199
0.9991,-2.2422,0.073513
0.99908,-2.2517,0.073827
0.99906,-2.2613,0.074142
0.99904,-2.2709,0.074456
0.99902,-2.2805,0.07477
0.999,-2.2901,0.075084
0.99898,-2.2996,0.075398
0.99896,-2.3092,0.075712
0.99894,-2.3188,0.076027
0.99891,-2.3284,0.076341
0.99889,-2.338,0.076655
0.99887,-2.3476,0.076969
0.99885,-2.3571,0.077283
0.99883,-2.3667,0.077597
0.99881,-2.3763,0.077911
0.99879,-2.3859,0.078226
0.99877,-2.3955,0.07854
0.99875,-2.405,0.078854
0.99873,-2.4146,0.079168
0.99871,-2.4242,0.079482
0.99869,-2.4338,0.079796
0.99867,-2.4434,0.080111
0.99865,-2.453,0.080425
0.99863,-2.4625,0.080739
0.99861,-2.4721,0.081053
0.99859,-2.4817,0.081367
0.99857,-2.4913,0.081681
0.99856,-2.5009,0.081996
0.99854,-2.5104,0.08231
0.99852,-2.52,0.082624
0.9985,-2.5296,0.082938
0.99848,-2.5392,0.083252
0.99846,-2.5488,0.083566
0.99844,-2.5584,0.083881
0.99842,-2.5679,0.084195
0.9984,-2.5775,0.084509
0.99839,-2.5871,0.084823
0.99837,-2.5967,0.085137
0.99835,-2.6063,0.085451
0.99833,-2.6158,0.085765
0.99831,-2.6254,0.08608
0.9983,-2.635,0.086394
0.99828,-2.6446,0.086708
0.99826,-2.6542,0.087022
0.99824,-2.6638,0.087336
0.99823,-2.6733,0.08765
0.99821,-2.6829,0.087965
0.99819,-2.6925,0.088279
0.99818,-2.7021,0.088593
0.99816,-2.7117,0.088907
0.99814,-2.7212,0.089221
0.99813,-2.7308,0.089535
0.99811,-2.7404,0.08985
0.99809,-2.75,0.090164
0.99808,-2.7596,0.090478
0.99806,-2.7692,0.090792
0.99804,-2.7787,0.091106
0.99803,-2.7883,0.09142
0.99801,-2.7979,0.091735
0.998,-2.8075,0.092049
0.99798,-2.8171,0.092363
0.99797,-2.8266,0.092677
0.99795,-2.8362,0.092991
0.99794,-2.8458,0.093305
0.99792,-2.8554,0.093619
0.99791,-2.865,0.093934
0.99789,-2.8746,0.094248
0.99788,-2.8841,0.094562
0.99786,-2.8937,0.094876
0.99785,-2.9033,0.09519
0.99784,-2.9129,0.095504
0.99782,-2.9225,0.095819
0.99781,-2.932,0.096133
0.99779,-2.9416,0.096447
0.99778,-2.9512,0.096761
0.99777,-2.9608,0.097075
0.99775,-2.9704,0.097389
0.99774,-2.98,0.097704
0.99773,-2.9895,0.098018
0.99772,-2.9991,0.098332
0.9977,-3.0087,0.098646
0.99769,-3.0183,0.09896
0.99768,-3.0279,0.099274
0.99767,-3.0374,0.099588
0.99765,-3.047,0.099903
0.99764,-3.0566,0.10022
0.99763,-3.0662,0.10053
0.99762,-3.0758,0.10085
0.99761,-3.0854,0.10116
0.9976,-3.0949,0.10147
0.99759,-3.1045,0.10179
0.99758,-3.1141,0.1021
0.99757,-3.1237,0.10242
0.99756,-3.1333,0.10273
0.99755,-3.1428,0.10304
0.99753,-3.1524,0.10336
0.99753,-3.162,0.10367
0.99752,-3.1716,0.10399
0.99751,-3.1812,0.1043
0.9975,-3.1908,0.10462
0.99749,-3.2003,0.10493
0.99748,-3.2099,0.10524
0.99747,-3.2195,0.10556
0.99746,-3.2291,0.10587
0.99745,-3.2387,0.10619
0.99744,-3.2482,0.1065
0.99744,-3.2578,0.10681
0.99743,-3.2674,0.10713
0.99742,-3.277,0.10744
0.99741,-3.2866,0.10776
0.9974,-3.2962,0.10807
0.9974,-3.3057,0.10838
0.99739,-3.3153,0.1087
0.99738,-3.3249,0.10901
0.99738,-3.3345,0.10933
0.99737,-3.3441,0.10964
0.99736,-3.3537,0.10996
0.99736,-3.3632,0.11027
0.99735,-3.3728,0.11058
