abs(H),angle(H),W
0.99956,-5.215,0.062832
0.99954,-5.2411,0.063146
0.99952,-5.2672,0.06346
0.9995,-5.2933,0.063774
0.99948,-5.3193,0.064088
0.99947,-5.3454,0.064403
0.99945,-5.3715,0.064717
0.99943,-5.3976,0.065031
0.99941,-5.4236,0.065345
0.99939,-5.4497,0.065659
0.99938,-5.4758,0.065973
0.99936,-5.5019,0.066288
0.99935,-5.5279,0.066602
0.99933,-5.554,0.066916
0.99932,-5.5801,0.06723
0.9993,-5.6062,0.067544
0.99929,-5.6322,0.067858
0.99927,-5.6583,0.068173
0.99926,-5.6844,0.068487
0.99925,-5.7105,0.068801
0.99924,-5.7365,0.069115
0.99923,-5.7626,0.069429
0.99921,-5.7887,0.069743
0.9992,-5.8148,0.070058
0.99919,-5.8408,0.070372
0.99918,-5.8669,0.070686
0.99918,-5.893,0.071
0.99917,-5.9191,0.071314
0.99916,-5.9451,0.071628
0.99915,-5.9712,0.071942
0.99915,-5.9973,0.072257
0.99914,-6.0234,0.072571
0.99914,-6.0495,0.072885
0.99913,-6.0755,0.073199
0.99913,-6.1016,0.073513
0.99912,-6.1277,0.073827
0.99912,-6.1538,0.074142
0.99912,-6.1798,0.074456
0.99912,-6.2059,0.07477
0.99912,-6.232,0.075084
0.99912,-6.2581,0.075398
0.99912,-6.2841,0.075712
0.99912,-6.3102,0.076027
0.99912,-6.3363,0.076341
0.99912,-6.3624,0.076655
0.99912,-6.3884,0.076969
0.99913,-6.4145,0.077283
0.99913,-6.4406,0.077597
0.99913,-6.4667,0.077911
0.99914,-6.4927,0.078226
0.99914,-6.5188,0.07854
0.99915,-6.5449,0.078854
0.99916,-6.571,0.079168
0.99916,-6.597,0.079482
0.99917,-6.6231,0.079796
0.99918,-6.6492,0.080111
0.99919,-6.6753,0.080425
0.9992,-6.7013,0.080739
0.99921,-6.7274,0.081053
0.99922,-6.7535,0.081367
0.99923,-6.7796,0.081681
0.99924,-6.8056,0.081996
0.99926,-6.8317,0.08231
0.99927,-6.8578,0.082624
0.99928,-6.8839,0.082938
0.99929,-6.9099,0.083252
0.99931,-6.936,0.083566
0.99932,-6.9621,0.083881
0.99934,-6.9882,0.084195
0.99935,-7.0142,0.084509
0.99937,-7.0403,0.084823
0.99939,-7.0664,0.085137
0.9994,-7.0925,0.085451
0.99942,-7.1185,0.085765
0.99944,-7.1446,0.08608
0.99946,-7.1707,0.086394
0.99948,-7.1968,0.086708
0.99949,-7.2228,0.087022
0.99951,-7.2489,0.087336
0.99953,-7.275,0.08765
0.99955,-7.3011,0.087965
0.99957,-7.3271,0.088279
0.99959,-7.3532,0.088593
0.99961,-7.3793,0.088907
0.99963,-7.4054,0.089221
0.99966,-7.4314,0.089535
0.99968,-7.4575,0.08985
0.9997,-7.4836,0.090164
0.99972,-7.5097,0.090478
0.99974,-7.5357,0.090792
0.99976,-7.5618,0.091106
0.99979,-7.5879,0.09142
0.99981,-7.614,0.091735
0.99983,-7.64,0.092049
0.99985,-7.6661,0.092363
0.99988,-7.6922,0.092677
0.9999,-7.7183,0.092991
0.99992,-7.7443,0.093305
0.99995,-7.7704,0.093619
0.99997,-7.7965,0.093934
0.99999,-7.8226,0.094248
1,-7.8486,0.094562
1,-7.8747,0.094876
1.0001,-7.9008,0.09519
1.0001,-7.9269,0.095504
1.0001,-7.9529,0.095819
1.0001,-7.979,0.096133
1.0002,-8.0051,0.096447
1.0002,-8.0312,0.096761
1.0002,-8.0572,0.097075
1.0002,-8.0833,0.097389
1.0002,-8.1094,0.097704
1.0003,-8.1355,0.098018
1.0003,-8.1615,0.098332
1.0003,-8.1876,0.098646
1.0003,-8.2137,0.09896
1.0004,-8.2398,0.099274
1.0004,-8.2658,0.099588
1.0004,-8.2919,0.099903
1.0004,-8.318,0.10022
1.0004,-8.3441,0.10053
1.0005,-8.3701,0.10085
1.0005,-8.3962,0.10116
1.0005,-8.4223,0.10147
1.0005,-8.4484,0.10179
1.0005,-8.4744,0.1021
1.0006,-8.5005,0.10242
1.0006,-8.5266,0.10273
1.0006,-8.5527,0.10304
1.0006,-8.5787,0.10336
1.0006,-8.6048,0.10367
1.0006,-8.6309,0.10399
1.0007,-8.657,0.1043
1.0007,-8.683,0.10462
1.0007,-8.7091,0.10493
1.0007,-8.7352,0.10524
1.0007,-8.7613,0.10556
1.0007,-8.7873,0.10587
1.0007,-8.8134,0.10619
1.0008,-8.8395,0.1065
1.0008,-8.8656,0.10681
1.0008,-8.8916,0.10713
1.0008,-8.9177,0.10744
1.0008,-8.9438,0.10776
1.0008,-8.9699,0.10807
1.0008,-8.996,0.10838
1.0008,-9.022,0.1087
1.0008,-9.0481,0.10901
1.0008,-9.0742,0.10933
1.0008,-9.1003,0.10964
1.0009,-9.1263,0.10996
1.0009,-9.1524,0.11027
1.0009,-9.1785,0.11058
1.0009,-9.2046,0.1109
1.0009,-9.2306,0.11121
1.0009,-9.2567,0.11153
1.0009,-9.2828,0.11184
1.0009,-9.3089,0.11215
1.0009,-9.3349,0.11247
1.0009,-9.361,0.11278
1.0009,-9.3871,0.1131
1.0009,-9.4132,0.11341
1.0009,-9.4392,0.11373
1.0009,-9.4653,0.11404
1.0009,-9.4914,0.11435
1.0009,-9.5175,0.11467
1.0009,-9.5435,0.11498
1.0009,-9.5696,0.1153
1.0009,-9.5957,0.11561
1.0009,-9.6218,0.11592
1.0009,-9.6478,0.11624
1.0009,-9.6739,0.11655
1.0008,-9.7,0.11687
1.0008,-9.7261,0.11718
1.0008,-9.7521,0.1175
1.0008,-9.7782,0.11781
1.0008,-9.8043,0.11812
1.0008,-9.8304,0.11844
1.0008,-9.8564,0.11875
1.0008,-9.8825,0.11907
1.0008,-9.9086,0.11938
1.0008,-9.9347,0.11969
1.0007,-9.9607,0.12001
1.0007,-9.9868,0.12032
1.0007,-10.013,0.12064
1.0007,-10.039,0.12095
1.0007,-10.065,0.12127
1.0007,-10.091,0.12158
1.0007,-10.117,0.12189
1.0006,-10.143,0.12221
1.0006,-10.169,0.12252
1.0006,-10.195,0.12284
1.0006,-10.221,0.12315
1.0006,-10.248,0.12346
1.0006,-10.274,0.12378
1.0005,-10.3,0.12409
1.0005,-10.326,0.12441
1.0005,-10.352,0.12472
1.0005,-10.378,0.12504
1.0005,-10.404,0.12535
1.0005,-10.43,0.12566
1.0004,-10.456,0.12598
1.0004,-10.482,0.12629
1.0004,-10.508,0.12661
1.0004,-10.534,0.12692
1.0003,-10.56,0.12723
1.0003,-10.587,0.12755
1.0003,-10.613,0.12786
1.0003,-10.639,0.12818
1.0003,-10.665,0.12849
1.0002,-10.691,0.12881
1.0002,-10.717,0.12912
1.0002,-10.743,0.12943
1.0002,-10.769,0.12975
1.0002,-10.795,0.13006
1.0001,-10.821,0.13038
1.0001,-10.847,0.13069
1.0001,-10.873,0.131
1.0001,-10.899,0.13132
1,-10.926,0.13163
1,-10.952,0.13195
0.99999,-10.978,0.13226
0.99997,-11.004,0.13258
0.99994,-11.03,0.13289
0.99992,-11.056,0.1332
0.9999,-11.082,0.13352
0.99987,-11.108,0.13383
0.99985,-11.134,0.13415
0.99983,-11.16,0.13446
0.99981,-11.186,0.13477
0.99978,-11.212,0.13509
0.99976,-11.238,0.1354
0.99974,-11.264,0.13572
0.99972,-11.291,0.13603
0.9997,-11.317,0.13635
0.99967,-11.343,0.13666
0.99965,-11.369,0.13697
0.99963,-11.395,0.13729
0.99961,-11.421,0.1376
0.99959,-11.447,0.13792
0.99957,-11.473,0.13823
0.99955,-11.499,0.13854
0.99953,-11.525,0.13886
0.99951,-11.551,0.13917
0.99949,-11.577,0.13949
0.99947,-11.603,0.1398
0.99945,-11.63,0.14012
0.99944,-11.656,0.14043
0.99942,-11.682,0.14074
0.9994,-11.708,0.14106
0.99938,-11.734,0.14137
0.99937,-11.76,0.14169
0.99935,-11.786,0.142
0.99934,-11.812,0.14231
0.99932,-11.838,0.14263
0.99931,-11.864,0.14294
0.99929,-11.89,0.14326
0.99928,-11.916,0.14357
0.99927,-11.942,0.14388
0.99925,-11.969,0.1442
0.99924,-11.995,0.14451
0.99923,-12.021,0.14483
0.99922,-12.047,0.14514
0.99921,-12.073,0.14546
0.9992,-12.099,0.14577
0.99919,-12.125,0.14608
0.99918,-12.151,0.1464
0.99917,-12.177,0.14671
0.99916,-12.203,0.14703
0.99916,-12.229,0.14734
0.99915,-12.255,0.14765
0.99914,-12.281,0.14797
0.99914,-12.308,0.14828
0.99913,-12.334,0.1486
0.99913,-12.36,0.14891
0.99913,-12.386,0.14923
0.99912,-12.412,0.14954
0.99912,-12.438,0.14985
0.99912,-12.464,0.15017
0.99912,-12.49,0.15048
0.99912,-12.516,0.1508
0.99912,-12.542,0.15111
0.99912,-12.568,0.15142
0.99912,-12.594,0.15174
0.99912,-12.62,0.15205
0.99912,-12.646,0.15237
0.99913,-12.673,0.15268
0.99913,-12.699,0.153
0.99913,-12.725,0.15331
0.99914,-12.751,0.15362
0.99914,-12.777,0.15394
0.99915,-12.803,0.15425
0.99916,-12.829,0.15457
0.99916,-12.855,0.15488
0.99917,-12.881,0.15519
0.99918,-12.907,0.15551
0.99919,-12.933,0.15582
0.9992,-12.959,0.15614
0.99921,-12.985,0.15645
0.99922,-13.012,0.15677
0.99923,-13.038,0.15708
0.99924,-13.064,0.15739
0.99925,-13.09,0.15771
0.99926,-13.116,0.15802
0.99928,-13.142,0.15834
0.99929,-13.168,0.15865
0.9993,-13.194,0.15896
0.99932,-13.22,0.15928
0.99933,-13.246,0.15959
0.99935,-13.272,0.15991
0.99937,-13.298,0.16022
0.99938,-13.324,0.16054
0.9994,-13.351,0.16085
0.99942,-13.377,0.16116
0.99943,-13.403,0.16148
0.99945,-13.429,0.16179
0.99947,-13.455,0.16211
0.99949,-13.481,0.16242
0.99951,-13.507,0.16273
0.99953,-13.533,0.16305
0.99955,-13.559,0.16336
0.99957,-13.585,0.16368
0.99959,-13.611,0.16399
0.99961,-13.637,0.16431
0.99963,-13.663,0.16462
0.99965,-13.689,0.16493
0.99967,-13.716,0.16525
0.99969,-13.742,0.16556
0.99971,-13.768,0.16588
0.99974,-13.794,0.16619
0.99976,-13.82,0.1665
0.99978,-13.846,0.16682
0.9998,-13.872,0.16713
0.99982,-13.898,0.16745
0.99985,-13.924,0.16776
0.99987,-13.95,0.16808
0.99989,-13.976,0.16839
0.99992,-14.002,0.1687
0.99994,-14.028,0.16902
0.99996,-14.055,0.16933
0.99999,-14.081,0.16965
1,-14.107,0.16996
1,-14.133,0.17027
1.0001,-14.159,0.17059
1.0001,-14.185,0.1709
1.0001,-14.211,0.17122
1.0001,-14.237,0.17153
1.0001,-14.263,0.17185
1.0002,-14.289,0.17216
1.0002,-14.315,0.17247
1.0002,-14.341,0.17279
1.0002,-14.367,0.1731
1.0003,-14.394,0.17342
1.0003,-14.42,0.17373
1.0003,-14.446,0.17404
1.0003,-14.472,0.17436
1.0003,-14.498,0.17467
1.0004,-14.524,0.17499
1.0004,-14.55,0.1753
1.0004,-14.576,0.17562
1.0004,-14.602,0.17593
1.0004,-14.628,0.17624
1.0005,-14.654,0.17656
1.0005,-14.68,0.17687
1.0005,-14.706,0.17719
1.0005,-14.732,0.1775
1.0005,-14.759,0.17781
1.0006,-14.785,0.17813
1.0006,-14.811,0.17844
1.0006,-14.837,0.17876
1.0006,-14.863,0.17907
1.0006,-14.889,0.17938
1.0006,-14.915,0.1797
1.0007,-14.941,0.18001
1.0007,-14.967,0.18033
1.0007,-14.993,0.18064
1.0007,-15.019,0.18096
1.0007,-15.045,0.18127
1.0007,-15.071,0.18158
1.0007,-15.098,0.1819
1.0008,-15.124,0.18221
1.0008,-15.15,0.18253
1.0008,-15.176,0.18284
1.0008,-15.202,0.18315
1.0008,-15.228,0.18347
1.0008,-15.254,0.18378
1.0008,-15.28,0.1841
1.0008,-15.306,0.18441
1.0008,-15.332,0.18473
1.0008,-15.358,0.18504
1.0008,-15.384,0.18535
1.0009,-15.41,0.18567
1.0009,-15.437,0.18598
1.0009,-15.463,0.1863
1.0009,-15.489,0.18661
1.0009,-15.515,0.18692
1.0009,-15.541,0.18724
1.0009,-15.567,0.18755
1.0009,-15.593,0.18787
1.0009,-15.619,0.18818
1.0009,-15.645,0.1885
1.0009,-15.671,0.18881
1.0009,-15.697,0.18912
1.0009,-15.723,0.18944
1.0009,-15.749,0.18975
1.0009,-15.776,0.19007
1.0009,-15.802,0.19038
1.0009,-15.828,0.19069
1.0009,-15.854,0.19101
1.0009,-15.88,0.19132
1.0009,-15.906,0.19164
1.0009,-15.932,0.19195
1.0008,-15.958,0.19227
1.0008,-15.984,0.19258
1.0008,-16.01,0.19289
1.0008,-16.036,0.19321
1.0008,-16.062,0.19352
1.0008,-16.088,0.19384
1.0008,-16.114,0.19415
1.0008,-16.141,0.19446
1.0008,-16.167,0.19478
1.0008,-16.193,0.19509
1.0007,-16.219,0.19541
1.0007,-16.245,0.19572
1.0007,-16.271,0.19604
1.0007,-16.297,0.19635
1.0007,-16.323,0.19666
1.0007,-16.349,0.19698
1.0007,-16.375,0.19729
1.0007,-16.401,0.19761
1.0006,-16.427,0.19792
1.0006,-16.453,0.19823
1.0006,-16.48,0.19855
1.0006,-16.506,0.19886
1.0006,-16.532,0.19918
1.0005,-16.558,0.19949
1.0005,-16.584,0.19981
1.0005,-16.61,0.20012
1.0005,-16.636,0.20043
1.0005,-16.662,0.20075
1.0005,-16.688,0.20106
1.0004,-16.714,0.20138
1.0004,-16.74,0.20169
1.0004,-16.766,0.202
1.0004,-16.792,0.20232
1.0004,-16.819,0.20263
1.0003,-16.845,0.20295
1.0003,-16.871,0.20326
1.0003,-16.897,0.20358
1.0003,-16.923,0.20389
1.0002,-16.949,0.2042
1.0002,-16.975,0.20452
1.0002,-17.001,0.20483
1.0002,-17.027,0.20515
1.0002,-17.053,0.20546
1.0001,-17.079,0.20577
1.0001,-17.105,0.20609
1.0001,-17.131,0.2064
1.0001,-17.157,0.20672
1,-17.184,0.20703
1,-17.21,0.20735
0.99999,-17.236,0.20766
0.99997,-17.262,0.20797
0.99995,-17.288,0.20829
0.99992,-17.314,0.2086
0.9999,-17.34,0.20892
0.99988,-17.366,0.20923
0.99986,-17.392,0.20954
0.99983,-17.418,0.20986
0.99981,-17.444,0.21017
0.99979,-17.47,0.21049
0.99977,-17.496,0.2108
0.99974,-17.523,0.21112
0.99972,-17.549,0.21143
0.9997,-17.575,0.21174
0.99968,-17.601,0.21206
0.99966,-17.627,0.21237
0.99964,-17.653,0.21269
0.99961,-17.679,0.213
0.99959,-17.705,0.21331
0.99957,-17.731,0.21363
0.99955,-17.757,0.21394
0.99953,-17.783,0.21426
0.99951,-17.809,0.21457
0.9995,-17.835,0.21488
0.99948,-17.862,0.2152
0.99946,-17.888,0.21551
0.99944,-17.914,0.21583
0.99942,-17.94,0.21614
0.99941,-17.966,0.21646
0.99939,-17.992,0.21677
0.99937,-18.018,0.21708
0.99936,-18.044,0.2174
0.99934,-18.07,0.21771
0.99933,-18.096,0.21803
0.99931,-18.122,0.21834
0.9993,-18.148,0.21865
0.99928,-18.174,0.21897
0.99927,-18.201,0.21928
0.99926,-18.227,0.2196
0.99924,-18.253,0.21991
0.99923,-18.279,0.22023
0.99922,-18.305,0.22054
0.99921,-18.331,0.22085
0.9992,-18.357,0.22117
0.99919,-18.383,0.22148
0.99918,-18.409,0.2218
0.99917,-18.435,0.22211
0.99917,-18.461,0.22242
0.99916,-18.487,0.22274
0.99915,-18.513,0.22305
0.99915,-18.539,0.22337
0.99914,-18.566,0.22368
0.99914,-18.592,0.224
0.99913,-18.618,0.22431
0.99913,-18.644,0.22462
0.99912,-18.67,0.22494
0.99912,-18.696,0.22525
0.99912,-18.722,0.22557
0.99912,-18.748,0.22588
0.99912,-18.774,0.22619
0.99912,-18.8,0.22651
0.99912,-18.826,0.22682
0.99912,-18.852,0.22714
0.99912,-18.878,0.22745
0.99912,-18.905,0.22777
0.99913,-18.931,0.22808
0.99913,-18.957,0.22839
0.99913,-18.983,0.22871
0.99914,-19.009,0.22902
0.99914,-19.035,0.22934
0.99915,-19.061,0.22965
0.99916,-19.087,0.22996
0.99916,-19.113,0.23028
0.99917,-19.139,0.23059
0.99918,-19.165,0.23091
0.99919,-19.191,0.23122
0.9992,-19.217,0.23154
0.99921,-19.244,0.23185
0.99922,-19.27,0.23216
0.99923,-19.296,0.23248
0.99924,-19.322,0.23279
0.99925,-19.348,0.23311
0.99926,-19.374,0.23342
0.99928,-19.4,0.23373
0.99929,-19.426,0.23405
0.9993,-19.452,0.23436
0.99932,-19.478,0.23468
0.99933,-19.504,0.23499
0.99935,-19.53,0.23531
0.99936,-19.556,0.23562
0.99938,-19.582,0.23593
0.9994,-19.609,0.23625
0.99941,-19.635,0.23656
0.99943,-19.661,0.23688
0.99945,-19.687,0.23719
0.99947,-19.713,0.2375
0.99949,-19.739,0.23782
0.9995,-19.765,0.23813
0.99952,-19.791,0.23845
0.99954,-19.817,0.23876
0.99956,-19.843,0.23908
0.99958,-19.869,0.23939
0.9996,-19.895,0.2397
0.99962,-19.921,0.24002
0.99965,-19.948,0.24033
0.99967,-19.974,0.24065
0.99969,-20,0.24096
0.99971,-20.026,0.24127
0.99973,-20.052,0.24159
0.99975,-20.078,0.2419
0.99978,-20.104,0.24222
0.9998,-20.13,0.24253
0.99982,-20.156,0.24285
0.99984,-20.182,0.24316
0.99987,-20.208,0.24347
0.99989,-20.234,0.24379
0.99991,-20.26,0.2441
0.99994,-20.287,0.24442
0.99996,-20.313,0.24473
0.99998,-20.339,0.24504
1,-20.365,0.24536
1,-20.391,0.24567
1.0001,-20.417,0.24599
1.0001,-20.443,0.2463
1.0001,-20.469,0.24662
1.0001,-20.495,0.24693
1.0001,-20.521,0.24724
1.0002,-20.547,0.24756
1.0002,-20.573,0.24787
1.0002,-20.599,0.24819
1.0002,-20.625,0.2485
