abs(H),F
0.88462,3.01e+05
0.87212,3.02e+05
0.85937,3.03e+05
0.84638,3.04e+05
0.83317,3.05e+05
0.81975,3.06e+05
0.80612,3.07e+05
0.79232,3.08e+05
0.77834,3.09e+05
0.7642,3.1e+05
0.74992,3.11e+05
0.73551,3.12e+05
0.72099,3.13e+05
0.70636,3.14e+05
0.69164,3.15e+05
0.67685,3.16e+05
0.662,3.17e+05
0.6471,3.18e+05
0.63217,3.19e+05
0.61723,3.2e+05
0.60227,3.21e+05
0.58733,3.22e+05
0.57241,3.23e+05
0.55753,3.24e+05
0.54269,3.25e+05
0.52792,3.26e+05
0.51322,3.27e+05
0.49861,3.28e+05
0.4841,3.29e+05
0.4697,3.3e+05
0.45541,3.31e+05
0.44127,3.32e+05
0.42726,3.33e+05
0.41341,3.34e+05
0.39972,3.35e+05
0.3862,3.36e+05
0.37287,3.37e+05
0.35973,3.38e+05
0.34678,3.39e+05
0.33405,3.4e+05
0.32153,3.41e+05
0.30922,3.42e+05
0.29715,3.43e+05
0.28531,3.44e+05
0.27371,3.45e+05
0.26236,3.46e+05
0.25125,3.47e+05
0.2404,3.48e+05
0.2298,3.49e+05
0.21946,3.5e+05
0.20939,3.51e+05
0.19959,3.52e+05
0.19005,3.53e+05
0.18078,3.54e+05
0.17177,3.55e+05
0.16305,3.56e+05
0.15459,3.57e+05
0.1464,3.58e+05
0.13848,3.59e+05
0.13083,3.6e+05
0.12345,3.61e+05
0.11633,3.62e+05
0.10948,3.63e+05
0.10289,3.64e+05
0.096561,3.65e+05
0.090486,3.66e+05
0.084663,3.67e+05
0.079088,3.68e+05
0.073759,3.69e+05
0.06867,3.7e+05
0.063817,3.71e+05
0.059195,3.72e+05
0.0548,3.73e+05
0.050627,3.74e+05
0.04667,3.75e+05
0.042924,3.76e+05
0.039384,3.77e+05
0.036043,3.78e+05
0.032896,3.79e+05
0.029937,3.8e+05
0.027161,3.81e+05
0.02456,3.82e+05
0.022129,3.83e+05
0.019862,3.84e+05
0.017753,3.85e+05
0.015795,3.86e+05
0.013983,3.87e+05
0.012309,3.88e+05
0.010768,3.89e+05
0.0093546,3.9e+05
0.0080616,3.91e+05
0.0068833,3.92e+05
0.005814,3.93e+05
0.0048477,3.94e+05
0.0039786,3.95e+05
0.0032013,3.96e+05
0.0025101,3.97e+05
0.0018996,3.98e+05
0.0013645,3.99e+05
0.0008998,4e+05
0.00050039,4.01e+05
0.00016144,4.02e+05
0.00012175,4.03e+05
0.00035372,4.04e+05
0.00053885,4.05e+05
0.00068136,4.06e+05
0.00078529,4.07e+05
0.00085451,4.08e+05
0.00089273,4.09e+05
0.00090348,4.1e+05
0.0008901,4.11e+05
0.00085577,4.12e+05
0.0008035,4.13e+05
0.0007361,4.14e+05
0.00065623,4.15e+05
0.00056636,4.16e+05
0.00046881,4.17e+05
0.00036571,4.18e+05
0.00025903,4.19e+05
0.0001506,4.2e+05
4.2058e-05,4.21e+05
6.5092e-05,4.22e+05
0.0001695,4.23e+05
0.00026997,4.24e+05
0.00036544,4.25e+05
0.00045498,4.26e+05
0.0005378,4.27e+05
0.00061323,4.28e+05
0.00068073,4.29e+05
0.00073986,4.3e+05
0.00079031,4.31e+05
0.00083184,4.32e+05
0.00086434,4.33e+05
0.00088777,4.34e+05
0.00090218,4.35e+05
0.00090771,4.36e+05
0.00090455,4.37e+05
0.00089298,4.38e+05
0.00087331,4.39e+05
0.00084594,4.4e+05
0.00081129,4.41e+05
0.00076983,4.42e+05
0.00072208,4.43e+05
0.00066858,4.44e+05
0.00060988,4.45e+05
0.00054659,4.46e+05
0.00047929,4.47e+05
0.00040861,4.48e+05
0.00033516,4.49e+05
0.00025956,4.5e+05
0.00018243,4.51e+05
0.00010438,4.52e+05
2.6007e-05,4.53e+05
5.2103e-05,4.54e+05
0.00012938,4.55e+05
0.00020528,4.56e+05
0.00027929,4.57e+05
0.00035089,4.58e+05
0.00041962,4.59e+05
0.00048505,4.6e+05
0.00054677,4.61e+05
0.0006044,4.62e+05
0.00065761,4.63e+05
0.00070609,4.64e+05
0.00074958,4.65e+05
0.00078786,4.66e+05
0.00082073,4.67e+05
0.00084805,4.68e+05
0.00086969,4.69e+05
0.00088559,4.7e+05
0.0008957,4.71e+05
0.00090002,4.72e+05
0.00089859,4.73e+05
0.00089148,4.74e+05
0.00087878,4.75e+05
0.00086062,4.76e+05
0.00083718,4.77e+05
0.00080865,4.78e+05
0.00077524,4.79e+05
0.00073721,4.8e+05
0.00069481,4.81e+05
0.00064835,4.82e+05
0.00059812,4.83e+05
0.00054447,4.84e+05
0.00048773,4.85e+05
0.00042826,4.86e+05
