f,s100,s410,s700
0,-39.685,-39.715,-39.742
1,-80.221,-104.78,-104.7
2,-80.34,-105.33,-114.03
3,-80.31,-105.09,-110.42
4,-80.384,-108.77,-112.97
5,-80.59,-107.19,-114.56
6,-80.295,-108.04,-118.38
7,-80.455,-103.94,-116
8,-80.576,-94.81,-99.441
9,-80.505,-113.3,-108.2
10,-80.403,-118.82,-112.25
11,-80.517,-112.98,-113.79
12,-80.53,-112.09,-111.96
13,-80.424,-110.69,-115.12
14,-80.407,-111.78,-116.41
15,-80.381,-108.67,-125.62
16,-80.597,-112.89,-116.49
17,-80.534,-114.42,-138.99
18,-80.53,-110.55,-138.88
19,-80.438,-112.24,-116.56
20,-80.453,-110.65,-121.16
21,-80.473,-112.84,-118.73
22,-80.525,-112.87,-118.22
23,-80.441,-116.24,-123.82
24,-80.466,-115.11,-116.48
25,-80.39,-107.52,-114.72
26,-80.412,-109.43,-127.07
27,-80.408,-110.15,-120.85
28,-80.401,-109.68,-119.9
29,-80.358,-108.28,-119.11
30,-80.467,-110.15,-119.73
31,-80.455,-112.82,-125.04
32,-80.424,-111.44,-123.1
33,-80.481,-109.15,-126.65
34,-80.457,-110.8,-127.18
35,-80.444,-110.91,-120.13
36,-80.465,-111.16,-117.8
37,-80.463,-111.33,-124.01
38,-80.366,-111.28,-123.46
39,-80.418,-111.32,-125.55
40,-80.412,-111.75,-134.22
41,-80.439,-107.08,-113.89
42,-80.425,-110.56,-128.87
43,-80.491,-110.54,-122.01
44,-80.425,-114.75,-125.01
45,-80.397,-109.3,-139.81
46,-80.507,-111.44,-135.82
47,-80.525,-112.41,-121.3
48,-80.442,-109.55,-123.18
49,-80.447,-113.08,-129.97
50,-80.423,-111.49,-122.91
51,-80.401,-110.6,-123.27
52,-80.421,-111.79,-137.09
53,-80.397,-112.95,-125.98
54,-80.392,-112.43,-123.99
55,-80.373,-109.83,-132.31
56,-80.373,-108.94,-123.84
57,-80.33,-106.74,-114.5
58,-80.43,-113.13,-125.84
59,-80.414,-111.77,-125.55
60,-80.399,-110.93,-122.7
61,-80.474,-111.02,-125.59
62,-80.397,-109.92,-123.57
63,-80.4,-110.87,-132.88
64,-80.383,-111.18,-127.62
65,-80.367,-112.03,-127.88
66,-80.421,-111.03,-128.81
67,-80.484,-112.52,-123.38
68,-80.465,-110.26,-129.75
69,-80.46,-111.36,-133.14
70,-80.411,-110.18,-124.84
71,-80.431,-111.07,-124.23
72,-80.414,-110.25,-135.84
73,-80.461,-113.04,-123.17
74,-80.154,-107.58,-116.15
75,-80.387,-109.83,-126.55
76,-80.379,-109.73,-133.83
77,-80.313,-110.56,-130.22
78,-80.367,-109.54,-125.06
79,-80.362,-110.67,-139.3
80,-80.374,-110.73,-127.91
81,-80.344,-110.3,-127.2
82,-80.368,-109.03,-128.03
83,-80.351,-111.11,-128.12
84,-80.418,-110.43,-133.57
85,-80.356,-111.08,-127.73
86,-80.434,-110.31,-122.86
87,-80.337,-110.91,-122.01
88,-80.339,-109.92,-129.69
89,-80.332,-110.46,-129
90,-80.524,-107.76,-119.04
91,-80.325,-111.71,-124.76
92,-80.387,-110.19,-132.46
93,-80.368,-110.15,-127.95
94,-80.372,-111.14,-136.61
95,-80.337,-108.3,-127.78
96,-80.33,-112.68,-142.52
97,-80.365,-110.89,-129.13
98,-80.346,-110.66,-125.92
99,-80.331,-110.49,-125.84
100,-80.291,-109.62,-127.59
101,-80.3,-110.95,-125.22
102,-80.306,-110.35,-124.5
103,-80.332,-110.78,-127.33
104,-80.247,-108.93,-129.36
105,-80.271,-110.58,-122.92
106,-80.156,-106.3,-117.75
107,-80.445,-113.05,-120.92
108,-80.354,-109.28,-122.44
109,-80.333,-111.59,-128.36
110,-80.318,-110.8,-124.27
111,-80.242,-110.52,-135.24
112,-80.334,-111.24,-131.41
113,-80.31,-109.85,-129.31
114,-80.27,-110.77,-139.34
115,-80.263,-110.82,-143.24
116,-80.28,-111.07,-124.13
117,-80.272,-111.61,-132.97
118,-80.311,-111.83,-130.04
119,-80.314,-112.46,-135.63
120,-80.271,-111.21,-129.32
121,-80.266,-111.71,-136.35
122,-80.313,-110.11,-127.5
123,-80.226,-110.73,-114.4
124,-80.277,-110.91,-126.06
125,-80.311,-112.68,-127.98
126,-80.303,-110.59,-132.84
127,-80.269,-109.17,-129.42
128,-80.296,-111.06,-125.56
129,-80.281,-109.78,-150.32
130,-80.324,-111.33,-131.49
131,-80.271,-111.07,-127.28
132,-80.195,-110.07,-135.12
133,-80.246,-111.88,-129.88
134,-80.243,-110.87,-128.93
135,-80.258,-110.97,-125.75
136,-80.231,-110.4,-127.38
137,-80.262,-111.75,-135.81
138,-80.189,-110.17,-137.72
139,-80.354,-109.13,-116.42
140,-80.215,-109.54,-125.76
141,-80.244,-111.62,-128.07
142,-80.187,-111.56,-138.32
143,-80.236,-111.27,-122.31
144,-80.185,-109.07,-124.4
145,-80.12,-107.11,-118.84
146,-80.195,-112.47,-118.91
147,-80.23,-112.79,-128.92
148,-80.173,-111.43,-129.08
149,-80.225,-111.19,-130.27
150,-80.194,-110.49,-128.61
151,-80.175,-111.36,-127.87
152,-80.199,-110.7,-127.25
153,-80.174,-110.89,-141.64
154,-80.249,-110.3,-126.22
155,-80.284,-115.77,-121.42
156,-79.992,-106.6,-113.26
157,-80.117,-110.41,-125
158,-80.11,-109.68,-125.21
159,-80.152,-110.94,-125.23
160,-80.143,-110.68,-125.56
161,-80.102,-111.15,-137.57
162,-80.149,-110.46,-135.02
163,-80.112,-110.38,-128.24
164,-80.134,-110.33,-125.44
165,-80.116,-111.76,-131.26
166,-80.114,-111.12,-120.58
167,-80.104,-109.78,-132.88
168,-80.134,-111.78,-126.36
169,-80.121,-109.4,-129.45
170,-80.083,-110.33,-132.08
171,-80.092,-110.3,-133.97
172,-79.985,-114.14,-121.9
173,-80.111,-110.79,-130.32
174,-80.094,-110.58,-129.52
175,-80.054,-110.5,-132.34
176,-80.076,-110.79,-131.66
177,-80.068,-110.64,-129.45
178,-80.061,-109.57,-131.32
179,-80.123,-110.24,-137.93
180,-80.033,-111.74,-136.42
181,-80.055,-111.7,-124.93
182,-80.046,-110.98,-139.75
183,-80.082,-111.3,-124.62
184,-79.995,-109.83,-130.86
185,-80.033,-111.65,-130.73
186,-80.02,-111.42,-139.82
187,-80.028,-112.05,-141.44
188,-80.081,-113.78,-120.9
189,-79.956,-108,-122.65
190,-80.011,-110.01,-126.98
191,-79.991,-109.9,-137.28
192,-79.998,-109.31,-138.81
193,-79.973,-110.35,-129.01
194,-80.006,-109.89,-134.57
195,-79.956,-110.61,-126.84
196,-79.961,-112.33,-145.24
197,-79.957,-110.32,-129.77
198,-80.003,-109.72,-128.87
199,-79.965,-111.05,-153.27
200,-79.993,-109.54,-126.25
201,-80.003,-110.22,-127.86
202,-79.982,-110.62,-139.21
203,-79.979,-112.61,-127.12
204,-80.032,-111.06,-125.1
205,-79.796,-109.52,-124
206,-79.947,-110.31,-124.18
207,-79.891,-110.86,-131.5
208,-79.899,-111.03,-131.42
209,-79.912,-109.81,-132.15
210,-79.896,-110.36,-132.82
211,-79.924,-109.8,-130.85
212,-79.883,-110.31,-126.77
213,-79.884,-110.59,-128.76
214,-79.884,-109.72,-128.21
215,-79.895,-109.8,-128.59
216,-79.845,-109.88,-135.3
217,-79.847,-111.07,-137.35
218,-79.864,-110.34,-134.22
219,-79.861,-110.15,-138.73
220,-79.907,-111.3,-129.46
221,-79.788,-111.2,-124.93
222,-79.846,-110.34,-129.03
223,-79.823,-111.44,-129.12
224,-79.865,-110.93,-130.14
225,-79.81,-110.99,-135.34
226,-79.817,-111.64,-136.72
227,-79.86,-109.93,-124.01
228,-79.773,-112.08,-133.66
229,-79.776,-111.03,-128.06
230,-79.807,-111.76,-131.34
231,-79.791,-110.55,-127.12
232,-79.811,-110.65,-122.97
233,-79.776,-109.81,-130.32
234,-79.768,-111.06,-143.55
235,-79.784,-110.97,-136.94
236,-79.776,-109.57,-134.37
237,-79.712,-109.44,-118.48
238,-79.747,-111.61,-123.88
239,-79.726,-111.03,-128.72
240,-79.729,-109.96,-124.6
241,-79.768,-109.85,-138.95
242,-79.711,-110.33,-130.29
243,-79.736,-109.75,-138.1
244,-79.694,-110.98,-129.53
