f,s100,s410,s700
0,-46.714,-46.784,-46.769
1,-83.563,-99.036,-117.46
2,-83.692,-95.378,-104.86
3,-83.787,-98.893,-126.51
4,-83.593,-99.375,-129.26
5,-83.518,-100.52,-123.43
6,-83.678,-98.651,-123.81
7,-83.689,-100.15,-133.35
8,-83.69,-99.913,-126.93
9,-83.768,-99.196,-119.18
10,-83.788,-99.485,-112.85
11,-83.668,-99.789,-118.91
12,-83.742,-99.771,-125.19
13,-83.686,-99.633,-125.62
14,-83.67,-99.088,-118.7
15,-83.685,-99.917,-125.34
16,-83.682,-99.797,-131.48
17,-83.644,-99.91,-127.31
18,-83.624,-99.521,-125.8
19,-83.744,-99.968,-123.05
20,-83.697,-99.785,-124.78
21,-83.704,-99.537,-126.14
22,-83.727,-99.773,-133.76
23,-83.72,-99.588,-133.97
24,-83.736,-99.609,-125.07
25,-83.77,-99.642,-131.38
26,-83.652,-99.567,-126.73
27,-83.756,-99.646,-121.34
28,-83.71,-99.539,-133.42
29,-83.633,-99.755,-130.36
30,-83.677,-99.903,-125.57
31,-83.728,-99.002,-127.75
32,-83.682,-99.88,-140.53
33,-83.649,-99.98,-128.39
34,-83.708,-99.738,-133.99
35,-83.608,-99.038,-119.88
36,-83.719,-99.385,-124.93
37,-83.731,-99.982,-121.6
38,-83.547,-99.095,-135.22
39,-83.587,-99.813,-122.32
40,-83.73,-99.408,-131.7
41,-83.662,-99.543,-131.24
42,-83.632,-99.827,-130.9
43,-83.609,-99.178,-123.19
44,-83.687,-99.454,-127.54
45,-83.658,-99.399,-143.24
46,-83.651,-100.03,-132.65
47,-83.728,-99.28,-127.68
48,-83.647,-99.632,-135.18
49,-83.692,-99.552,-130.62
50,-83.631,-99.764,-127.77
51,-83.586,-99.213,-120.91
52,-83.668,-99.567,-133.98
53,-83.655,-99.729,-139.17
54,-83.651,-99.278,-133.49
55,-83.641,-99.666,-127.67
56,-83.63,-99.684,-130.75
57,-83.659,-99.593,-133.08
58,-83.633,-99.687,-128.55
59,-83.646,-99.394,-124.32
60,-83.663,-99.713,-138.36
61,-83.624,-99.613,-130.01
62,-83.65,-99.552,-136.85
63,-83.66,-99.674,-127.11
64,-83.652,-99.478,-123.6
65,-83.607,-99.371,-129.91
66,-83.613,-99.534,-126.78
67,-83.638,-99.094,-128.91
68,-83.674,-99.727,-126.55
69,-83.654,-99.785,-131.9
70,-83.657,-99.646,-136.68
71,-83.633,-99.942,-130.93
72,-83.676,-99.351,-124.89
73,-83.651,-99.555,-128.61
74,-83.648,-99.47,-133.15
75,-83.644,-99.614,-131.33
76,-83.638,-99.518,-133.73
77,-83.752,-99.561,-124.88
78,-83.665,-99.525,-128.24
79,-83.613,-99.657,-132.41
80,-83.683,-99.116,-120.67
81,-83.629,-99.61,-133.35
82,-83.602,-100.02,-138.53
83,-83.624,-99.855,-130.86
84,-83.67,-99.558,-129.06
85,-83.61,-99.533,-127.44
86,-83.618,-99.63,-133.56
87,-83.662,-99.634,-129.49
88,-83.712,-99.772,-124.34
89,-83.597,-99.56,-136.68
90,-83.611,-99.662,-129.72
91,-83.619,-99.799,-126.69
92,-83.561,-100.06,-125.39
93,-83.641,-99.417,-130.42
94,-83.635,-99.729,-143.17
95,-83.605,-99.316,-139.49
96,-83.567,-99.471,-124.29
97,-83.634,-99.845,-137.15
98,-83.655,-99.688,-147.24
99,-83.627,-99.364,-137.15
100,-83.593,-99.151,-133
101,-83.621,-99.533,-130.36
102,-83.617,-99.436,-130.61
103,-83.609,-99.349,-134.23
104,-83.571,-99.937,-128.16
105,-83.623,-99.844,-131.18
106,-83.589,-99.346,-142.5
107,-83.607,-99.46,-129.7
108,-83.566,-99.381,-130.17
109,-83.633,-99.84,-132.58
110,-83.551,-99.78,-140.93
111,-83.597,-99.878,-144.39
112,-83.567,-99.508,-141.71
113,-83.63,-99.127,-130.82
114,-83.625,-99.721,-127.51
115,-83.637,-99.593,-129.77
116,-83.606,-99.395,-130.48
