f,xrms,xmean,xsnr
1,0.61497,-0.036283,77.586
10,0.61375,-0.018045,75.626
100,0.62284,-0.016609,60.316
1000,0.016826,-0.016824,9.3672
1001,0.016798,-0.016796,10.904
1002,0.016816,-0.016814,10.324
1003,0.016828,-0.016826,8.3247
1004,0.01681,-0.016809,5.8414
1005,0.016821,-0.016821,0.23347
1006,0.016779,-0.016779,-4.0103
1007,0.016839,-0.016839,0.20731
1008,0.016853,-0.016852,4.7152
1009,0.016828,-0.016826,7.6658
101,0.62321,-0.016821,66.17
1010,0.016817,-0.016815,8.1932
1011,0.016853,-0.016851,8.7329
1012,0.016832,-0.01683,7.8507
1013,0.016842,-0.016841,5.6604
1014,0.016817,-0.016817,1.887
1015,0.016813,-0.016813,-6.9549
1016,0.016814,-0.016814,-6.0163
1017,0.016867,-0.016867,1.9309
1018,0.016843,-0.016842,5.5376
1019,0.016828,-0.016827,6.5968
102,0.6235,-0.016839,72.604
1020,0.016813,-0.016811,8.1496
1021,0.016819,-0.016817,7.7076
1022,0.016828,-0.016827,6.9955
1023,0.016816,-0.016816,3.6926
1024,0.016896,-0.016896,-1.2
1025,0.016843,-0.016843,-8.5956
1026,0.01683,-0.01683,-2.7007
1027,0.016815,-0.016815,2.3529
1028,0.016782,-0.016782,3.7562
1029,0.016817,-0.016816,6.1087
103,0.62376,-0.016966,77.179
1030,0.016823,-0.016822,6.8353
1031,0.016803,-0.016802,6.0411
1032,0.016832,-0.016832,4.178
1033,0.016823,-0.016822,0.46759
1034,0.016838,-0.016838,-5.0569
1035,0.016859,-0.016858,-5.736
1036,0.016803,-0.016803,-0.39062
1037,0.016832,-0.016831,2.9198
1038,0.016769,-0.016768,5.1251
1039,0.016813,-0.016812,5.9344
104,0.6241,-0.017104,77.905
1040,0.016802,-0.016801,5.01
1041,0.016801,-0.0168,4.9526
1042,0.016785,-0.016784,1.2653
1043,0.016777,-0.016777,-3.8577
1044,0.0168,-0.0168,-8.1219
