f,s100,s410,s700
0,-43.449,-43.326,-43.352
1,-79.349,-121.46,-117.92
2,-79.444,-114.18,-114.24
3,-79.578,-111.45,-121.89
4,-78.837,-100.18,-100.06
5,-79.853,-111.18,-117.56
6,-79.601,-113.99,-115.12
7,-79.66,-110.27,-118
8,-79.711,-110.44,-120.8
9,-79.628,-113.54,-127.83
10,-79.574,-112.99,-121
11,-79.657,-117.75,-129.4
12,-79.786,-106.74,-113.39
13,-79.602,-111.82,-128.69
14,-79.587,-116.01,-127.52
15,-79.562,-117.49,-118.62
16,-79.576,-121.2,-124.38
17,-79.613,-110.91,-122.63
18,-79.656,-115.47,-130.61
19,-79.633,-115.98,-119.19
20,-79.691,-110.41,-114.89
21,-79.505,-120.55,-114.79
22,-79.541,-117.92,-119.08
23,-79.617,-116.72,-120.31
24,-79.582,-114.52,-121.14
25,-79.58,-117.45,-127.29
26,-79.55,-116.88,-135.23
27,-79.54,-112.97,-129.75
28,-79.625,-111.73,-131.88
29,-79.615,-124.45,-129.71
30,-79.605,-121.42,-123.17
31,-79.597,-117.72,-124.11
32,-79.593,-114.74,-124.92
33,-79.592,-113.58,-122.53
34,-79.61,-116.27,-126.74
35,-79.536,-116.98,-129.17
36,-79.529,-115.51,-129.37
37,-79.772,-107.84,-110.49
38,-79.636,-114.52,-130.3
39,-79.536,-119.23,-118.98
40,-79.607,-114.59,-131.04
41,-79.635,-113.84,-134.85
42,-79.544,-113.81,-134.09
43,-79.537,-114.83,-129.48
44,-79.578,-122.24,-126.01
45,-79.53,-110.43,-120.29
46,-79.634,-113.28,-130.49
47,-79.559,-114.18,-125.2
48,-79.564,-116.99,-122.55
49,-79.602,-113.99,-127.94
50,-79.597,-118.57,-129.83
51,-79.544,-113.3,-121.55
52,-79.575,-113.65,-119.43
53,-79.499,-110.78,-113.37
54,-79.633,-113.82,-122.14
55,-79.565,-114.62,-130.57
56,-79.591,-116.3,-130.91
57,-79.556,-115.41,-127.19
58,-79.55,-113.91,-129.59
59,-79.561,-119.07,-136
60,-79.564,-113.46,-127.69
61,-79.54,-113.81,-125.91
62,-79.606,-114.88,-129.62
63,-79.513,-114.12,-132.14
64,-79.581,-115.9,-127.3
65,-79.566,-114.71,-123.63
66,-79.51,-115.16,-124.36
67,-79.568,-114.98,-128.48
68,-79.579,-115.56,-128.2
69,-79.588,-118.57,-118.84
70,-79.576,-112.62,-116.88
71,-79.555,-113.54,-117.18
72,-79.551,-114.28,-119.69
73,-79.554,-116.48,-134.94
74,-79.565,-116.72,-125.82
75,-79.527,-114.42,-126.35
76,-79.553,-117.29,-133.91
77,-79.497,-115.68,-127.59
78,-79.686,-124.17,-115.52
79,-79.584,-114.55,-124.01
80,-79.544,-114.47,-126.88
81,-79.548,-115.21,-133.11
82,-79.485,-115.49,-129.85
83,-79.532,-116.38,-124.87
84,-79.546,-121.17,-130.95
85,-79.537,-114.88,-125.93
86,-79.478,-115.35,-114.86
87,-79.536,-115.35,-127.45
88,-79.551,-115.82,-128.02
89,-79.553,-117.05,-131.24
90,-79.565,-116.48,-132.56
91,-79.554,-116.34,-123.53
92,-79.531,-114.33,-131.46
93,-79.539,-113.44,-130.8
94,-79.535,-116.95,-120.66
95,-79.492,-117.86,-132.71
96,-79.505,-115.55,-126.62
97,-79.5,-116.33,-131
98,-79.523,-115.32,-130.7
99,-79.524,-117.15,-132.62
100,-79.512,-114.32,-131.75
101,-79.493,-113.78,-129.68
102,-79.452,-111.66,-120.18
103,-79.537,-119.01,-121.97
104,-79.518,-117.4,-128.4
105,-79.492,-121,-132.07
106,-79.536,-114.24,-127.58
107,-79.495,-114.57,-126.38
108,-79.489,-115.68,-129.28
109,-79.496,-116.99,-133.7
110,-79.487,-114.02,-124.87
111,-79.492,-112.94,-123.8
112,-79.506,-113.8,-134.55
113,-79.501,-116.24,-125.42
114,-79.482,-116.02,-132.04
115,-79.498,-115,-134.63
