f,xrms,xmean,xsnr
1,0.44061,-0.00013207,69.887
10,0.45724,-0.014891,68.367
100,0.45499,-0.012872,56.715
1000,0.013269,-0.013267,5.7481
1001,0.01333,-0.013329,2.8136
1002,0.013283,-0.013283,-4.2373
1003,0.013271,-0.01327,-9.9984
1004,0.01329,-0.013289,-3.6609
1005,0.013369,-0.013368,2.0664
1006,0.013352,-0.01335,5.7639
1007,0.013241,-0.013238,7.2224
1008,0.013344,-0.013341,8.9696
1009,0.013293,-0.013288,11.514
101,0.45499,-0.012925,58.282
1010,0.013292,-0.013286,11.793
1011,0.013304,-0.013298,12.15
1012,0.013318,-0.013311,12.275
1013,0.013273,-0.013266,12.091
1014,0.013309,-0.013302,13.144
1015,0.013268,-0.013261,12.559
1016,0.013249,-0.013243,11.101
1017,0.013271,-0.013266,10.66
1018,0.013345,-0.013341,9.0799
1019,0.013315,-0.013313,7.3926
102,0.45518,-0.012997,59.048
1020,0.013281,-0.013279,5.2647
1021,0.013283,-0.013282,1.5215
1022,0.0133,-0.013299,-5.5329
1023,0.013353,-0.013352,-7.8706
1024,0.013288,-0.013287,-3.4811
1025,0.013278,-0.013276,2.045
1026,0.013318,-0.013316,4.9778
1027,0.013319,-0.013316,8.0388
1028,0.01329,-0.013286,10.046
1029,0.01324,-0.013236,11.044
103,0.45546,-0.012976,60.114
1030,0.013293,-0.013287,10.779
1031,0.013278,-0.013272,12.679
1032,0.013321,-0.013315,12.381
1033,0.0133,-0.013294,12.495
1034,0.013333,-0.013327,12.265
1035,0.013295,-0.01329,11.429
1036,0.013313,-0.013309,11.182
1037,0.013312,-0.013308,8.422
1038,0.0133,-0.013297,6.9499
1039,0.013319,-0.013317,5.4226
104,0.45579,-0.013246,61.71
1040,0.013346,-0.013344,3.401
1041,0.013283,-0.013283,-1.9526
1042,0.013279,-0.013278,-13.425
1043,0.013277,-0.013276,-4.8334
1044,0.013337,-0.013336,0.66048
1045,0.013324,-0.013323,4.075
1046,0.013309,-0.013307,7.1371
1047,0.01327,-0.013266,9.5862
1048,0.013287,-0.013283,10.169
1049,0.013245,-0.01324,10.881
105,0.45624,-0.012971,63.459
1050,0.013334,-0.013328,12.129
1051,0.013266,-0.01326,12.32
1052,0.013314,-0.013307,12.621
1053,0.013305,-0.013298,11.957
1054,0.01333,-0.013324,11.863
1055,0.013296,-0.013291,11.153
1056,0.013261,-0.013257,10.042
1057,0.013317,-0.013314,8.3202
1058,0.013285,-0.013283,6.2927
1059,0.013339,-0.013337,4.1407
106,0.45682,-0.01303,65.66
1060,0.013308,-0.013307,0.29688
1061,0.013221,-0.01322,-6.5643
1062,0.013304,-0.013303,-6.2285
1063,0.01334,-0.013339,-2.0899
1064,0.013248,-0.013247,2.9746
1065,0.013265,-0.013263,6.3311
1066,0.013306,-0.013303,8.3287
1067,0.013351,-0.013346,10.5
1068,0.01334,-0.013335,10.718
1069,0.013328,-0.013322,12.184
107,0.45747,-0.012967,67.758
1070,0.013317,-0.013311,12.253
1071,0.013322,-0.013315,13.076
1072,0.013375,-0.013368,13.282
1073,0.013302,-0.013295,12.822
1074,0.013283,-0.013277,12.441
1075,0.013346,-0.013341,11.939
1076,0.013293,-0.013289,10.111
1077,0.013311,-0.013308,7.6675
1078,0.013319,-0.013317,7.1161
1079,0.013274,-0.013273,3.8968
108,0.45823,-0.013004,70.147
1080,0.013277,-0.013277,-0.33107
1081,0.013333,-0.013332,-10.151
1082,0.013305,-0.013304,-9.2798
1083,0.013266,-0.013265,-0.17297
1084,0.013302,-0.0133,4.3225
1085,0.013312,-0.01331,7.0048
1086,0.013347,-0.013344,9.1019
1087,0.013286,-0.013282,10.802
1088,0.013304,-0.013299,11.989
1089,0.01331,-0.013303,12.027
109,0.45902,-0.012959,72.233
1090,0.013375,-0.013368,12.364
1091,0.013401,-0.013394,12.934
1092,0.013298,-0.013291,12.727
1093,0.013341,-0.013335,11.409
1094,0.013293,-0.013287,11.36
1095,0.013295,-0.01329,11.112
1096,0.013308,-0.013304,9.655
1097,0.013312,-0.013309,9.1347
1098,0.013344,-0.013342,5.8891
1099,0.013384,-0.013382,3.3543
11,0.45652,-0.014437,68.668
110,0.45977,-0.013027,72.585
1100,0.013348,-0.013347,-1.7333
1101,0.013355,-0.013355,-13.293
1102,0.013373,-0.013372,-4.9763
1103,0.013296,-0.013295,2.0957
1104,0.013379,-0.013377,5.6181
1105,0.01338,-0.013377,8.2617
1106,0.013368,-0.013364,9.435
1107,0.013405,-0.0134,11.608
1108,0.013372,-0.013366,11.935
1109,0.013373,-0.013367,12.445
111,0.46061,-0.013122,71.967
1110,0.013346,-0.013339,12.667
1111,0.013336,-0.013329,12.754
1112,0.013337,-0.013329,12.274
1113,0.013395,-0.013388,12.301
1114,0.013368,-0.013362,11.834
1115,0.013439,-0.013434,10.134
1116,0.0134,-0.013396,9.6358
1117,0.013442,-0.013439,7.7506
1118,0.013411,-0.013409,6.5779
1119,0.013342,-0.013341,2.7416
112,0.46134,-0.013101,73.035
1120,0.013394,-0.013393,-2.9823
1121,0.013331,-0.01333,-15.145
1122,0.01339,-0.01339,-4.2861
1123,0.013375,-0.013374,2.0022
1124,0.013384,-0.013383,5.8484
1125,0.013316,-0.013314,7.9201
1126,0.013347,-0.013344,10.102
1127,0.013366,-0.013361,11.21
1128,0.013348,-0.013342,11.337
1129,0.013413,-0.013407,12.586
113,0.46214,-0.01299,71.401
1130,0.013325,-0.013319,12.895
1131,0.013338,-0.013331,11.838
1132,0.013385,-0.013378,11.63
1133,0.013402,-0.013395,11.451
1134,0.01337,-0.013364,11.341
1135,0.013367,-0.013362,9.8776
1136,0.013402,-0.013399,9.3029
1137,0.013373,-0.01337,8.5108
1138,0.013403,-0.013401,4.1111
1139,0.01342,-0.013419,1.0673
114,0.46284,-0.01298,70.898
1140,0.013404,-0.013404,-5.3868
1141,0.013349,-0.013348,-11.066
1142,0.01338,-0.013379,-1.0017
1143,0.013311,-0.01331,3.1391
1144,0.013301,-0.013299,6.5544
1145,0.013371,-0.013368,8.7122
1146,0.013411,-0.013407,10.486
1147,0.013365,-0.01336,10.535
1148,0.013371,-0.013365,11.968
1149,0.013339,-0.013332,11.717
115,0.46345,-0.013081,71.973
1150,0.01337,-0.013363,13.21
1151,0.013375,-0.013368,11.353
1152,0.013358,-0.013351,12.023
1153,0.013352,-0.013346,10.508
1154,0.013338,-0.013333,11.149
1155,0.013408,-0.013403,9.659
1156,0.013319,-0.013316,8.4747
1157,0.013305,-0.013302,6.4864
1158,0.013366,-0.013364,3.218
1159,0.013325,-0.013324,-0.46783
116,0.46402,-0.012981,72.677
1160,0.013358,-0.013357,-8.008
1161,0.013357,-0.013356,-10.801
1162,0.013301,-0.013301,0.063729
1163,0.013317,-0.013316,4.4444
1164,0.013359,-0.013357,7.1815
1165,0.013275,-0.013272,8.926
1166,0.013365,-0.013361,10.161
1167,0.013312,-0.013307,11.077
1168,0.013346,-0.01334,11.742
1169,0.013311,-0.013304,12.636
117,0.46452,-0.013062,72.772
1170,0.013354,-0.013348,11.465
1171,0.013426,-0.013419,11.464
1172,0.013399,-0.013392,10.814
1173,0.013396,-0.01339,10.553
1174,0.01339,-0.013385,10.953
1175,0.013341,-0.013337,8.7189
1176,0.013381,-0.013378,7.9783
1177,0.013348,-0.013346,6.2651
1178,0.013349,-0.013348,2.9897
1179,0.013322,-0.013322,-2.2193
118,0.46491,-0.013017,70.291
1180,0.013361,-0.013361,-11.464
1181,0.013348,-0.013348,-5.4762
