f,xrms,xmean,xsnr
1,0.54156,-0.015296,76.491
10,0.54007,-0.015603,72.217
100,0.55467,-0.016129,55.262
1000,0.015873,-0.015871,10.528
1001,0.015893,-0.015892,7.3927
1002,0.015928,-0.015927,2.4771
1003,0.015889,-0.015889,-9.3876
1004,0.015907,-0.015906,1.4247
1005,0.015899,-0.015898,7.9021
1006,0.015917,-0.015915,10.254
1007,0.015944,-0.01594,11.597
1008,0.015924,-0.015918,13.111
1009,0.015905,-0.015898,14.468
101,0.55483,-0.016033,56.694
1010,0.015944,-0.015935,15.05
1011,0.015947,-0.015938,15.346
1012,0.015909,-0.015899,15.597
1013,0.015902,-0.015891,16.357
1014,0.015942,-0.015931,13.113
1015,0.015905,-0.015895,15.218
1016,0.015957,-0.015949,14.334
1017,0.015955,-0.015948,15.357
1018,0.015908,-0.015903,14.379
1019,0.015939,-0.015936,12.826
102,0.55518,-0.015946,57.373
1020,0.015947,-0.015945,10.822
1021,0.015939,-0.015938,6.4197
1022,0.015923,-0.015923,0.27117
1023,0.015915,-0.015915,-7.1837
1024,0.01595,-0.01595,2.4771
1025,0.015877,-0.015876,7.791
1026,0.015943,-0.01594,9.0941
1027,0.015887,-0.015883,11.524
1028,0.015903,-0.015898,13.247
1029,0.015953,-0.015946,13.695
103,0.55562,-0.015972,58.422
1030,0.015949,-0.015941,14.13
1031,0.015918,-0.015909,15.079
1032,0.015915,-0.015906,12.448
1033,0.01591,-0.015901,15.375
1034,0.015955,-0.015946,14.414
1035,0.01592,-0.015912,14.058
1036,0.015933,-0.015927,15.333
1037,0.01596,-0.015954,15.337
1038,0.015949,-0.015945,12.38
1039,0.015922,-0.015919,8.4039
104,0.55623,-0.015664,59.875
1040,0.015964,-0.015962,6.8972
1041,0.01592,-0.015919,2.5863
1042,0.015905,-0.015905,-10.254
1043,0.015911,-0.01591,-0.67761
1044,0.015904,-0.015903,6.3289
1045,0.015904,-0.015902,7.9992
1046,0.015864,-0.01586,10.311
1047,0.015911,-0.015906,12.292
1048,0.01593,-0.015924,13.361
1049,0.015937,-0.01593,14.678
105,0.55698,-0.016055,61.691
1050,0.015907,-0.015898,14.804
1051,0.015901,-0.015891,15.077
1052,0.015876,-0.015866,15.361
1053,0.015899,-0.01589,15.678
1054,0.015941,-0.015933,16.635
1055,0.015941,-0.015934,16.654
1056,0.015898,-0.015892,15.261
1057,0.015944,-0.015939,13.842
1058,0.0159,-0.015896,12.093
1059,0.015908,-0.015906,9.1068
106,0.55791,-0.015877,64.016
1060,0.015944,-0.015943,6.3814
1061,0.01593,-0.01593,-2.1726
1062,0.015952,-0.015952,-5.1745
