f,xrms,xmean,xsnr
1,0.52595,-0.028878,71.792
10,0.52802,-0.017665,69.943
100,0.54867,-0.015164,55.371
1000,0.015557,-0.015556,-13.194
1001,0.015658,-0.015658,-12.128
1002,0.015522,-0.015522,-10.986
1003,0.015545,-0.015545,-13.548
1004,0.015544,-0.015544,-11.018
1005,0.015563,-0.015562,-11.051
1006,0.015504,-0.015503,-8.6615
1007,0.015488,-0.015488,-13.278
1008,0.01554,-0.01554,-13.226
1009,0.015511,-0.015511,-9.9296
101,0.54877,-0.015496,55.896
1010,0.015549,-0.015549,-12.623
1011,0.01555,-0.015549,-10.927
1012,0.015497,-0.015496,-10.898
1013,0.015536,-0.015535,-11.129
1014,0.015563,-0.015563,-9.5681
1015,0.015512,-0.015512,-13.528
1016,0.015486,-0.015486,-13.545
1017,0.01556,-0.015559,-14.059
1018,0.015533,-0.015533,-11.656
1019,0.015498,-0.015497,-9.0885
102,0.54893,-0.015519,56.716
1020,0.01545,-0.01545,-11.573
1021,0.015481,-0.01548,-11.561
1022,0.015422,-0.015422,-9.21
1023,0.015395,-0.015395,-12.976
1024,0.015451,-0.015451,-10.249
1025,0.015478,-0.015478,-11.892
1026,0.015488,-0.015488,-10.686
1027,0.015464,-0.015464,-11.183
1028,0.015401,-0.015401,-12.568
1029,0.015426,-0.015426,-10.793
103,0.54931,-0.015618,57.749
1030,0.015417,-0.015416,-12.433
1031,0.015444,-0.015444,-10.408
1032,0.015441,-0.015441,-14.137
1033,0.015423,-0.015423,-8.3473
1034,0.015438,-0.015438,-13.715
1035,0.015421,-0.015421,-9.6021
1036,0.015429,-0.015428,-12.515
1037,0.015423,-0.015423,-10.029
1038,0.015455,-0.015455,-8.598
1039,0.015446,-0.015445,-12.601
104,0.54978,-0.015379,59.253
1040,0.015407,-0.015407,-13.646
1041,0.015477,-0.015477,-11.296
1042,0.015467,-0.015467,-9.2919
1043,0.015417,-0.015417,-9.804
1044,0.015452,-0.015452,-7.5244
1045,0.015399,-0.015398,-9.3248
1046,0.015431,-0.01543,-11.617
1047,0.015433,-0.015433,-11.068
1048,0.01547,-0.01547,-11.993
1049,0.015399,-0.015399,-10.426
105,0.5504,-0.015322,61.137
1050,0.015471,-0.01547,-11.16
1051,0.015382,-0.015382,-13.052
1052,0.015431,-0.01543,-10.969
1053,0.015359,-0.015359,-12.066
1054,0.015428,-0.015427,-10.733
1055,0.015381,-0.015381,-8.2653
1056,0.015385,-0.015385,-10.152
1057,0.015316,-0.015316,-12.527
1058,0.015326,-0.015326,-12.152
1059,0.015417,-0.015417,-10.668
106,0.55119,-0.015544,63.603
1060,0.015365,-0.015365,-9.4052
1061,0.015373,-0.015373,-5.8678
1062,0.015391,-0.01539,-10.847
1063,0.015425,-0.015425,-10.458
1064,0.015412,-0.015412,-11.499
1065,0.015437,-0.015437,-10.596
1066,0.015372,-0.015371,-11.851
1067,0.01538,-0.015379,-11.108
1068,0.015381,-0.015381,-11.548
1069,0.01537,-0.01537,-14.409
107,0.552,-0.015494,66.457
1070,0.015374,-0.015374,-13.191
1071,0.015373,-0.015372,-9.2267
1072,0.015366,-0.015366,-12.556
1073,0.015314,-0.015314,-9.6348
1074,0.015341,-0.015341,-11.956
1075,0.015393,-0.015393,-8.8447
